MarSt,AdLi2,NuC,LN,AddrL1,PoC,Ph,Gen,CrRat,Ag,Em,Sta,In,NumCreCa,NeWor,Ci,AgID,NuCh,Cou,MiIn,FiN,OOReF
W,Zdezocstixxswfqhgqwbianpgtwdobatppjhkqfnozkidwlcltqkvii,4.0,fjhhsa,Fcnirnkfblcxkxzrjbjvzgsiwfflm,ROGPW,1-173-080-2680,,571.0,22.0,Unified Grocers,NH,423148.0,4.0,663678.0,Columbus,fjh13454,,United States of America,,Wrayfnsnui,R
M,Idbglonzmxevrexnxccrgjxvlsrlsxtymcnz,4.0,Pddadbeckwmrlqdhahsgwzbqquxu,Ncejmxwsmjdwtgghtwuduthvxftewjwwdyurkberayyplspoichdqofxmilfhcmrm,Ttdurdlplcd,1-842-716-1253,f,833.0,85.0,Warner Music Group,MA,245484.0,9.0,815814.0,London,Pdd13455,3.0,United States of America,g,Xabnbynxninbx,O
M,seqamuapqhpfkbpdysceaxabrrnybpoyijkxqjowhfflujkvcaydsacj,1.0,Ubmjilzq,rqcoipinaezcmsfrrieqxebvvaojt,jvqmw,1-740-513-2725,,722.0,53.0,Cephalon,AL,362660.0,8.0,1728168.0,Los Angeles,Ubm13456,1.0,United States of America,,Gobytalulvhubhwzgrotcwmd,O
M,,0.0,jvktenfn,Rcdmzdjbsfdfjoryqbodffqsddpxj,ndpah,1-433-707-3224,f,687.0,10.0,Kansas City Southern,MN,456181.0,2.0,52670.0,Mobile,jvk13457,,Canada,,lelfzfqkscndumrrhjcxs,R
M,TWNTMXAELZQUOCQGWJHBAOCITKEDDXNXGTVUDVRVXIKDEHBXPIJHESPQPOKKZMLCAP,5.0,Ugpfzbohxhjqlvxhaphnqmusd,CUNNFGQFACBJAPMKJCSNZNWZTOEEVJINBWTELNWJKHMIHQPEVIODPKTXLWDUFVHXTLJPWWEAOB,ZZNJDGYIKD,1-242-204-6374,,690.0,16.0,Hexion Specialty Chemicals,DC,427837.0,7.0,3263655.0,St. Catharines,Ugp13458,0.0,Canada,A,NROVRUOPGMHJYMKHDWEJTNAEUN,R
M,CWGYUZXEHSOWLXRWKYPBPYSKUMRQOSFAMVFDSLJFBQLSIXRO,5.0,Ivtuyvtpehfocquyumpgo,Wptsktkfkeamyxalwiphjpuyhtpvaoraaywlrxnrwprdoxwbirwwcnetxbxrynmz,Xmttgwxwb,1-015-160-5580,m,647.0,,SanDisk,MS,142920.0,2.0,508888.0,Hilo,Ivt13459,1.0,United States of America,,Clzfkihugzfdldmqvvixnpdbhnjt,O
M,XQATJAYANKZECDDIQSNOANGWWRCUYKTDPCVZBIGDPSRHTWXGASJUMDBXHUC,5.0,APEXRFQQF,AYABPVBGNAOYZLJLGIEQDGENEWFULOVOWSCXLWLNBDLOGKNHJWWLGWONXWKKQDZJUMWPBMEIAOM,Vlkzphdxyec,1-704-943-0689,F,548.0,22.0,Sealed Air,KS,94906.0,2.0,280461.0,Columbia,APE13460,1.0,Canada,c,Hmbxxtznfjdvub,O
S,TTIONHOGYOWFUMDBXGVCTNPZTXXGBOABMGIKTZUVDWRKZKHKRLYTETVDYS,1.0,Otidgfoorutmwrlbmshahjontyod,luvsbmegaaqmywpjdjhhczuvukcpgtrneiuhonivitn,Fvweshcwpxxk,1-556-434-4034,,849.0,57.0,Office Depot,HI,304697.0,7.0,1265398.0,Hayward,Oti13461,3.0,United States of America,F,Jwkecsskyytzbxeojmuefcdvcm,R
M,rtmokkglksmppmaxrozeckccobjgpfsxndfyrqzojhguhptdedppwfavafmwomdhaq,1.0,EOTAGKXQGHRTGMZNTCY,zibxqfmsisiyebvtrutfcoybfyqcjtxedjeqtnmwa,Ffegtheqbp,1-837-151-9912,m,,10.0,Questar,ND,116852.0,4.0,3820275.0,Hialeah,EOT13462,4.0,United States of America,O,KGZGKCXMDQVJAZUECYZPSU,R
M,bonwurclgcqecqweixwwmuupgnqgfebkpgpbqhjpcisrdys,0.0,Rvlcyoyya,nxedtrjignhvdshcidho,uizvyewnejs,1-149-598-8491,f,778.0,32.0,Levi Strauss,NY,239502.0,1.0,1873597.0,Overland Park,Rvl13463,4.0,United States of America,N,qjydtbrmytzdxdk,R
M,acdexsbrvjxrlcfdsteoeanbly,1.0,AHGPCY,Fmscgjygbqrlrtecziesdycdcdgsqgatidnprbwzeagfeykxjfxzeijktuu,fwkochmo,1-036-971-0352,f,359.0,54.0,Chesapeake Energy,AK,219726.0,2.0,575291.0,Paterson,AHG13464,4.0,United States of America,,SEOEUQJHWJKUMCONIGTQKQRJONBHV,O
,HYELVSAFTBVDXEZUMRJIRWCQOFDVIGEYXJZKWUFFORKDUFBQY,5.0,OOXJUCGVHDUQRVQ,Ywefvlylgucwebfvfqzsipspahnewbrxdidtoxgkynswxgjrbowzyqclytngqgndhgktfdnychlycbg,shervv,1-697-829-7072,m,591.0,70.0,Starbucks,CO,262854.0,7.0,3767157.0,Rockford,OOX13465,1.0,United States of America,,sgogylovirgbxqoqbwjxy,O
M,,1.0,SSUHTUHREECIVCVOIJNAMIPWZGPZM,WEEJFNXTVJETCTVWPARWBIFFCMQFPGAEBIKTOBGUMWHXFTKOJIRJBHHTWEXBTGFRVSU,,1-216-988-5304,f,,71.0,Xerox,NV,459503.0,4.0,538962.0,Lubbock,SSU13466,2.0,Canada,,Oxegmyjchdxl,O
D,SXZTCDGBCIFFRTHVFWWWCJSWXFLMVCKEKWZSCVTKKBCNDMWOYXCBQN,4.0,bidlggpdse,Evvgqdqlvmdyejrflnwksgiogmc,,1-256-106-4282,,458.0,75.0,Textron,TX,462105.0,9.0,1961830.0,Palmdale,bid13467,0.0,United States of America,,UVHAAAWBRANI,O
M,Omdijmkggcgyyjxaojizvdrrapiganfercrqagbpnvvssqrbmfnvhcwfeg,4.0,Wnmifqajhorbgbrkbjrvitamd,MVYCOBWWLUYNNHISTCBNVFKCZWDUNXRFCKMDIEFJ,RZQZSOW,1-096-718-5768,,301.0,53.0,,Alberta,198464.0,2.0,2415608.0,Salem,Wnm13468,0.0,United States of America,,Gyryyzohlhftzupyejyhd,O
S,Xeckuetdcbnzdell,0.0,Xtfkjg,fseokrxaudfbitpgrfplvpehacxaytuktfucscoccquainxtrpqkktajfgybnbnjtxpgspiimoclaru,VFIGH,1-722-764-8131,,655.0,9.0,National Fuel Gas,CA,,0.0,3943144.0,Peoria,Xtf13469,0.0,United States of America,H,yfndubpiqtgnyygxgih,U
M,ikhmkdvjrwgksnyfkwwfajchptaxiljulsffiyswlvvgwgcjowl,4.0,KICSFLWEJUOVPLUZ,FXEYMDDOJDIHEVKKSICEPRQMIKXAWEAYMONEWLMHZLJYPAXKDMRKABEPABISAOHDQYHNZUG,DUUAKXTSJXXT,1-424-631-4720,f,525.0,63.0,Express Scripts,GA,106151.0,4.0,737530.0,Colorado Springs,KIC13470,5.0,United States of America,J,vwaxixokoyogd,O
D,hupiquikinvsrmgjngyjvjnqmajlxpkthpygoqhqiccvxuqtbetwxznrrbujkjojxpgmhi,0.0,Jexeyuurmblwciiy,WXEJZIIDOWDOMHXLFWSGFBDAZITPOSHOUMGLKNFBGBPWWR,QLUCWCKGOIJ,1-267-551-2342,f,606.0,69.0,Fidelity National Information,ID,328781.0,,1998384.0,New Haven,Jex13471,2.0,United States of America,d,OJMVCVDANIEQRAVKZKQIEJ,O
W,Etrxcgyvoxgydfvprrltpvqoibnxh,0.0,yfzslslqjljliieouudspx,EEBYAWKQKD,GSGHOJSP,1-847-816-0514,,772.0,97.0,J.P. Morgan Chase & Co.,ID,956.0,4.0,,Alexandria,yfz13472,0.0,,n,Umnzjlbfbqyqqhfosapclsmfax,O
S,XJGFSJMYNQWETSDHHLVULYSGGDSWFYMVFXFGCFGRIGKSNEKGVQTLDENPMBIJGWN,3.0,UKPVIZDGEVBDKMSAD,ZYEZIAWPLGPPXDQNTPAJNWRJWXKJXRUSEQFDKFEJJTIHVKQHSJBTTHGCPQS,Xkinwjceqm,,f,776.0,23.0,Brink's,AK,133028.0,9.0,1334410.0,Boston,UKP13473,3.0,United States of America,,Kjblmsx,O
S,NIXITKGXMYPXPAAXRRQCUPVSAQZOCH,3.0,Rqaxowfkgtbps,Hbybvrjpeedxc,Ktvitaiul,1-111-736-2325,,655.0,81.0,Lender Processing Services,IN,123423.0,2.0,3738739.0,Toledo,Rqa13474,4.0,United States of America,c,JBRAEFLCHGS,O
U,bthhrimsiuvaymktfdvwgvivcsknpxawhhjxrmahdurcznhnxqtnkfekyoyaksffxchxveltys,,SVCDYUP,xjpnhnjgyhmxnxenhudegmlcvfct,NGIWK,1-473-506-3410,M,811.0,95.0,Mercury General,NV,244414.0,5.0,3352677.0,Fayetteville,SVC13475,1.0,,,suazpjqdav,O
W,Lhimhslrcoulaagnwciebdueyrbioftsniwsopamyjujvycikevzsbbtpraltnfw,4.0,Jrktrpahfgopgmkhrspjrsj,Xlzcpwbhlcxugrkb,Qpkzpdpuzjfm,1-544-797-1619,,315.0,73.0,Marsh & McLennan,ND,182062.0,,2588787.0,Gary,Jrk13476,2.0,,,Kdwml,O
S,FZVSTCKAQKYZWNHZMUZLCVWDIEMGVZZYRCMMEHNTIT,4.0,fdumuaqmqoclpd,QKSRREWKNODZXWWQELQVCTQOJXCQWNHXBGKSPIHISZDWHQCUCCCD,EPAAC,1-689-680-0006,,487.0,42.0,Marathon Oil,ME,478801.0,8.0,1057130.0,Los Angeles,fdu13477,5.0,,K,Oldiwarljduiykmxpzko,O
S,Shbtnzzrxxuygxlnejcenzzmfkkfhqxcsjaeagamldpsxcj,3.0,EZURNGUKQRVSMEEQHJO,LPCCBLWEQNMLMSO,zwwme,1-162-496-2739,F,777.0,59.0,PC Connection,CO,376367.0,3.0,2378969.0,Raleigh,EZU13478,,United States of America,,Endqpbuanbyzzobifinuwcwyx,O
U,gsfxxiafpanbdrsvzmnjgduzxiadkrfksmgwrtmbjaukpkfeewvpkxdvgouxjesqbdtqtmvqipzmpel,4.0,Jbdnsqjgkovqhggedppprp,,Xxwvjffwmejx,1-486-955-5715,F,439.0,93.0,Marsh & McLennan,MN,63705.0,5.0,1829485.0,Garland,Jbd13479,3.0,United States of America,k,Goixqdev,R
U,dlsmvmueuzkfxprhhttd,1.0,QJBNAOKQYFCKBQPCTSNNOSQBKXMU,Ojugshxfbunbpuqgykrurlfcylbrgqrfmksgrwruckcrwpnjqbysrllivslyiaobwkpupovrvlsreuqc,Bkmkoursg,1-494-238-6555,m,576.0,5.0,Delta Air Lines,NJ,170476.0,7.0,739478.0,Chicago,QJB13480,2.0,United States of America,D,Khthcjdatszrdyjfmjamxnpubiudu,R
S,Nehfzgiugqnkrrckoiuojwuoarbqcxbcqpfvsqttetjpstqdhtyvpkfyccw,2.0,Uujrcemf,Tmfigelrrvnmfsekrsznwbk,WHJIXDVVVS,1-586-441-2602,M,599.0,56.0,Bemis,AK,71613.0,5.0,891465.0,Billings,Uuj13481,0.0,United States of America,s,Vdkcmodoxjrn,O
M,Tdcoqghrerqvvtrwivcirdvmoqph,4.0,Gsplxkqctylpylolslm,Qktmsquwhpmefx,VODCRWFG,1-733-849-4403,f,837.0,76.0,Sanmina-SCI,NC,246457.0,2.0,166571.0,Lincoln,Gsp13482,1.0,,Z,NHHBHUJKC,U
D,Zjmzctuaezjoqgtimeugfdvakvwcncbhzwevlhohyeigurazdtehxmay,2.0,qhppllixlwtcpoooauyicjhed,Jcsudnvqpznkwwoswtspzavqfejivteouafbvixwhzcuasidgiftidofpyanxztpyxotdqacuqtilmg,Qolecjav,1-979-182-6216,F,680.0,51.0,Goodyear Tire & Rubber,CO,138594.0,8.0,2872636.0,St. Petersburg,qhp13483,2.0,Canada,,Taqxqwgxksryxrssr,O
S,Bwwnflcpdsyopeiswflqindifzpxslq,0.0,fjjsgaldcctjddxdh,rnbtiefzkswsxompkqjpyrbvgwydehwdzdevgcyrkbdmjlxrtuxlkqzaag,NKOVUZQVYR,1-711-798-9515,m,362.0,72.0,International Paper,MO,55141.0,8.0,2567551.0,Lewiston,fjj13484,1.0,,,wiywwqullsgsmtaiailoyffqldt,R
U,ghpdrybrtukksnzjgtatgyvinffdihaieopxmintvygrijgyaeheyvvjyjqijycmewelvzfy,0.0,Celzxcyrjih,FQUPDFVFSCXHMJORATTJEYYHEELRFBXKRBWYGTDZNPAMPPL,,1-202-123-1049,,471.0,13.0,Eastman Kodak,IN,157678.0,7.0,2602632.0,Halifax,Cel13485,0.0,United States of America,m,Xnpcisnqwxzmw,U
M,zplhzyjc,4.0,Yarnjefbkcdplvdocpjznriemhb,xocvoclnbslivwxfvdjzcuqhqhllmhqaugmtc,ideskroh,1-483-768-4607,F,749.0,25.0,FMC Technologies,Quebec,412324.0,0.0,1070957.0,Las Cruces,Yar13486,4.0,,t,Pjixvuomg,R
M,ghojeblmgvfctpyzdthomw,3.0,FVDFPQVWGACP,Xawmcbqqcqbroqsyfffxnfreihstlvgodsjavbelywjloci,Huhah,1-633-034-0817,m,,32.0,Analog Devices,TX,37291.0,5.0,3918351.0,Albuquerque,FVD13487,0.0,United States of America,t,Axoehzmnxqxzyc,O
W,,1.0,dssbv,,nyzcglcbnylm,1-704-905-3378,f,586.0,,Hawaiian Electric Industries,KY,128730.0,6.0,2864164.0,Gary,dss13488,4.0,United States of America,,Btvvyvjjlcmwwkcgwmhbfrxkzkddwi,U
W,Vswhwnsfjipnibevwrotryrmpywenqktfxyqhuznpcvjuktswxirqtzjekhujudxhu,4.0,wqvdctnqejjbpxquuhixej,PKSYCQOZW,Pxndh,1-396-986-1220,,619.0,56.0,Bemis,RI,370457.0,1.0,1929674.0,Jacksonville,wqv13489,2.0,Canada,,Pvtdgzmiv,R
M,Erwzfsfljjehglsjlecvwmohvxudveasshesbhadiocsrotxyxweikqlftmwstvjkixpltjyhgiqpj,4.0,Aaxadshdseyqrexilr,QLYRRXWFPZSLJOBQEYZOURHNCUEJWGPWGZCYEHBJLM,Feggudp,1-807-531-0442,M,498.0,68.0,Pool,Prince Edward Island,,7.0,1389537.0,Kitchener,Aax13490,4.0,Canada,O,Vojyryeoilnmqtoooakwpcxchtwgt,R
S,SROWS,2.0,Hydwosczbhvrsquaauzfxqshbasmyk,EYIKLYUXLXWDWCANYGTKJFEQIKQBRCCUAPGRRXHOQOUAHZHSGIQGDLDDDKEFYN,bwfttqhb,1-802-942-1152,,651.0,37.0,American National Insurance,AZ,74242.0,9.0,2921462.0,Rancho Cucamonga,Hyd13491,2.0,United States of America,,ubqrtk,O
U,Uewzmwkbtkuocpfpadmkcouavrbwutcowvw,2.0,Nwmvvkmvcvzotok,ncsyopzkrhnktoxoyldnmt,cxeidb,1-680-129-8685,F,484.0,96.0,Ametek,OR,179487.0,6.0,2908407.0,Missoula,Nwm13492,2.0,Canada,b,Qkkbxgirsq,O
M,Jpltlfcqzwshxdpnmemuqkwuixdhnikupmtodjvwrcwpmeujmtalpjbvqqzglxarcogvvouedc,3.0,Mpybauxvuwhwooakmmmfgmafvie,Shrbtxeaxqnjtzqcpiejksnblnldjdwfqokktsvnnysgexltfevbmpyxvtqaxaetambdmwvmaz,Acqdijhcv,1-572-232-4927,,,85.0,Bob Evans Farms,VT,244651.0,,1406827.0,Modesto,Mpy13493,4.0,Canada,g,NVOBJM,R
,Zlzekejycvy,5.0,Ctvfh,uvqyowugmraiufinppvzofmplaynaakbtmzzfqrlcetooxfmpgmvlzctnixxxxa,JZPUTM,1-056-861-0811,m,841.0,60.0,Carpenter Technology,VT,100346.0,6.0,,North Las Vegas,Ctv13494,3.0,Canada,,Dgvsaozaaqdqhoihlfjou,R
D,AHCJTABBQNQFMBJZPAJQXYAVINLXNFKNWRSWLRRTKVMCKTFVJELBJVKMPI,0.0,SZNSUKZYNAWMGGUZPX,Fxaeghvdomawcvvfeekyonucptbegzmozxobdjfwsolkfbigoafike,LBHOPALEFY,1-042-100-4933,,319.0,96.0,Watson Wyatt Worldwide,Newfoundland,491593.0,10.0,1518821.0,Coral Springs,SZN13495,3.0,United States of America,E,jxtuqxwtiq,O
S,Acsjtopljgalnvunddclowxmrfsysxpbwizxmu,0.0,Jiztrc,Wtalksicvvautsrgtegbmniiiwimnte,plcqfspxjs,1-125-604-4438,m,718.0,65.0,Abbott Laboratories,Alberta,380249.0,6.0,,Cheyenne,Jiz13496,5.0,United States of America,c,EMTBEJXRJWPFNGRCEVNFHLCHN,O
S,WLLUNVJZMPQSYT,3.0,DLTQTYMWLRFI,Eamsoinjwbvyjweahyajlmrbzzfgjfkeomwvmsjbelpbiqf,vfmezgb,1-941-703-3634,f,506.0,0.0,Emerson Electric,Newfoundland,187814.0,7.0,1650458.0,Lubbock,DLT13497,5.0,United States of America,H,Gqhgpicweeruclshg,O
S,pvjuqmjcnlengbicvuygkukbwhkrdoogisod,4.0,kikcmvjew,WPKLBUTQNQBS,ASWVZB,1-628-769-0512,,833.0,97.0,Host Hotels & Resorts,TN,74208.0,5.0,707359.0,Las Cruces,kik13498,0.0,Canada,,UAKGHCFFKLGFQVUUEDVOCYQQOXJFZ,O
D,dlxuspxcxbkwtscemdohofx,1.0,Ttktfuildblyxzc,Rajthwqcivphfsjacdrlgiadgjjl,Njvwqm,1-745-587-8470,,,61.0,Northeast Utilities,WY,118005.0,2.0,1761663.0,Kitchener,Ttk13499,4.0,United States of America,b,Ofdrgysgb,O
W,wmbtg,4.0,lsmnphahoubidmgczfw,Bfbwoomkrzkududbpspjlruborxkaqbedcequdvuerlq,vxrcrftpjvkp,1-394-919-0688,,766.0,58.0,Dillard's,OR,191030.0,2.0,3543735.0,Madison,lsm13500,1.0,United States of America,F,jlnrpnxxqayzobfw,O
S,Xquruioalwchwrggeayzdegratrtfoob,1.0,Lxdctcnplohusgddkmvswdmyaod,Clsqwhftjjadxitrpciwqjrbvbeiuiizwpcodizfdwfwwsvbksfakwfzjfztys,Qfshbkl,1-522-103-3086,f,844.0,7.0,Pilgrim's Pride,SD,58702.0,1.0,3895099.0,Iqaluit,Lxd13501,4.0,Canada,K,FNQEXZCLGZYDEPDRVFVJSTTQPDPQG,O
M,lwhcxipfftfqxbxuppqnkudzudooxfisvsshriipovd,4.0,OCNRFIWRDOON,Cmcmqazvwaufgvy,IYRRRHADAHEG,1-178-650-8044,,320.0,73.0,Comcast,CO,4782.0,4.0,845840.0,Lowell,OCN13502,5.0,Canada,J,TGAEWBOTAFFGEFHPQFPVSB,O
U,Gnkgohnilgrcwdfmlruwpxwjgpeiptkxwmat,5.0,WBVFRJHHMH,Eurtfneelbftpcqsiclgqrggfirdrmajowycrzmlntlpyggwuhmelyzkphbbqzrzgylhrhycrzbjlfha,Eijmyni,,,485.0,18.0,Procter & Gamble,OR,351608.0,3.0,1872635.0,Fort Worth,WBV13503,1.0,,t,ZWRSEQJHAFDFYQQARLFGECFEGCSCAF,O
S,Znhpgkolksvnbvtajnrhaofamzntqyihsqukexjtxjdwpqhoplnxtec,1.0,nydbjbkjixh,Bvqroumjgiapzyharllligxicatvskm,cqifznhdhv,1-083-498-3822,M,745.0,83.0,Brown-Forman,Manitoba,51088.0,7.0,1884289.0,Sterling Heights,nyd13504,1.0,United States of America,v,IEOPBLLNIRIRLLNCQAD,O
M,utpefcnwpohhuapfibkrgttg,0.0,ITVTXUPU,SENWLLJFFMFBPVHAHEDMLCKWXOZ,Pceuhryfv,1-539-508-4697,f,730.0,5.0,Whole Foods Market,KS,168224.0,8.0,3866617.0,Inglewood,ITV13505,2.0,United States of America,,Glgajofrqhnloirywrnebebddqp,O
M,,2.0,Fesfxrhxbtie,Pvgxkouyvzb,aaaqukcicdjf,1-586-699-5726,,662.0,23.0,Pitney Bowes,NM,455656.0,5.0,3888621.0,Las Vegas,Fes13506,0.0,United States of America,,YCYYIKLMPT,O
M,Vchqeexmoiodautgtzi,3.0,Jbiwziuoctkx,Lrnnijl,Ephesijxz,1-060-166-8883,,833.0,94.0,Mattel,VT,353881.0,1.0,2039174.0,Sherbrooke,Jbi13507,2.0,United States of America,H,lygmlactm,O
M,gafrsbglshrvsekaddsic,1.0,lbwfhrdmgugil,,Ewrxriqfymhu,1-060-342-9196,m,358.0,20.0,Lennar,CO,299320.0,4.0,1357803.0,Cincinnati,lbw13508,0.0,United States of America,,Syhrbqvejyzvyiuwunglbktwh,O
S,Epjmbpevlcjfyeneabkfonlohebfeopnzfgxuybitipwfbnb,3.0,GSNSOCKC,nieblkcogyeegxyuftnl,Lvchwvnvdkan,1-482-082-6130,f,511.0,90.0,Sherwin-Williams,NV,381525.0,4.0,778633.0,Provo,GSN13509,3.0,United States of America,V,Vncrtgbvhtchbpl,U
U,xcjtpbdlwqcpaifiuzflkykqyrexbovahtddxveyjqtnnkzoxwcjkjmfijwojubzwaqglroztycggoy,2.0,Qeunziuhsqwphwrbt,Fkzhwychbeqioyercapozzmqeebezcueanjbgkgsjrujlyejmqmbevgerjsqjqmm,asmdjo,,,513.0,35.0,Masco,CT,450394.0,7.0,2728861.0,Gary,Qeu13510,5.0,United States of America,,VYLJKSFBSW,O
M,Brakalldljgewudrgjcijwsplfwsilohkxceqeqkh,4.0,adwcrpqmartcxyqixnsow,KIVOBHCCBJRJMXPJNLHQMQAKGGXDLBXTVOYNUSXJKNZJSTNNPHUZYMVKAJWGEKBOJAWFTDA,wpjnwskmh,,F,689.0,29.0,3M,AZ,362507.0,2.0,3806206.0,Chesapeake,adw13511,3.0,United States of America,,Dwqluegvgefwuzvgfpyifohfv,O
U,Kryjjswfnongixyoehrylhkllywlgpzjgktqllrvjasknwerkhekckevjhjflcgrpqhfxbn,5.0,WUENSJHTEASJVIMXZ,PXKBOBPVKVSXUJJXHHXUBLCHEYYHMHNQBGSWHFIDMFDEESSBRAMEPXVCCHBWB,ylbkokn,1-090-245-7095,,799.0,10.0,AMR,AK,406881.0,4.0,2431184.0,Glendale,WUE13512,2.0,United States of America,,Kcqmlrglauu,O
U,rlwzgpxjumbyqdxckprrramjtknz,4.0,Gpqidedjo,Rmmazbvkdppxhddkeygebpxdpibmxmjobjnkkqdpvcsfpjdrumjwbgbarljfjmclwzrmcm,znlpzzt,1-260-375-1481,m,678.0,17.0,Radian Group,British Columbia,4446.0,5.0,2941410.0,Biloxi,Gpq13513,4.0,Canada,k,Nijpngarmxkrzgmmo,O
D,Cmqfdjvwqquahvcflzyojjxqnzfvgmharkpfjjjokvwtzke,0.0,Vytiy,Jolvjbrtcsethgnzgyhewbrkzxhrdzxvufnsehutvfinkhatalawdttguzrjoliohnoypcikkjcrwcpj,Vawwyebm,1-432-120-0459,,666.0,14.0,ArvinMeritor,MI,,3.0,84480.0,St. Petersburg,Vyt13514,3.0,United States of America,o,SQDCWRPYDBKYDHTKISCCQJPRY,
M,ooajbyxvvuxlepcbmt,0.0,ylstzdexzsqu,BWUPCWTLEHKLYPGMDWMKFAEHNSKGOPUHVYKMAVSKYXVNLQYWTELIEBU,Cyhsq,1-255-382-8281,F,354.0,98.0,,ID,52963.0,6.0,2939892.0,Phoenix,yls13515,2.0,United States of America,B,dsbgnycgycnleybmbs,R
M,iicvlyjmfyzvwbvotpsetdfg,3.0,dcavdgrqmgxyugifo,Lxabxteyjjlidkaqvejolgsjctgfeehcqhadqcayifqldvimh,Vzjuylpcjap,,,442.0,7.0,Bon-Ton Stores,CT,48624.0,4.0,1141828.0,Durham,dca13516,3.0,United States of America,N,QPTGNOAVMURLEURGD,O
M,Lgkgispjqeksxzjhzlabrzkaitbpqvoepkvfuxxuetcsywnvrjppdotepkuswdmpszqnjreeisvicipd,5.0,OGAUVSRATGUNZ,cvevebpyzjjccjriyfcq,kucjerinwr,1-950-497-0045,,808.0,92.0,Autodesk,IA,127598.0,8.0,,North Las Vegas,OGA13517,0.0,United States of America,b,Msbpxmu,O
S,Nklvqobmtdkvjopycxicicl,5.0,Ubtvyvkeoahhmmdkrlrawzjvuxxb,Aweskwrywrcvaawatmjnplxwwlugagifcncwagjvkyzthifpgkljdmfnlknbggwuwrovjrqtelhzrghw,Rgznd,1-550-617-0258,,615.0,59.0,Devon Energy,Ontario,394393.0,3.0,1032884.0,Lakewood,Ubt13518,5.0,United States of America,,Yatljsjptbpzcczpuqtmusgghvli,O
M,FQTKSFQOWSBCJRXFLBYM,5.0,Ckhkssmqp,pthlzndkcoortgsjjcjxqvanybfgdbballaqwbvngcacmltdvpy,Siwyahkebnl,1-424-372-1915,,672.0,98.0,Airgas,LA,,5.0,2677195.0,Scottsdale,Ckh13519,2.0,Canada,,oztvqugevleo,
M,Yxwfwbubbvscaeejeudwarcohwvjoxryivsbrdqumilbkdl,3.0,VEXVKYRHCJSLOCWKVTQKEZXS,yjqmmuucqappabmsdqibviaelyziutdkalsdzdplubmhmefedwjkimcdffkiwqpkhqgtbhswo,qjujuysmezz,1-539-511-6100,,371.0,45.0,Curtiss-Wright,MO,475668.0,6.0,2533105.0,Newport News,VEX13520,1.0,,,Ikbil,O
,aqomtjjebejarumksnfxpukdlqpi,3.0,Wznermsgev,IXVKRGDBZMMBUBEDXNPCMIWPBCPXFQBBMQGYRXRUNNTYQMPHNSXGKUCOOAAB,Yvncplr,1-287-973-8395,,463.0,8.0,Newfield Exploration,AZ,433266.0,3.0,3216748.0,Moncton,Wzn13521,5.0,United States of America,,Dcakzorrashvuiizqzwwov,O
S,yimyhqxqvdiawzelyfymwdvkncpgcwkiuvkhvhukqwathwpakidnosfjdauw,3.0,Bqavqulgmfjzdkxsrzn,DDHIRJEYEKNQYSRVCPMYULZWRVMYFITVJPJ,fwvsviiflg,1-062-872-4901,,679.0,23.0,Avon Products,NV,354223.0,2.0,1104090.0,Arlington,Bqa13522,2.0,United States of America,Q,pbfbacoikwtnnmphdfamhca,O
M,mxwhsylcrrliuueahmmjulvpuvvjcnpvogxhizqmxrn,4.0,ovvuts,XHVDEJDFDWKIIGZOUSPJSRTO,Owkmltdgc,1-945-561-4162,,547.0,46.0,Entergy,MT,19152.0,4.0,2997988.0,Santa Clara,ovv13523,5.0,United States of America,,FVYOGNGLIBIITOYNTWPROOTCMYSKI,O
D,Fojaufqdbaejhnehsnvvvvrvtlbrstjwckoldnvfhgnptbmdglbfgykdzizkmq,4.0,Qvshd,Tljgxvlusdtddrdataq,zlboyxxyksva,1-879-587-3035,,,86.0,R.H. Donnelley,NY,,8.0,2056015.0,Irving,Qvs13524,4.0,Canada,,wgmfbfvgz,O
D,Pytrmebhwcggyyifxjawnuoiwhqmwrubbdnekvwqoaaivzgftgoocmsfc,2.0,Recvzwrdbjmnywklnrzaxqifr,VHYBJYWLRSOVVNIKIOGYQIRVJFCDWDOHXOOOWPKWTU,IDCQCI,1-929-518-4038,,,,NRG Energy,VA,,10.0,3379610.0,Boston,Rec13525,5.0,Canada,,Azprjnikfbfgepdh,O
U,zpnwchqqswacmyqqgceuviluyqf,0.0,TVDWPIGYG,pbixxaskycccdfnqceqkfrvxrgwedklckle,LHMCUBCQ,1-692-509-7098,F,747.0,5.0,BorgWarner,MI,158014.0,8.0,3482102.0,Sioux Falls,TVD13526,5.0,United States of America,,wnreqa,O
U,,3.0,CHFBDYYRPKSPCUNCXNA,,adouhiw,1-967-105-3945,M,599.0,95.0,Coca-Cola Enterprises,IN,127297.0,6.0,358575.0,Bakersfield,CHF13527,4.0,,y,Mbiasqgnpfdvjblogyiijsggzwiwa,R
M,Rhpdrqzqqxlxg,3.0,MOYPODXAPACLRMLHOGDI,CHBBFFHELRGCEARE,,1-667-479-9813,F,365.0,26.0,National Oilwell Varco,AZ,253770.0,9.0,2967131.0,St. Paul,MOY13528,3.0,United States of America,F,Dbqnk,O
