prospect_OwnOrRentFlag,prospect_MaritalStatus,prospect_FirstName,prospect_NumberCars,prospect_Employer,prospect_AddressLine1,prospect_Income,prospect_AgencyID,prospect_NumberChildren,prospect_AddressLine2,prospect_Phone,prospect_NumberCreditCards,prospect_NetWorth,prospect_City,prospect_Gender,prospect_LastName,prospect_Age,prospect_Country,prospect_PostalCode,prospect_MiddleInitial,prospect_CreditRating,prospect_State
U,M,OGMHQZQMHOTSLBXQGLH,0.0,Valassis Communications,spewkgjjhuyzdcgvgarteejoqoyojcxogjnrjfxktearwoneisuqaai,180443.0,qah13914,1.0,Dhixzmcnujciemwfqwnkfuroxuytruaerzlmavicsflwnibveujaochptjcsomwszkikedxutbnlzy,,3.0,396974.0,Ottawa,M,qahpnwsqgbzld,83.0,United States of America,JHEWMQXMQDN,,772.0,MT
O,D,EJHGHWKBALBKS,5.0,PepsiAmericas,XVTLOSMZLPTGQUPTGAUDJJCKMOSPBIUDTXWSBPIYMKZJRRNXVPWX,363506.0,Jaj13915,2.0,Bkdtsuhnhmbrqbqpmtdxvbe,1-681-087-9468,3.0,738013.0,Biloxi,M,Jajiucjeiqvyvmlswaa,19.0,United States of America,NMOJZSOFVRV,d,410.0,Quebec
O,U,momllegdrtjctwrwwzfnqsgwrapgao,0.0,Sprint Nextel,Qcyjfcffxntiwlgaxfqheuldgitpwlbejlndsjogmytxjwebximgfhmuoaotvejuhopnbmskesmuntk,58149.0,Tzo13916,5.0,xtudhosmypdwlwtojvukminuoqwtcxjfrkqnedvas,1-981-003-4317,2.0,2308599.0,Great Falls,,Tzosfik,46.0,United States of America,,H,542.0,IA
R,U,Nzaecgyrugixbxwsrd,3.0,AmeriCredit,Uoagdncrvrhsyctwrjt,232020.0,BTJ13917,1.0,FBXXMIVIOKXFZKPXVWXFRCRVLZPMLAEFJETIGANLSUSJQZMMJKHRPDXUMJMWFBSGTMNKLQVTVBHVTO,1-252-355-7571,7.0,3981033.0,Miami,f,BTJQWS,73.0,Canada,Nlkblujw,Y,780.0,OK
U,M,jnyutftqnxldexfaazbtr,0.0,CB Richard Ellis Group,,316474.0,Bay13918,,uacfsjpdrdyzmdldsrcpi,1-836-273-6192,0.0,1163626.0,Houston,m,Bayeasoagjtiogwnxbocvooqf,43.0,United States of America,Nxxgu,R,736.0,MN
O,D,Qkebzjqsnkevfgnuf,2.0,Insight Enterprises,Tjvavakbainmjsycdqhbomxzwvanwhnidqbdohbbdekheolfptaqexiaginkymqhggmbv,261926.0,Ydg13919,1.0,Jjsjjpemxwfuheuiisjdlhxn,1-606-434-4128,1.0,1061919.0,Saskatoon,F,Ydgunwewcxqozfrkedffbbreig,24.0,United States of America,PLIOONIEXZ,,317.0,MA
O,U,QBCLKSSFANFQNWBUCWBR,2.0,Weis Markets,,233090.0,yzm13920,2.0,VDDTHPOKCZOHGKSXIAOENHENTSGODWSNREVDSHTUEGGFSIGVNMFBJKITJHJGSXJHHQWE,1-183-030-1872,2.0,2084315.0,Lafayette,,yzmkkwgkdmvvppb,98.0,Canada,Omhlhbdin,,527.0,KY
O,S,XVGWAEVCMXMTHSYPXAXFLFVPLIPE,5.0,Macy's,Rcrtsgavcbwctklujfoskywumknealfxfnnwviufqphuhibtpeisskosilkkenpmje,301863.0,psa13921,1.0,Lstwuuhxosekhbpquntalafwu,1-080-823-7999,8.0,3971659.0,San Bernardino,,psaturqqysonhgaqdzxj,76.0,United States of America,FUYDWLGZVKW,Q,688.0,MT
O,M,VZEXRNDEVRSLIAIF,4.0,Western Union,icdpufhixuxtsqwfizwxacsmrm,265532.0,Upi13922,3.0,Gyelclnbfvfomgkfivfsxllgbxvw,1-100-841-7504,6.0,1808436.0,Las Cruces,F,Upilozqxxepnzbwufnenqqnoclgftr,88.0,United States of America,Wcxsuco,,743.0,OK
U,M,VVCZIWBGGUDWEEBBDQQWPXPTTGN,0.0,United Natural Foods,jgmdpkntkcbkfxcddgirlkkfqdveprlsfofg,77998.0,XUA13923,5.0,vqfxlgtx,1-786-279-2981,0.0,2696965.0,Springfield,,XUAVO,50.0,Canada,ZPPTGJ,c,499.0,Prince Edward Island
O,D,Crchmyjvzqicffjtkrl,1.0,CHS,Muthrxlsvzuxgdoogmsiinsibjxjepq,234183.0,rqf13924,0.0,XBPEDJWCNLLECIQVMKGGBPTOAIFMRRZSJCSDKIPEHYRVOCKBMWDEJGYZSLTIOQZKXSLHLSITVJIYCHJW,,9.0,3241209.0,Riverside,,rqfkeogfmpehttdr,95.0,United States of America,DAIERPTUEMND,C,725.0,NV
O,D,qcchwijkwfbbhzglxhonhotobqvi,3.0,Enbridge Energy Partners,igrehe,290353.0,OVJ13925,4.0,Ekbvzgwrawhgyyigvferjimfvraegd,1-884-271-2918,0.0,99121.0,Indianapolis,,OVJQPE,84.0,United States of America,Rogjxwxxc,C,,MT
R,M,Hwmyckilmphdr,0.0,Computer Sciences,,78188.0,Rwt13926,3.0,fedjudawjynetovwkudozbjfvjqqjejpsdzlsbmrzgrtoaaphfxnfljxrjh,1-564-433-2755,6.0,2411633.0,Orlando,,Rwtxyizpnnhzbtodhkylqcreo,72.0,United States of America,Riqsrzh,j,377.0,MA
O,U,CEQPXKDBUTFMEQELBWTBO,4.0,OM Group,Txvgpkjiulblaexmbpwncxdqyecmltydvgdifireezjpqchdzpxvzidsdeqwprzcjegbyuhmo,199557.0,Zlo13927,5.0,Ktznxqewrbbqqqppjmkkskddbtwivmtmclarawxqognrrnowhwakhugsgpdau,1-526-735-1170,5.0,3936495.0,Anaheim,,Zlokqrrnwhmnwpkrvipis,55.0,,OXVMXG,,411.0,CO
O,W,Uebxrmbqsnsc,0.0,CIT Group,Wmnlhsukffwlxwrcqjyqyxeunnmpfjefcbrmlqojhzapayasyfohpkrdr,150259.0,Cks13928,3.0,Kqzokztgnvcvvtpuyojityuoalfvyskoawqxfgugdvumlypjveeiewwr,1-006-822-2837,3.0,935867.0,Scottsdale,,Cksucjvzeicmhcunlcjicbbmpvgff,,United States of America,vmhaaqpdku,t,684.0,MO
O,M,ROOREDTDUXUPALY,1.0,United Refining,GSEPSRJQDVRKOHTGPHOHVIETCXDAVQYDKHAHOGLBLDFRGMXAMSCUAYZDLLWBJCQF,299551.0,Hvl13929,2.0,QKMUJLNPMC,1-463-667-7034,1.0,3563344.0,Sterling Heights,,Hvldaditgtjouxkvefjtibsxfgyh,81.0,United States of America,ybivawh,,571.0,CO
O,M,ZHPJGFSXORFHOLLSHC,5.0,Mutual of America Life,SIPNAXGCRDVVSBMQS,237611.0,Dyf13930,1.0,XJKJJWFDEELNJDDHTNTGBXUDGTUYARBUEWATMMRCEYRCHJIWLCBFHFDXQSEGCOMRPOFAGPQT,1-934-003-6736,6.0,3066261.0,Inglewood,m,Dyfqkcdniwideyxxruk,61.0,United States of America,Bdlbo,r,327.0,NM
O,M,AFKHU,4.0,Rowan Cos.,DAVTDN,70603.0,Pgg13931,3.0,Agqnkfvbercfijrwsyahsixjduglrwipagfgamtwnefpkmg,1-072-328-3081,6.0,3807256.0,Bridgeport,m,Pggxwygii,20.0,United States of America,myycljkxi,,441.0,WA
O,D,GOLUZRKRJ,2.0,Joy Global,Rntxgucujitxakpkrpjtvspbatirgomxfofvqmksiuuoinbofsy,274140.0,Yua13932,3.0,,1-091-805-1357,4.0,741335.0,Philadelphia,F,Yuanvxawnzfsgjmpnwogys,74.0,Canada,Fkxrooed,,502.0,VT
O,M,Xjcowmdhjdltjtcwslt,0.0,OGE Energy,lvhugoxjqzwvwrkgolootsqrluzymomaxkjrjkozykqlegjubcdmakaqgmllceqcjzyxn,77661.0,Dav13933,,VRPBGUFNZFDJWOSSEQYQVLTTKGKQTQWDGRUCR,1-173-267-3080,,3298590.0,Corona,,Davtmpojfkfndougmpdxrpyco,13.0,United States of America,Ewnghtwgh,P,390.0,CT
O,,lfkefvgkwhwfmagwcekxrhq,5.0,,pvfnpelnucdqbmcwpgunysbqcdsfqmqyidovredjwsyjgksmtvqyzgbrtitktsxcsynmdhlkmiq,29331.0,GBS13934,1.0,RCPBQQTUUJERUSTSRQAXZCEXQFBLHTHWNCCEVOLQIRCWBRDARLCDMRWFASCAZXNWTMPKLRABWQC,1-957-386-1745,,2674364.0,Oxnard,,GBSFAMFLFOJIRTPFPYMIFSWN,44.0,United States of America,epnwpvlsx,Z,561.0,AZ
O,U,GPPUAFKJXKBAXGOCWHRYSAYAOOFTJU,4.0,CenterPoint Energy,lussqosugdgkusdtmtkbdxnhwqbmxelbohsimmpnfpljbexdi,475895.0,Kbs13935,2.0,Ffenfxwjsifyyhukbpferoensyslndypzivjhfpvicnoqbpnfsrckghu,1-397-956-4678,7.0,781172.0,Los Angeles,M,Kbsltstpfadidloohqvjwbw,62.0,Canada,ANBKJMYHIGCU,e,390.0,NM
O,D,qcpqthx,1.0,"Toys ""R"" Us",Wlmgkupaxdxpzcdpatpjvpcfigsvxdwatfgkslegifcarxpezgmndolyateffvbwzepzexppgkr,493225.0,Syp13936,0.0,Ysgufpznyqrexznmehxihtvgxjrojjtb,1-205-182-3341,5.0,1435588.0,Cheyenne,F,Sypdcw,4.0,United States of America,SQGSDXHLPY,,817.0,IA
O,W,PUZUMDTHIGVRWQWFRWKBOJGGIMKQAJ,0.0,AGL Resources,emqzyxxqjssqiqcyfsjfcsnxgcskftaozvihauxpmzkvhnjddbnqfnboqfgaelknv,207302.0,EME13937,5.0,Tqgeximluhgrdvjwqydmsaszqmutpmlrnocekzoi,1-908-313-8382,7.0,2214468.0,Charlotte,F,EMEUNVNBDBKCHMSECPCCVKCYB,58.0,United States of America,,M,,WY
O,M,HWJVABWNUFXFZTKTGYMXGEEGQP,4.0,Fiserv,afsalklcxthtmfp,266103.0,jqp13938,2.0,Jbfewdbovtoimqwjkajzyvdasrynfqguqhgiuktgjffthxinwfnhhuaqhrciqxgsi,1-019-115-8599,0.0,1445007.0,Lakewood,,jqptesklfunlqyuehluco,97.0,United States of America,Flriixqqrucg,A,622.0,Prince Edward Island
O,M,kujykbuazyefpbbsrfjj,3.0,Berry Plastics,UIVJTVSGWCRMLPYMQSETTJSZJSXPSDNGFPCQESBIWJSMWMUNOZO,425127.0,Zbi13939,1.0,Ylrgjkrffkjb,1-339-158-7109,3.0,3113183.0,Sherbrooke,M,Zbixdmpyboeeebgymim,33.0,Canada,Momyiy,,618.0,WV
U,W,WEXPDYOUEBGEFEEUDACVYSCZ,1.0,US Airways Group,Erjixgvztepdrifpb,393247.0,DYO13940,1.0,Ihctpqeaiajopyqwjke,1-272-243-3337,6.0,2384449.0,Garland,,DYOFHBLRMAWQ,69.0,United States of America,TYXMFLTZVMQ,,359.0,KS
O,S,HROOZDBNGH,5.0,Targa Resources,sbsqjfgedvpipcjospdrrbrfc,223579.0,NHK13941,4.0,MAOLNEYXOLCZOAFSEGXRBKUMZHUVVJKPOAVEPKCGPUSWDERVFHYFBUP,1-688-252-4384,5.0,3703130.0,Ann Arbor,,NHKJBBRCAJRCFOERHNXTLUWOACYH,7.0,United States of America,Vdiebtct,,756.0,WY
U,D,FJWBPJZVYSETQW,0.0,Regis,KSYJZNYYPIKTKJKJOJBXQCFVFV,360982.0,Glq13942,3.0,rwhbseypgrocijoitmexsomnokftwxssatngatsemtdqakdczccejhongzgqtrjzzrd,1-842-517-1117,1.0,3636029.0,Augusta,,Glqdy,81.0,United States of America,Ncwzejbsm,,756.0,WA
U,S,Bcravflcgwuszgionxryej,5.0,Tesoro,Tpprhkeuijrajjlgouuvjirxxfeqmudeaoqrtesjnpmdlsbemjvjhpwcnpuqdskdmjxln,435755.0,Drq13943,1.0,CFVPTLFDBSTZB,1-239-570-1064,2.0,313134.0,Columbia,f,Drqvonhuauocvucchrgwwhfovfuuep,65.0,United States of America,nmvgxbzm,G,803.0,IN
O,M,Ceswxxxkwjaakidwxblpyu,0.0,Eastman Chemical,qypbxiavuahdlrizhztemlyjkpaaiglxhjenxpawvyxvqnszbjtwakrbgbvjk,496164.0,PDS13944,3.0,tlzscjhfgxcsbvguwdwcocwfyoduhekbpqfcfmetwbhauxadixoqbifsswqsoakpmesgss,1-670-707-4129,0.0,3263583.0,Newark,,PDSHVBOZYCZTTSQK,75.0,United States of America,TBFIACEZJ,v,846.0,ME
O,M,RHULEEMNLVBDUIDIQFYLFMJOSLTEM,4.0,Smith International,vkwqrvvaoqqrqypdxfxtlimpqnshwsbhuxpusznadrhyumaeqtlhqlzkiokqjsojcfuovsidkryi,356209.0,Eyu13945,3.0,Cnlfalwrgyqmfj,1-758-914-5524,7.0,,Phoenix,F,Eyumejjrektqohvlyox,86.0,United States of America,Vlyss,G,603.0,VA
O,M,Rvkxjaalseidbelbcqwwuujvldo,0.0,Cytec Industries,Fztfebuekghewtgwdgqijwehyjpiekdixlhixezpupzbokzttmxgksujiwpcvlgjprvtqvawceecu,225121.0,lmf13946,4.0,Cmzdeaovdkmspmyojewiodzkvkjncbcqiotbnzeidgfncxefbxuxyxrsbkmxswianvhxkggbmsmn,1-694-360-6361,2.0,1749360.0,Chula Vista,F,lmfrjzesjkvbytuwqeco,60.0,United States of America,Kmpqlwczp,,468.0,CT
R,M,Jqjutcrmigvscsb,,CVS Caremark,ONTIDGF,141818.0,ASM13947,5.0,CIXEDJJNAZYVZXGMBULLDTPWOARAAGHMKIHB,1-404-703-0017,5.0,1180119.0,Fullerton,,ASMXXZWBUVYPQQJCAASBCIJECCZLW,52.0,United States of America,eaabrgudgnlo,,542.0,Newfoundland
O,S,Mkykjauhgzqeygmxxqxxpwq,3.0,Newfield Exploration,Ridbgbfuvhadpxfuvmdsapcfdocowfchswdadizhgsgazygxbxzbnffslrtko,337693.0,smd13948,4.0,Nwnjgbluqkhtuvnhzkaxjwstcoouucejgdldftbpetyrfusjnrugtpefc,1-951-294-4836,8.0,78819.0,Orlando,,smdmgfclmplgw,62.0,United States of America,Csorffcxduw,,763.0,OR
O,D,LJIQUV,5.0,Tellabs,,95943.0,Bhx13949,,Cvzcxyjducyriizxfiqfrrszpdmcckjxyuj,1-940-882-5583,6.0,3458085.0,Ontario,,Bhxqjjetygwtlbqupirhqilszzr,38.0,United States of America,PJYUFBOTR,S,364.0,New Brunswick
O,S,gndupsdnlrylsoxcetiasuccqknupv,1.0,Quanta Services,WBEIXNAVNECPZISXJUTJFKIYLEQZHOCRECJOMNOJKTVIGFRZIAJFOWPANNADNAHPWNCFLAVOQYF,257089.0,kdp13950,0.0,Arsbsbxipkcmmqdhtcjkktabfboeekdpearxbfuitlajvtjuxejaxkqmrpyhrulworgntylzuf,1-831-635-0465,8.0,1210682.0,Garden Grove,m,kdpkjbpqvnimnwphowje,1.0,United States of America,Pxukqxha,D,649.0,MA
O,W,qhdqieobwohzgjvuhlrr,5.0,Wesco International,UPHMZMIUNQQOBHHDBRI,93773.0,khn13951,4.0,xxacq,1-399-017-4256,8.0,3285571.0,Mount Pearl,m,khnfxaparuijozkjn,62.0,United States of America,Kkpvnb,,433.0,KY
O,U,RTCWJHSCXCYRMFOTQPGYDTU,1.0,United Stationers,nixcauvlr,69037.0,Wug13952,3.0,Gpyevvehphzhakrsscorjkqwunbdivnvxcvtcvebvhuhmxbtkn,1-557-870-4652,3.0,2454306.0,Nashua,,Wugxacflrntukzcman,46.0,,Pdieokc,G,379.0,Alberta
O,W,oyzxamfltbrhpyyqapyonqvq,1.0,Hill-Rom Holdings,flnewkxxugmuxdiaobngweeymkakrqymjlphuftqelxhaouwdacchhdlkhocqzuvkwqjdzfokvaif,114593.0,BFD13953,3.0,Ciqwovttsarbdmokyeumtvvinjllledheryceednvnrjimjtmbovpuippaghwxjvg,1-181-612-7216,10.0,462067.0,Plano,,BFDDUHWDCUVVUXAXCHVRFOYYYGT,98.0,United States of America,Wpmotxtipekw,S,622.0,Saskatchewan
U,,Kdfhru,3.0,Jarden,Azbteamroiymibjnypercuomsvzkfusouptrqxxqckvkyimo,,Hrs13954,1.0,wtqdmibbfqqkragicnmxnevhwtkhskqntdnuubsrczd,1-423-934-7237,7.0,2624430.0,Victoria,f,Hrsqjfvtdrjclnnvkynaalxvnvtkym,99.0,Canada,xdqnruowu,Z,536.0,AZ
R,M,cvsfdlbnzdgfllwfcpg,0.0,Ryder System,askclqoynnembelmxhvzr,459831.0,Pxy13955,5.0,JURVTIOYKJCHVYEORBULGDGANMTMWOULDFEIFTQAYIYTOOCNFOVSGYGSQL,1-904-788-0117,7.0,2418267.0,Memphis,m,Pxyvah,100.0,United States of America,jmmmx,,805.0,Alberta
,M,Dwwfcjmfdnxnq,0.0,NCI Building Systems,ZFAXJAGGJXHIRKMKBOJTGIDXYPSMAQTAIDKBCZIXZBQRWTXPMQRIZDGWCRFBGMMTFCGQDITWCDJ,169145.0,ups13956,2.0,MOARIOYLRUWMLZDCDLFVXFUJGELKQVFHJKPXGONANVWMKXFQBLIBYHGWCOVVNOQ,,6.0,3885556.0,Missoula,m,upstnkzdvah,95.0,Canada,cfnyxjdc,e,614.0,RI
O,S,Bnqkjtpzhum,3.0,State Farm Insurance Cos.,rfzhoksaeazencubdtaryvoiqumtgtxuhodkleeygoxbtmsnxeazjodmnugslhavwvdvtwjrs,244172.0,Qql13957,4.0,Fqekvhjymhvjtsijzjemhrmqwpejqopxbwybxonoojmnfkdnuydmymcecsrhqcpihegkqrabxzohp,1-974-185-9652,8.0,3152565.0,Tacoma,M,Qqlxahfkoxtqa,29.0,Canada,Unxzgubnbmac,M,641.0,Nova Scotia
U,U,BGALGYKY,2.0,Kimberly-Clark,RLGIKIPXQTDHNEJOKKKJJLR,130486.0,Ygg13958,0.0,djtmgbmhztucpuwlewnksrlebhocqcoapmzbwvmterripemlkxtpedoivie,1-802-011-4447,10.0,3273594.0,Windsor,M,Yggsumyyqwnijjlrdzmog,27.0,United States of America,daycmrp,N,391.0,HI
O,M,Jdtjcixwrxkhro,4.0,Scana,Eaiegxcjiamnapmjamniolkeupdspxticwdzbxhiz,360431.0,Yuv13959,3.0,Wfgtigxbblaqqyqkxhrphgsjtiljbbtpwtodgcbnnezkddbwer,1-012-539-6416,3.0,3932499.0,Huntsville,,Yuvbtgctvyp,38.0,United States of America,Fqdprdumhjy,z,375.0,British Columbia
R,W,Umknezolfwhoqeu,5.0,ENSCO International,Ehdsaboznhmnvwyhilvmxnxuxijzlukusaknwwf,211586.0,Sid13960,4.0,EGGZOMTKLIBAANIEWBDMNOTMRFQQOQAJEEVYTKBYNXPPTKXQSGALPNFUDOHRQUARVFGOAIBDJO,1-519-551-5834,,2045905.0,Huntington Beach,,Sidqhhskl,39.0,United States of America,Ywrblb,P,621.0,WY
O,S,AGGEQITQQNPJVTOENULWRSHZIRDD,3.0,Enbridge Energy Partners,gseaufgqagmrawfjhrmkmyvemxwrwejwnoudtjrdgrjpqjjltxtczcqnmvfpr,393945.0,Odr13961,1.0,okiflgntqxukzbnqhhsuupafloqmetstnpvpmrrbfjtmsywmckimsdtlwxqpywkkuxmcurljpkib,1-019-004-8482,,1118147.0,Milwaukee,F,Odrxlsouvaa,22.0,United States of America,nskmt,,757.0,NY
O,U,nzlmi,3.0,ManTech International,Afdmugbjibkuqcklonkurvvnvfrkyygodqedtqsgcgfqtbuxcjdy,272451.0,Sjx13962,3.0,Udvomhjxitavdvchtidqlawuhmxzjfwzljsibdsjijtkunydpzysdrzyatqjybmhvoijrdhp,1-085-175-0598,6.0,1927138.0,Hialeah,,Sjxktaosrafbolextjc,,United States of America,Qqleauv,,479.0,MO
O,M,Ocjdrpoxdswutgpf,1.0,Zale,KOMAOCFEEHVXEFLTPXKVHFXDZFCSRELZBFDLCBUFEIQEUHUEXEEMSKDWFGTZKXOYCBCZGX,157752.0,CTN13963,5.0,Monkmtgmnkotgvrqqvwjbpux,1-428-402-8208,5.0,556264.0,Saskatoon,f,CTNAZVRVKDJXVJ,20.0,,DBMTMGVLT,,333.0,WY
O,M,cmhxykeldbuivziugeb,1.0,Dillard's,HPEFRVGFOZDGAKUVXZBQDLZWWTASJTKSPUHFUECAWLKGK,135566.0,Lam13964,5.0,JTKGOJGDOFGVLLKFTBDOUVRWO,1-069-479-4001,9.0,1608422.0,Charlottetown,,Lambapfhmsgjozpobvmiclwnxgqnia,1.0,United States of America,Dzejhiioc,,386.0,CA
O,M,Jvmbtgjuirm,5.0,Vectren,Lrkppwlzvtefzvuzqzlporcdmmwmjgifmefrvzxmxstqcgnk,419154.0,Ueb13965,,apfphrsctyhpwtenreslvpkryfxozubrorgzkqppkvyygn,1-902-255-6844,7.0,341421.0,Vancouver,,Uebpsofn,,United States of America,,,457.0,CO
O,M,Vhxhcnkwintwpvtdjolprrpbawdut,1.0,DST Systems,huyodzeopeepyudxubfnfzbfzkxrnvqxngcbedtnyvngsxbcqpynybcwmcnizcxhrnbchp,459459.0,xit13966,4.0,,1-884-113-9591,2.0,2965033.0,Regina,,xitlftpwxk,52.0,United States of America,gqqty,L,732.0,Manitoba
R,M,LNKQSIODBCAPTAG,2.0,NYSE Euronext,dkyvpfcdrvyxzwtzhhyikjkzsnyhosbdbrxkooucu,22081.0,vqa13967,3.0,,1-307-872-9233,9.0,1636999.0,San Antonio,m,vqarswwvulnuwpbnuzhhjtdtjqb,13.0,United States of America,,s,536.0,DC
O,M,PBODSNLSKFWU,4.0,Icahn Enterprises,xdiqrlaynnjsqagkttpzywsdupiqijjldsumxetrxssh,112579.0,aro13968,,Boosrzjohzrkdkjeirbgmpczaxdqnersdgocvx,1-988-740-8444,2.0,,Evansville,m,arocabwexwfuljcz,70.0,United States of America,pfswhyw,k,757.0,NM
O,M,NRZQMFRKZNWFNPJIPLAPFNQFG,,Quest Diagnostics,Ngjzwrriamjgoqcfdvndjffiarpf,19784.0,hrs13969,3.0,Wgzidkbgbqqbfbrobtkwdmdextmyx,1-138-877-1669,,2079032.0,Iqaluit,f,hrsvdbsetlgfd,14.0,United States of America,Edjphd,K,680.0,Saskatchewan
O,W,Nxaigondtgpginobwwthdhzp,2.0,Borders Group,Nngcknoixkz,38086.0,Srl13970,0.0,XOZLSNTBRARJNBUUPYSMTXGAAZZTUIERFVAXT,1-972-479-0625,1.0,3511953.0,Columbus,f,Srlataeczrnfcpplojziitgjbcqna,14.0,United States of America,Orenewvkau,B,492.0,Prince Edward Island
O,M,EBYELJDNWDFCFBMPUGGKQDOPQYPZ,0.0,eBay,IFJVCKOXHFOAOANGSYLWUEFEULIMLGUZMQFCZKUNLYHDOBAAIQOVNTSONUHKAJFWEOP,21725.0,Dae13971,1.0,Szxpijrirrdembxwfmsywitpjvyjasyhghplx,,0.0,1392884.0,Chesapeake,m,Daegy,44.0,United States of America,mcutrgvehaxe,,710.0,GA
O,M,Xjqtudjercqswd,0.0,Coca-Cola Enterprises,Jxiklbyogcozysidlmgxxlvlsmodkotjjlmxnzpbqtxooxhamhbcnjpyifpm,369095.0,Zkm13972,2.0,Bifqujkdzyinqklztrjcfaktioikfs,1-329-048-1947,7.0,2478055.0,Toronto,,Zkmtiochsszpn,96.0,United States of America,,,352.0,IA
R,M,Rnswupseqgatupxk,2.0,Hill-Rom Holdings,Dvpbjqfsmznlcbjyexxizrxvertoqmfotwwbinhfhcjtrvjwyoamwikwdecmbh,92474.0,Iej13973,3.0,,1-152-520-5771,8.0,,Missoula,M,Iejxalgcpkpvv,14.0,United States of America,GTUAKVUAPKG,,588.0,UT
O,M,Pnqbxirxyifloavcwl,4.0,AK Steel Holding,Euyps,190473.0,Kjv13974,2.0,YFIUJQBZTYCXEMCPAY,1-142-958-8821,9.0,1133913.0,Windsor,,Kjvapjdwtdja,38.0,United States of America,Xgfxvgjx,,589.0,VA
R,D,Twebwnrnlqc,0.0,Huntington Bancshares,cyxgaijbelbthstdovrbvbmxztpcsdmpelkbgmcbttfzewlwkwbveglupa,220143.0,Ebc13975,,Blcnevikuuft,1-242-893-5657,9.0,1894984.0,Chula Vista,f,Ebckgxfchtwsgpzywhfidmxj,65.0,United States of America,sqdguxukwgwx,,,IA
O,M,Tszcxsfrcubqdisa,4.0,Burlington Northern Santa Fe,Sghuhfqvigoxfisojxwgwssfpohiskolcerwlmfyoddtnutaizsoxjylrweejbft,4662.0,Rqf13976,2.0,,1-440-810-7914,1.0,2723987.0,Great Falls,,Rqfouarqqggysfgzeiuyfao,26.0,Canada,Vpisduto,,800.0,UT
O,S,dlcsldtjfqsfflidsmwdsixbt,2.0,Travelers Cos.,Irnttwmr,458033.0,Eqq13977,0.0,Ppejioibcwdwrppudtxkxsawkgfpjnxfxrsstxiuyetskvyzjldjlfsekm,1-069-921-3482,6.0,1600240.0,McAllen,,Eqqzohwggpjovxxetcqbqkwq,3.0,United States of America,,S,661.0,WY
O,U,LELHPXTLYFHTGHDUXBVTTOURS,3.0,Dominion Resources,iooibkrybqkkgwedmwmespgwuvpwpjycrdfexwvvchwtdsgmrewszhtncaf,369252.0,eyy13978,5.0,HNBSYDTHJCWQNFTTURZJXLRXZPNQCYXWQZBZBITBJYG,1-950-437-3988,6.0,2924669.0,Buffalo,,eyyjulegdtopdfh,51.0,United States of America,OVAIJACDXZG,,572.0,NV
O,U,mucuslrexloqkclft,5.0,Halliburton,Knzcevyskpfnbbewpzevjskllifcbzjxghrpotsrczkafckgwvhotokfjpc,363605.0,fnl13979,1.0,Oxblgebmgscmtpfzmhcnatxhtjvizoykmdumrqdujnlpevqlzbjhmxykbyx,1-494-222-8356,6.0,,Chula Vista,,fnldqeqkkzsmmmnhjqtepnofx,10.0,United States of America,qtlfovglsl,q,479.0,TX
U,M,Zjaepppubftigikh,0.0,Metals USA Holdings,SCIYTWDDXHFOVMZHUFNENWHFWGYMWMECWXGVXKKQQXCSOOEYOGOCTCIFLHYLDIUXRG,5313.0,Lol13980,2.0,Xymozlfha,1-099-824-6833,7.0,2057569.0,Lowell,,Loldqbhhtaawnwitthrcajzt,51.0,United States of America,OKYXDGK,K,591.0,NE
O,M,Xbdypqqepgus,0.0,Southwest Airlines,ZWMVUPYQWXVZQVSCQRXFDEDAESSBZPGIXCRPXPRSAJVAQNDXFLQADFUFT,174584.0,Qde13981,2.0,favtbzpgsyykojghpxdwgugwsylchjczcunmxhjrsoswhy,1-802-307-4045,10.0,2948381.0,Torrance,,Qdeknadjwttkua,37.0,Canada,Ixnfepsrq,O,566.0,Prince Edward Island
O,M,Hlqxjq,,,AJDTRDRMOTXEHWOA,348502.0,Rcg13982,2.0,Twzzhthpksbjuwhobipfadcdwcqndaconueilgegqfbdokwnljylchahwljpykcsdcfyjouz,1-181-269-3341,1.0,1365779.0,Phoenix,,Rcgbsuxevqjglrfxvwv,87.0,Canada,Votbrmnthmq,G,693.0,VA
R,,bxuybcdxkrel,,Precision Castparts,Skbnrqjgtivoijixmphvvrncqweoizhcuhqnrbnrlsrmcey,190130.0,rve13983,3.0,Crvtdkhzdgjfuvvxlvzvogipjordcymwulqf,1-345-572-1060,1.0,2681971.0,Boston,M,rveaerxgqtlxrt,75.0,United States of America,kdqmlnav,Y,585.0,FL
R,S,Jekqltromqnsbopjrzahw,5.0,Kelly Services,Veyrmsvtovgmvpfftvshgafjioijzfumjqfdwszbietfklssbuyrnmodwtbrajectkbkknobunezrv,23136.0,Mfq13984,5.0,Nrsrxbgcbxqypkshlgfrbosnuxhwqiafkcuettmwwuhfhnhodxn,1-743-843-8791,3.0,781495.0,Paterson,F,Mfqxdwpicnvr,45.0,United States of America,Tcvksozc,e,842.0,MD
O,M,UCDPTDK,0.0,McKesson,rccgxuipzcy,436751.0,amj13985,4.0,bcmmfabrmfpqqnmronrvonjvxcjcjhcknzkbwtdqwibfylbfdixgsnvrlxnzhuvcerdacguaiws,1-359-252-8672,3.0,2939519.0,Iqaluit,f,amjocgwdddglkqavqcdzxqobtclg,66.0,United States of America,VAIYTS,d,689.0,WI
