prospect_mrtlstts,prospect_mplr,prospect_g,prospect_frstnm,prospect_ct,prospect_cntr,prospect_ncm,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_wnrrntflg,prospect_ddrssln1,prospect_ntwrth,prospect_crdtrtng,prospect_pstlcd,prospect_gncd,prospect_phn,prospect_lstnm,prospect_mddlntl,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_stt,prospect_gndr
M,Mylan,73.0,tgupaiijrywyidodqk,Newport News,United States of America,373307.0,Yidxwaukisgxyjvwhloechbgjpjfreiqnpnmrdnggdhduipxje,,O,CJVLMDXKHEFLCRCTKHBDJKEUDSWYLUDDCPXUOXIUPQQZMILKAUCP,2730746.0,329.0,Smoso,Psf12648,1-957-095-9892,Psfhtchpljuljxtp,,3.0,5.0,OH,
S,Cimarex Energy,23.0,CSRYSNLZXJAGOWQPOQE,Hampton,United States of America,473576.0,Koqtyuohdbroetxtpcldtxswiifvfjjncxmqurdmfbvnyekbqiaelrhrameuvdbnp,7.0,O,Ycagynymhlarelxbxghdwamoojmscpjhkkrhkoozzrhsekbxljjlupnmetsmcqzowa,2392060.0,725.0,Apovxnkdbl,Spx12649,1-898-104-9173,Spxuugkwrsoryvgkuxlwqrtvqyr,w,3.0,1.0,AL,
D,Marathon Oil,88.0,lwtvlhbongwosluwj,Thousand Oaks,United States of America,110597.0,Giouvjuhvtmqdjmpwwfsuxhlxyqsuopdudgh,9.0,O,Akudrduyoviozrnwjqrvxonacgvr,11694.0,339.0,Ddhoxj,owm12650,1-438-476-4109,owmkogydqwbrz,,3.0,4.0,AK,F
S,,0.0,MRKCUINZHGDJIPWKFLVGH,Worcester,United States of America,441418.0,Afsehspviovizggzsqxdzphtduaprggyk,2.0,,USHMMQDFDJLHIMPBHSEQGIZGJVSTRAF,1595504.0,,Wjfknky,uun12651,1-832-753-9764,uunifmxqdlbwkfp,,1.0,0.0,MS,F
M,Gap,87.0,Lpcjfvfeyhact,Vallejo,United States of America,260119.0,Isuotgekensadzkbkitpqvlaikwtecljhef,2.0,R,Itrvvuwctxbbgrabhztqsqvwkbturfujonthcquundnrpnx,1858156.0,362.0,Euyavdkk,Rkh12652,1-164-334-2885,Rkhoswxpfhbtjyfhxgwnf,d,1.0,4.0,VA,
M,Northrop Grumman,24.0,Ytdymqtuykljmjsblwslhsqhg,Vancouver,United States of America,465678.0,EMVRXATSMODFWFVGV,0.0,R,Wqwqpwgnlc,2408413.0,643.0,Otrjiee,Iix12653,1-249-364-9405,Iixsqnnx,B,2.0,1.0,MS,F
M,Eastman Kodak,99.0,squeukwyfqxrlkgexfsqbfaqsejrn,Columbus,United States of America,194993.0,vxbigwvzprasltqktprfdlhqknexfoqhxuffmitnynoospmsxmqsbnmxpceatxelcvnsf,2.0,O,YOJIFFMNPSRLBPSWGBWIIOMBDH,2316667.0,343.0,trwsuzftjr,Yqj12654,1-135-293-9391,Yqjsbtqugtpkcgq,U,4.0,5.0,TN,f
U,CF Industries Holdings,42.0,Otiqcqhtl,Lansing,Canada,483779.0,SONRQYYNZCIOGMMBPEIHVUOJECTOXYVIFYVMFCRXSZXLXPHSPUUUMREHAFZXMTSJSM,2.0,O,Qtytkxwpirnurhrsdnip,3440540.0,650.0,Akffzcr,Osk12655,,Oskvuxlzemfpvvg,,1.0,0.0,CO,
D,Washington Post,100.0,udkqkvraokxkzgbbrhbkzogn,Sydney,United States of America,311684.0,jkkaialoyjjadqtesdfwwfttwgvjjrazzfgpkrqkuvtirlmcbtxxphfqotqygbscixgy,3.0,O,Gfgzjnooukcgcdnhhntljjekktubkpucjxorujulsbvsxvkylevjuzgp,3718526.0,599.0,,Keq12656,1-992-084-8892,Keqvxvdbcmisekhcvxjl,,0.0,1.0,RI,M
S,Duke Energy,89.0,SYHFJEKPPDTIYDKIOAFODKE,St. Johns,United States of America,262664.0,Uovunkbqlrzgwscduyxhurwtbfqcnknhuibetcetfbzqn,9.0,U,gvqhkm,1019061.0,600.0,Xtnwrykajwod,TRQ12657,1-978-608-5101,TRQRAXQAANWLAKNMRQJVMRNGXPC,Z,,4.0,DC,M
M,Torchmark,8.0,zklexxsvwhxszsdzyt,Hollywood,Canada,237848.0,Yvzjrldukebfxglbjboweljrshpdxvqpwswzywibpeuphkyqtelwfofkbagllmtcwxlbqbvcvnfyb,4.0,O,swfouxhnniwjtiebxhxjmbbjgfjajqxlfdndolddfvbxvbahudtbgtoaqsyoyoeyukztfblwutyqkf,1530929.0,402.0,,vin12658,,vincqcdi,A,3.0,4.0,CT,
U,Plexus,25.0,Fhojgqjkswbp,Cheyenne,United States of America,406855.0,wlkjewgcgmubtvlktwbubzdicstelfowmgcttwzxnuwgbmbcxrxcfvbsuqkkcnssgqpgveka,0.0,O,qsfgkldtyzeqjpjcvuputapbco,3162544.0,371.0,ylthqvpvrpmd,Bar12659,1-225-894-7879,Baroxyqsvqyftbxiqnghvqotfm,Z,0.0,4.0,AK,
W,Pepco Holdings,,FJKBGLPTOEIIJWJ,Atlanta,United States of America,427884.0,Qstuifaohcezhgakychmklrvjvkocafjqezhvuchulpbfdqxgnejnepkazarnujmjokkhcpa,4.0,O,vxeggluvxwdxddyewxrxercljezdoxaoymdgcjsfxlbtnrjbasuer,699486.0,805.0,Odtkkiwrnl,Qwr12660,1-828-223-8454,Qwroeygddajqvroxbw,,5.0,5.0,DC,
,Cablevision Systems,62.0,Fzvtsd,Augusta,United States of America,293062.0,Npgljwkcujtuovbkuszmgovhkzcggkxijogtxupvbaetvfmvxiyhacyrsaeninxlhwupbciujnjb,6.0,O,qsncyvdiszpehbnojcyjwlgehhudvrrotygwiituenl,2833795.0,337.0,Vrbsgpkobo,TCK12661,1-831-324-5837,TCKVIXZXOXESADNOE,a,3.0,2.0,MD,M
S,Cephalon,54.0,QQXALKEFWOYRNUACPEIFRZNRW,Worcester,United States of America,277536.0,Udlvariquvppgpwbrppgibpspfremdmvtsayhsuwoinklgpwilgzn,1.0,O,Cbkhpuvnqvkjglfdhsthsbyrncrktlgegvjjurbyovngscloxavupegoodhjneilmzmf,3983787.0,799.0,LGZFR,Ddy12662,1-214-443-7026,Ddywgrsclmhkkdvsxpoq,,0.0,1.0,MT,
M,Parker Hannifin,55.0,hkqltajnimahvpgvhrqhr,Windsor,Canada,282364.0,jpmwuiwamdosbjhnmszumprvkewspyumbvypodfgmsecnskoyygftrvuoo,6.0,R,lhhhniprivdgplolibuvggdzsvcxbfdcjcrfcrhtqpmkagmgtahzpffjhuryrnnvoxcfqduaarcco,2410919.0,762.0,Qekxu,Hlj12663,,Hljvhpqoazueartrraxmhps,,3.0,,CT,
U,El Paso,60.0,rxgncdx,Louisville,United States of America,87218.0,Gnclzlquoemsscahdqeekeqtuzlquu,1.0,U,aonhicifpjaqhxhawygoumbnhngfbahnuylapwdtgnp,3515508.0,500.0,ihbqm,taf12664,1-345-783-9119,tafbbd,,0.0,2.0,KS,
,ConocoPhillips,46.0,Gocfaxckxicrthg,Mount Pearl,United States of America,496715.0,,4.0,O,Ezfauvblstcelmsiusasiafruhqiejlzplysusbsfryvhccqwjmwcngkqcgzgliiba,,809.0,Ggqsctd,urk12665,1-092-385-9957,urkgqilys,,4.0,2.0,WA,F
S,Alaska Air Group,27.0,CMWKBSFOKV,Washington,Canada,203136.0,OUOUILR,9.0,O,,2115766.0,706.0,Tltfio,Weq12666,1-480-103-2286,Weqjrzvcwpygdxhfrwiaddgzqsadpb,,5.0,0.0,AK,m
M,DST Systems,46.0,wyzqklssjfrnsjunxlo,San Francisco,Canada,289638.0,DWKXHFLKUBTJNPAGAGYOUAFNGNAKWCYCDTXBQZTXAXMA,6.0,O,Xyewfhhcozagpdyuafrguhnmyxfwcdsqnkhgbogkknptrvxpkanftohoqmxcqtkcpsg,560152.0,413.0,Whrdffavdta,wtn12667,1-436-153-2535,wtnqxixrtwkzfuuzuup,v,5.0,4.0,Newfoundland,m
S,W.R. Berkley,57.0,txulnokibyuvwxjrfttbc,Montpelier,United States of America,220331.0,GWFUJJHDUVRPQXFAHDGJTSXUWCGIVAPOXGNPTKQZPOJSBOBLJSTFGQCFWLQT,6.0,O,,,570.0,Jatrydvvssc,NBY12668,1-680-715-8462,NBYTRSNBQFWXBXEYE,y,0.0,2.0,Saskatchewan,m
U,Washington Post,84.0,Vhkykgrykpekgnnbsybofpwx,Hampton,Canada,492222.0,Bcnaeservpvkiigliqpo,5.0,O,Tlvwiaiznwyefqitmkooxjqsnxelxmojri,2551467.0,343.0,Ftyonihb,fao12669,,faoqxmjpdgcqpcovqlgferpyzihhi,x,1.0,3.0,WI,
D,Oracle,26.0,Hbtjsvfonkyluhfrsdcfiqa,Sacramento,Canada,384607.0,wfjwaoxfhimowwttllvobqmvguyooodsgxktgykjwxzrclnbmhpt,7.0,O,OOADNHTCAZSKKQREQZKQDYOJRMMDMOHULSRSQXHIDUMOARZSSSGCHFNPFDWLCSXBKJ,1820395.0,503.0,Nislxximub,ZII12670,1-574-764-2311,ZIIKRL,g,0.0,0.0,AR,f
S,AptarGroup,86.0,Ttondotvkhdrafornnl,Tallahassee,United States of America,345356.0,Fwpuvkfdmfasylkgumkgqgrlgafyhxfrppsbnyivzshflsfkozustkvrkvwylcfytncoxuma,,O,hgmmvbvmblruhaczmodvpbnjigiebijsexntmcorengqdgejtrnora,,302.0,Svjdwmlundid,Usr12671,1-212-120-7998,Usryzeg,,4.0,0.0,ND,f
M,Regis,40.0,Natwcost,Huntsville,United States of America,,Tbhwfduwqgxlarspfiokkcjcpocnmldztqibttavcmogdibltofgbhfdxovvlbopfbo,3.0,O,HDSONAGLXCIPAGJFPLJOCBWLOZITQBFKPDKDYLUUQEMKHICCZQBJRVVQNHRRBNEKDPGO,2556151.0,341.0,ookaoit,Edd12672,1-423-613-5964,Eddyxgqa,,2.0,4.0,NH,m
S,Legg Mason,78.0,TLTFMENRSOLJPIZIBBXPQU,Sacramento,United States of America,134192.0,Lpdyz,4.0,O,Swjmahrmpasjvpmsezijjjrirbncmnchkjnrmcjnfdsl,2376379.0,641.0,zbqqzh,ber12673,1-989-915-3207,berhbgnfcpluhw,i,,4.0,GA,f
S,Synnex,47.0,Bebyyvamcjggbancf,Salt Lake City,United States of America,192709.0,Snszpsyqbjsqdziuukmzsexvjkxl,7.0,O,TLSJLTIYFHMDUKMGADRBNLJCWQXMEHLEGMNDNZJHXNXPQPJRZEG,2394348.0,465.0,Xtpence,Ruc12674,1-472-735-6937,Rucrvmxxgvpzkec,P,3.0,5.0,Quebec,
D,Snap-On,4.0,Rxqysujnnmbog,Tucson,Canada,374912.0,Nryrkiumsegxbsdbmbvnesiyrsuwmdjokadvoxbpa,5.0,O,Sqhaoo,1771397.0,728.0,palyvcni,Ldj12675,1-180-277-2838,Ldjqql,F,1.0,4.0,Ontario,
S,Autoliv,35.0,Uhlaoajbfbvspnnjqacil,Baton Rouge,United States of America,418432.0,Djcwlvqgcjcqygfliyxelxapos,10.0,O,WZBSWXNEHVZWUSVZZFZOOISJKMEVGAGUGNYNQSHTVWFQRDXLCVSKVKZWELY,3881408.0,314.0,,Olx12676,1-172-554-2831,Olxazqmjkxlqgoxnllxyujfnqxkvc,,0.0,4.0,MO,f
M,FedEx,10.0,Kqdbebjof,Tucson,Canada,,jmqwtnoqrroaqrmrluoroj,,O,HGBVVYFYODDPTSIWZX,1894706.0,717.0,Nbwgijhhinz,PSQ12677,1-170-383-2382,PSQURRMPBQDYZABJSODUYWRCBFPNWR,,0.0,,CT,
U,Steelcase,3.0,IYRUXXHUQLNGQJ,Montpelier,,24007.0,Rnphkkrfuggpanbznkozbxdmcupepmvnumnefapdqfbcsur,1.0,O,,2036747.0,696.0,ljcmhdvxqtzo,ura12678,1-754-989-3445,urakcghiratbitfkfvdmkesimgts,,5.0,4.0,New Brunswick,
U,Teradata,72.0,Rdzisposqokikwnhspqmelurzgs,Laredo,Canada,325727.0,Idpnv,0.0,O,LFYMQBYSGVVYGBLARFXOPRQ,2817563.0,751.0,Feulqquxhe,DNP12679,1-409-903-5965,DNPHHOMIGVOCKSQRKN,G,5.0,4.0,ME,
U,Fiserv,5.0,JMOZWDTQXXMCOE,Hayward,United States of America,70731.0,Jibvfamtybgwiatzlpfwbvhrdajvcoqthfcuwnqrmecpzhhthp,9.0,O,XUDWEOOSWVBAMLOVCUR,13255.0,628.0,Yfvrfh,Ssb12680,,Ssbipyhunvhwxrzxius,B,3.0,5.0,ID,
M,,45.0,Sgkzxdhnelvcyvvdt,Fort Lauderdale,United States of America,50373.0,Kewwqhkyttgujoapqocvfsjodxcnzcaciz,2.0,O,Vpcfigewphysjoijqnovbieemrnycaqurqtbwczynsmusgdaivuglsfazfycwsuwgxr,384474.0,468.0,tkimxbae,RTZ12681,1-784-657-5164,RTZIKNVFUCXEU,,5.0,0.0,WY,M
U,Ashland,38.0,Wnqszyh,Bellevue,United States of America,41649.0,FRKHCLUNTDRPCXDJPXVWWKQCZVPECZEECPQDDIBDHJHAEPXLKD,10.0,O,Ohmaruhvpeejsshuqrgvfbwpnbjgkzjesxobgcbjztsazksyiqbutdrbfrtbmcxdbyecokg,842697.0,512.0,Kybaqrar,blt12682,1-883-575-2377,blthstqtktzgqrtt,u,5.0,2.0,MN,
U,,8.0,Whqpsfoowcqtfqooauyi,Allentown,United States of America,182537.0,Atdpydwtchqltyzyermlumhypvjijzqroh,3.0,O,ESSMCHGILGRTNSKUYZYUDMIUFZVMLVEXJGDCORIWBPHBMHGNKQPWNBQUHZAMQBTTP,1615869.0,833.0,IYHXATWNPPYX,Ncv12683,1-228-829-1418,Ncvitkle,F,2.0,0.0,GA,f
M,Urban Outfitters,88.0,PTVZGMFFRHEUJLIITCXVKLJM,Fresno,United States of America,201659.0,cioabtrmpqlkcviewsuyzoekfaakuqhhksemdemfnv,8.0,O,NBNRBXRTHAMGQCZKFAWCZUEHSUQEEQPCGZZTZHZQUTMNLDJFQGWKQPJBMMFIIKEELWJE,2806028.0,809.0,Inkmwlgoxhaq,Xxu12684,1-746-384-5333,Xxujdi,,5.0,1.0,NH,m
M,,3.0,TBDMTNNMMVNBQVEL,Jacksonville,,470515.0,Dcwigiwmcxghcf,3.0,R,QJWZXKJDNONHTULITSTLRDGSMTOSPLLRKEHMNBWNLZAQVZMHFGRFZGSWIUUPHKJIEE,2327223.0,539.0,Jlncgficw,ZLP12685,1-598-289-0069,ZLPNLXPEWRAM,c,5.0,5.0,AR,
U,Genuine Parts,5.0,Zwvjj,Pomona,Canada,139847.0,Ohlsojpozespdcqekvvcnibnpruzatolsuunmwympoxshizairdhlhsphfteoevyegibhvknlkoux,0.0,O,Rasnwoiudlxmclbnubukdazqqfwiawm,3062863.0,398.0,NTSCRYIO,Czi12686,1-335-942-0102,Czipkfwaruj,,1.0,2.0,NV,m
U,National Semiconductor,13.0,ythmqzyvbvkviewqepong,Mount Pearl,United States of America,389858.0,,4.0,O,bmvryypbggmobz,3665104.0,500.0,vukkjubuy,Bzw12687,1-683-792-2185,Bzwrwmuvihnwjjpgrhgvo,D,5.0,4.0,MD,f
M,Harris,19.0,Nuhhfqmcrmabfapdxrpaufqasmg,Mesa,,125117.0,Jwiuizitubpcddoxeycfroxfoojkvbhhdizfycuzgqcigyjwlclghuaimjjylwlpvhytofgwbrsd,9.0,,DKMLPVWAWLFUVMTKOTHOZBUJQNASOMWDNPPRQBUQLTMSXYNSXMSMGRKOOWPHTRMRPG,1909287.0,665.0,NEYQCZNH,ILX12688,,ILXUDSORUAXFRSXPPLBEXXOZDWR,,3.0,3.0,Ontario,f
U,CommScope,98.0,clvmmwwzqfou,Baltimore,United States of America,348702.0,Zxeudougjdmlhptlxvjanaicwarxbsjiv,9.0,O,aqcxjwcwvcirkqqlxxjhbahmwjrqnqgsmvruohmwklrixxfexk,2255175.0,592.0,,Zbi12689,1-031-027-0883,Zbizhcpuac,,4.0,1.0,SD,F
S,,50.0,Wtvedtillfnjrbqmlrsmlh,San Bernardino,United States of America,269794.0,Slwpkevupfc,1.0,O,Cpepawfap,2252741.0,842.0,AZESHAA,dox12690,1-684-413-8421,doxskvgrrzsf,,1.0,5.0,Quebec,
M,Duane Reade Holdings,52.0,qxchsdmamoizrpibosufwqdioy,Buffalo,United States of America,182061.0,GPPJTQFW,9.0,U,Gbbqwhhidftxacuguxtvsnpxhobvcqsmukknxgjkrbigsodlkmtgnbbv,1403297.0,644.0,Aztxzhrlu,Upq12691,1-132-694-5945,Upqmrcsynatvafbeob,,0.0,1.0,Quebec,
S,UnitedHealth Group,38.0,Uwjorelmlgjprdokxyoxeh,Topeka,Canada,425074.0,Wuewkhfklrtiplltlphe,4.0,O,Bwyoxxvnyhklrsupqxxkyqkltiflljpgngoynddlnenyzfdvkukltk,2960380.0,787.0,Ktgvn,GMB12692,1-323-166-5431,GMBGDZWSLYCCABVPETNGDPIWJTRW,B,3.0,4.0,SD,
U,Constellation Energy,70.0,hrjwyvczmeijfhgkaxerlbcgyveurp,Santa Clarita,United States of America,63781.0,Wmiuqazh,0.0,O,Lvhpyffkklihdvtndhlvnwgvuxunbtyagkezbvrz,472668.0,847.0,uxgjdifkvagg,pnz12693,,pnzrsuog,,,0.0,NH,f
U,State Farm Insurance Cos.,63.0,Jbjgjrzreya,Idaho Falls,United States of America,315743.0,Oyyuxiiqbdgdppkxwgiapokuzbfzhkiysmhynscunjicefbcizaxlmzoocwd,2.0,O,eshls,2767831.0,375.0,Kkebchm,IYT12694,1-782-140-0745,IYTBVGRLXFMHGIUYXVSINALWEKI,Y,5.0,4.0,VT,m
M,Sanmina-SCI,26.0,Btzinnhti,Henderson,,167074.0,Lgwmlvlawdvkpxbmjzxcmialg,5.0,R,Wowjlwhydmhdzhdrbsgnvmedozmqoddiynu,1995301.0,696.0,Qvuneiyv,gck12695,1-524-316-5048,gckrxscbtqvpuclgpxmgbemmf,S,1.0,2.0,Quebec,M
W,,98.0,NMHFCDDFGWKOQLSYGSP,Edmonton,United States of America,413027.0,ruqfvymzadjeynwxgleivesrpfpnkicamhdngsqbixkkxacgfdemusjqladjkxuk,1.0,R,onkusvtgnytxkjpotsmqmpzvwimemyjpajtcgqkjlptdjvikdbedmpy,1349377.0,682.0,Xwuug,qil12696,1-305-061-2720,qilbi,,4.0,0.0,NV,M
M,Eli Lilly,46.0,Habilsk,Regina,United States of America,,xmaiikayxpwdrfoxwikscwjbqmaruiftvvkvgpmmhsvslanzyywjujoirqheueaieolnpjc,2.0,R,Ignfxwkdapkfszssecq,2818087.0,660.0,Wwqpin,Hvg12697,1-100-031-3414,Hvgicfzoxkqentplnf,,5.0,5.0,British Columbia,m
M,Benchmark Electronics,86.0,Vtmkxegxwb,Baltimore,United States of America,497937.0,YKFBAJUFEJMLV,9.0,O,HELDAYIRTWCVICWVHUTPEVTCZEPQOJWJUHHCAFXBUSOIYMYJDJNFIENVTTLPOTEXIHENPIPOUVYEFXSH,210243.0,510.0,ulapnmffbm,zpn12698,,zpnzxylqstqdqbvgasdhzqnpvbz,,1.0,4.0,AR,
M,Mettler-Toledo International,89.0,JZNKEBAGVUIMOCGRXXWDT,Tampa,United States of America,248226.0,YUIBEPVSKBPNTEVJRZFV,6.0,O,KZXQKRXWHPCC,2718213.0,841.0,Mdzfkofx,kiq12699,1-998-229-5738,kiqkfzque,X,5.0,3.0,MO,M
M,United Parcel Service,57.0,ZIBZJUMFWBAFCIKLHTGDYYVGDCBCAO,Portland,United States of America,377629.0,Aftnwupedtnk,1.0,O,Tqbeyck,2849177.0,643.0,Xvchzscwvmeq,VCM12700,1-493-368-7186,VCMBRMX,,2.0,4.0,Nova Scotia,
M,Great Atlantic & Pacific Tea,78.0,lqpmasgluptkd,Garland,United States of America,10679.0,HYZKWQCZRMLMJSIAEINJLKDCJLLWMPLQIKNTQJENOIFCHTKTERDUEJDOPCKYXNVHUVQMDGJRZQPEYEU,7.0,O,jgfbhaccphblwkgfpeyhnyvnoyohwoarxzrhwapeczunpobiltbnexoaxjsyfhrsiitrdgxfggfnvxpn,1549264.0,440.0,IDQRWFGWJMPY,blf12701,1-832-706-7734,blfbwijtajtrhyrgebqln,,1.0,1.0,TN,
W,Dr Pepper Snapple Group,65.0,Ncjadalfpdiyl,Honolulu,United States of America,192767.0,pzzfkomqgnyaxsitczgohkefgsvupqjebkhocfytwfvfyjclazbpjkyqnnsiaonfxnljfh,4.0,O,Gqxgtfxhybhtinocnohcbktmxmslrwnzfwaumczdlpugr,1496844.0,594.0,VQISTYASCPLK,UIJ12702,1-799-080-2013,UIJVEKGXFCVMLKLEWTGT,e,1.0,5.0,NV,f
D,Interactive Brokers Group,55.0,FZOILOCPSEQMCHJHBKKIODFHUKZJO,Cheyenne,United States of America,290016.0,opfkwhiopmlbgbljboraqdigrwdmkxoswmopbheqxvbsrumzpwleafhatnrfcjiugussk,7.0,O,Cwljromtkhlzcjsofmjvrdjwwfxstrlrbdvaxyy,678317.0,547.0,Zoycv,Lzk12703,1-438-828-7751,Lzkpackwofizjhyxvudasjvpfcvm,,4.0,0.0,MT,
M,Roper Industries,27.0,QWAAREQEFEEXEVCNMUCVUPUZNU,Las Vegas,United States of America,67982.0,chjftsivgtgexrobmbuubrxebrwckmxwizlbkeal,9.0,U,Zutkapqatgbqevxxmbqaddntuylvpwdppun,105179.0,633.0,JVAQREHRZM,wuu12704,1-067-329-8920,wuugpejcponsghxvcusmznuwtkwnii,,0.0,1.0,AZ,M
S,Psychiatric Solutions,100.0,Zveskxdpnuymce,Thousand Oaks,United States of America,387876.0,mjgwookezq,9.0,U,Ecsafoaxxoehelqmdgpdhjmp,684657.0,,AYQTQLLLKG,QJQ12705,1-959-538-9334,QJQNODHQVCXGMLTQGMQTOJOAZZKX,r,3.0,4.0,MA,
S,Int. Flavors & Fragrances,47.0,Bqmqqundy,Lowell,United States of America,93790.0,Dhnsmcxvhhsiwtjecxhmd,,,Vbbopdwtmvlhsjbvkfvjnrlamjavkucrzdbvuhjmtnnaaogghhoquzgzggxlpgncioap,2361504.0,,HMDKYTNVV,TJU12706,1-678-711-5694,TJUBQPYLFDTHHXMMEYWSFNGVGOL,h,0.0,3.0,CT,
U,,7.0,Epyomfhzgqjqltpnmndvwcqhjma,Newport News,United States of America,444030.0,ZVJXS,7.0,U,Inexnmiewbjjlciuvmllcpvmfxwgwev,2052489.0,685.0,uwwfzqulxgdr,Prl12707,1-663-932-5385,Prloyjtd,w,5.0,2.0,DE,f
M,Newell Rubbermaid,,DDEXPNRBYEWKCEHA,Missoula,United States of America,405013.0,WEHWVFPXPGHBNHOYMGDHIKPDUTZFSWXHOBNPZSUGBIFEDCMLDDXQTBVHXAZORHIBRPA,8.0,O,kdwkudbr,3078634.0,360.0,Mfwdipvujrri,YHN12708,1-519-019-6128,YHNOPMKXYUGJPVRTBDEULTBBF,C,3.0,1.0,WA,m
M,Holly,95.0,Ojvjbapmnvabgbosaiw,Cedar Rapids,,360475.0,Fzuopvmkorcn,9.0,O,Jpfmsuurardloofvh,3038032.0,470.0,Udwnmqiddlwr,Tgg12709,1-936-318-0658,Tgglffdfrufqscdxupsdrihlkc,s,2.0,2.0,New Brunswick,
M,Bucyrus International,41.0,ocvhuetb,Columbus,United States of America,498874.0,uvietebtfba,5.0,O,,2330428.0,759.0,Rpcpmwwbguqm,Tqr12710,1-745-032-6887,Tqrfbfkgbexagnfsvzpouzuipu,M,3.0,4.0,VA,f
U,Continental Airlines,2.0,duhwlbf,Gary,United States of America,229234.0,Ifuhxawyhoxiuqrctebdqnwzzhbrszxrunyexpqotljfnehgbqusyzibwvmeo,10.0,R,,3308566.0,545.0,osjkvo,Avc12711,1-332-869-0801,Avcofenwarlhzbyhrgxj,,4.0,1.0,Newfoundland,
,AptarGroup,77.0,nlvitipswaxefbwzh,Grand Rapids,United States of America,89874.0,tqufplrafafmjyaiomwnqeccbfufavcmcojbrjkxmbhxcxpiuxuekzcyjadvnwtsoeaspm,5.0,,Ybduuofjffeyhlzvcbpbqxgmubswxeejpfbmgtdpdjwznv,3388085.0,776.0,MMIAHIGLJ,Rgd12712,1-304-071-1032,Rgdrcdwollbmkfixisamrilavq,,3.0,2.0,NY,
S,CACI International,58.0,Rkuxt,Fargo,United States of America,286267.0,Gledrehcfiphzqdwtnhmyjvaucqjbxjhcbcghlylkulwulobdqqpxrbbpecuaqclvfanpladovlxfwj,1.0,O,mejqbzvtrvrhkbslkywfqilecrbdzflwahvqjilwzrato,2886502.0,379.0,Fawpwqtl,cxe12713,,cxegbzymnryzonfekrkrgbcw,y,2.0,3.0,MT,F
D,Century Aluminum,43.0,Epkrveivcevncovguvdysd,Missoula,Canada,,LHYWEQEIKEWVRBYCLNTDEOLDDRFRLDWRHDPUOSHSJUORLZCJPQRCNCPSEBLAFCGXVUTDXOL,2.0,O,Nqbofpydqusxkdzxelehiqnt,1796249.0,335.0,XEQQQTKLR,xko12714,1-553-727-9484,xkofasfemcnovfxddjgxi,M,2.0,1.0,VT,F
D,Gilead Sciences,61.0,uwqjbvh,Calgary,United States of America,208694.0,Hvagigu,3.0,R,salrphuaewdgrhygucwbxevptdlyfsqzsoeujfrflldloxhidht,2068390.0,320.0,Lxqmq,Spj12715,1-661-937-1136,Spjpbwfnunozxdmarjgusifk,,5.0,0.0,KS,f
U,Frontier Oil,47.0,IVUJSLPNSCXREGPPHFCXORZ,St. Petersburg,United States of America,208792.0,Wrwheqcvbryuljpmfizvfzgyknoilxpkvtweieeollqvoxahvhfdpudhakmigbebwzxyowpdsawu,3.0,O,EUUMSLNHXY,3240543.0,472.0,Hixsld,pdn12716,1-210-588-5823,pdnllay,,1.0,0.0,ME,M
U,Benchmark Electronics,5.0,Dtrrkvekxbonglfuqfhmpsbnv,Bellevue,,480968.0,GMYCHARDGLVZGYI,1.0,R,AFWOFNBWFNBFSFNIRLIFAJZKUPTKBPPYP,2019533.0,744.0,FCRYUMYBKTIF,LFJ12717,1-895-290-9338,LFJQDZXBIHELLFWSDXNJGR,,5.0,2.0,ID,f
,MetroPCS Communications,67.0,Jrxmkxuk,Naperville,United States of America,64656.0,Frotjokmvyqqqgezlsuxkabvvtwhlxrxgkkpmislqwsmficyaarwbcsmagvwcywktgbexmvdwekohvo,2.0,R,Wjsuqpakgarulwtlramb,1306688.0,662.0,YKTEQAL,XQN12718,1-350-832-7066,XQNTGABLOIPNZE,,3.0,3.0,Prince Edward Island,
M,Laboratory Corp. of America,31.0,UWXLRQFQHEOQXOALCIUGSYGVTVCXFF,Idaho Falls,United States of America,3353.0,hcvbljrmcubcllgvnbejmusiagumixudbwftkzyixfqsldfewubcgnaju,7.0,U,,,805.0,Bysfp,Rrh12719,1-744-027-9877,Rrhrfcevscgqgpptj,,1.0,0.0,Newfoundland,
S,Cimarex Energy,0.0,tmwcqmefn,Denver,United States of America,180918.0,Iqtdvwsudnbyflwhatpclwwqofwebnofttnizcbqhcvkswucwkcfuioxgcdnfkjpqgfrsoxldztaaq,1.0,O,iattogmiqqdmwvzppnkjoviviocrpbdtogobnqsjktwkeslgtteawtskrqnosyskeoxsodqaxvt,2709484.0,,Tvbhgpvtlmi,Gru12720,1-196-001-0723,Grufpwjqjkjm,,,,NH,
W,Enersys,23.0,Udoiqzoq,Oxnard,,221425.0,rzbcxottdttmkbwnzhjozhwnnkbdzgvxfxuxtdxembmqqdkbmeccqmifme,9.0,O,Qitvjofgpmkjibfueugbxjrhsaazntosoesnw,90630.0,576.0,Fcfzjinicjo,Xkl12721,,Xklartfiic,,0.0,0.0,SC,
