gncd,pstlcd,mddlntl,gndr,wnrrntflg,ncm,cntr,ddrssln2,ddrssln1,stt,mrtlstts,ct,phn,nmbrcrdtcrds,lstnm,g,crdtrtng,mplr,ntwrth
Qqv13242,mrxgp,t,,R,444340.0,United States of America,UXPFTNMDFLYWLNBCQOMPDQ,bernhfnmtqwmiemgraopyldtlhmeqjwosfktthvjh,CA,M,Anchorage,1-209-422-0363,4.0,Qqvmvuatdzmwxpqazddjcrmucdw,24.0,493.0,Progressive,456385.0
ato13243,Qbshwfnjurn,n,M,R,427090.0,United States of America,Iifzdkgbw,NMEAGQOFHGAXYKAOZVJOVCNYVEZFMIBGCHCORISVRHIOMGRPMEGKBQWHRUJSDWSGOVYMNHG,NC,D,Frederick,1-438-057-5127,8.0,atovehumwbwkd,40.0,490.0,Convergys,1944545.0
Faw13244,Tsyhsh,V,,O,57448.0,,MQGRSXWCNJUYGGAUNLHSWKUUBUMCUOJUKHZIDUUOXMCBFFXEOVGQHPSYRSFFCTV,Ukwponpytlzwwtgxkepivpknzuxpdzawetooqdasxq,NC,U,Sydney,1-377-410-9628,5.0,Fawbercru,16.0,779.0,Curtiss-Wright,989710.0
SJW13245,Eklaqm,B,,O,230027.0,United States of America,Fzcucqogxircamboimojgy,Lmpufyhvvgx,VT,M,Escondido,1-668-600-2636,1.0,SJWLAAPWMGZFTXYGKXCUABX,11.0,770.0,Pacer International,456941.0
Bcq13246,Zqlrc,,,R,145123.0,United States of America,Ixyvcvzsmcfhxqlxakwmsbcgxbrbidvrmbkiulauay,Luqjdvfhselgybnqtdtbjgyxkqqvkcyfrlxxluhrsteppxatvxupx,MS,U,Hilo,1-846-338-5156,8.0,Bcquclmongvoobsmsjfpomybppbqby,33.0,554.0,ManTech International,1832974.0
qfp13247,Mwqemdjsh,T,,O,21290.0,United States of America,tjcqxlvtotanhaapugrtriwqxhfseemv,BEIXOFZYOYANYLFAGTKQBMUTKHSJIXMHJGJNPG,KS,W,Windsor,1-759-579-7923,8.0,qfpxuowfmckrmgphpdhqwhqtgxxcgm,29.0,770.0,Spartan Stores,300695.0
Hwa13248,Ylwqikgkgs,,M,O,439500.0,Canada,Ubwnqbgbimzfmvnonebafliqemjchjexnjimtwimhnpbbikvtnnwdnvjvajvouunu,Firiukqof,TX,S,Gary,1-750-995-2946,7.0,Hwahhkitqrluetghqzfhumza,97.0,634.0,,1394925.0
Duk13249,Svlsgbziofa,,f,O,431183.0,United States of America,Jqysfbfwkzyxepudf,Yqcjcvmochkqklqhpzdqpcxwhknvuqoxjeljipsjseuazarrtndfjnbdv,DE,M,Moreno Valley,1-352-111-2740,5.0,Dukocgrualw,15.0,505.0,AMR,884745.0
sty13250,Kpvjft,z,f,O,43144.0,Canada,seyyjmsjemjheireplnybeosgcolpurkhcvenkimiarduftbzcuoauqjwpdzagbdbdabahyhg,Dtbifkkvkcwjhvfkhcfkkviexajoxczupsnktrpbwenplpyzfckcwarmtzozhcbbhcqfhszp,ID,M,London,1-486-826-7589,2.0,styevsdtrffyy,95.0,315.0,HealthSouth,428088.0
YMS13251,JDMFJIASV,,,O,137295.0,Canada,AIYPLWTECQQOVKMG,,VA,S,Atlanta,1-999-547-7038,0.0,YMSTEPSDHHEW,61.0,850.0,Sonoco Products,2543588.0
cui13252,efturzblmq,q,M,O,323020.0,United States of America,Ysabszpkbgeoskangmunmiidabubeppsgupaqoctlvbltngdqbrfwnttldyumbonouomqtxi,ibaxqhselzieddtxcorobdgqhotiaebzqgwdvjkwhxnpqptqj,MI,D,Plano,1-991-240-0534,9.0,cuisbajkbgbepg,33.0,435.0,Regions Financial,781263.0
efy13253,Nlnyt,,m,U,202720.0,,Pjjxi,Qmmqleexwlpjsmgdzzoojxsquztlhqhstbffrki,ND,U,Idaho Falls,1-881-231-0558,4.0,efyurbmsmiawhwfzpvqatzzc,1.0,493.0,Manpower,2219616.0
UMO13254,Cratwrnhiqen,,,O,147444.0,United States of America,aandmlilsbjnyglvegrxglhnbrzqlytpetlsqdstxsvlobro,PZJGMYAVXBTZBKQIGFQBAEOAZDMMEOCCLFDRDSZL,FL,M,Boston,1-891-314-6597,3.0,UMOOZLDCNHRAWH,99.0,386.0,Dun & Bradstreet,
Yfw13255,Sdungmzu,,f,O,284326.0,United States of America,YPUWPQKWPL,Miutbqibvfxkarvziqbogcfwupxxjhztomhlnocdfamajcdfifflhdri,UT,D,Biloxi,1-382-735-0127,1.0,Yfwwxvjgnqoiwurbkjitanpfdzldk,96.0,333.0,RPM International,3777584.0
JJW13256,EPFBIBJLFE,W,f,R,51448.0,United States of America,krthzupxyqstrvkjitoxfckbhqnpnxvxkcoodqmlalmytoxeleglbhofxeunskexydandmtfxyiefkd,Uyjimrvueeievgnabxuofdqrclhvfcwaohxbkfhpuupvipdmlexkhjaujswouijfltodel,ND,S,Hialeah,1-408-130-0965,3.0,JJWGGLFHHIEJICMMGNMR,92.0,516.0,Staples,3688022.0
Wab13257,LQDVABGW,f,M,O,133021.0,Canada,KTRJQCRUBAQSKDZS,Ilfvyocsrcbtujjpghsflzjucnlajidvwdgzezrxbcuafiyzuumkagugwbmdvpimxlnirnrlzq,MS,D,Montreal,1-938-427-7583,1.0,Wabvq,88.0,351.0,Alcoa,3462697.0
CPI13258,Rdezvwvdszp,,F,R,269064.0,United States of America,Jtsao,Crbflrmgfwzfckfwzpadrhsdecnnnoyqggunjzbjryvfp,MN,U,Oshawa,1-632-407-4063,7.0,CPIJKREDVUDNVLE,19.0,304.0,State Street Corp.,2780611.0
BZC13259,Qqbmwzycl,Q,,O,,United States of America,Eaqwnwlhxtrawlrioonhedanavvtwog,Kvolmmqkorkeoyrvjoygbwlbrfq,GA,U,Fayetteville,1-871-854-2212,1.0,BZCFCJUAEBCZBOGTZTQQJLGE,79.0,491.0,Gap,1503671.0
QIV13260,gkiltrkqxml,,M,O,298878.0,United States of America,Enzpgtbnzbezuqgydjekhtgjpbogmmjvafynshuwtw,CXOIKGSRVRERCXNEFEGGWNSUHCELLPXWOBNMDBOBHYRDTGCAAEDBPHFPPQOOBNMDYLGAPRBSEWUBK,Nova Scotia,M,Vancouver,1-475-831-3964,5.0,QIVZSAHHXKHNTUVSKGFANR,40.0,594.0,Owens Corning,3263203.0
HKN13261,Dzlkuop,Z,,R,412000.0,United States of America,thuwnxvcewm,kjpektzonskgxbimbrdncuwjpretsyolpnauulpnsg,VT,U,New York,1-907-551-3014,7.0,HKNKFPQBMD,85.0,664.0,Curtiss-Wright,2761203.0
GFL13262,chrjnrm,,,O,161918.0,United States of America,Wphuxhenfshnbdmfjdsebjcqnujclhmxkkjfmneqx,Wojphxkugnfavdaoyftsueyltjoutxokoiqrmwaotbwwvdqesjetaiklzskqdsrxrai,IA,D,Windsor,1-574-065-0336,9.0,GFLQKKZKICTSKXWUSDEGXVPJFTUMRL,92.0,836.0,Harley-Davidson,2500499.0
PCR13263,Kgbhipuuovxb,,m,O,150257.0,Canada,Bledreqvzmzhkbfrqesnjunljzbrwjrrhdtugcobqrlzqyrkhebkhzawwgqiq,NXVDTV,CO,S,Berkeley,1-983-331-5503,4.0,PCRXDULLHCFVILQZNCNPUWOSK,37.0,807.0,CenturyTel,1031644.0
Mxh13264,pjxhfvict,,,O,131378.0,Canada,WJSNSXFE,Vkpcaqyrjav,KY,M,London,1-913-754-4478,5.0,Mxhzueedxguclnjhqtyej,49.0,555.0,Magellan Health Services,3245402.0
Nun13265,Jnssq,t,f,R,427824.0,United States of America,MUULPQPMBXUDWZXJJOIYABDFACTIOLPIOGARMMDQDWOEPZOFJPWBPVOK,qdrkylwdortaygisdbdkcbrhfotdecmnuxancwvculibugwbn,NC,U,McAllen,1-968-682-4562,1.0,Nunleuaswk,,704.0,Cooper-Standard Holdings,2532859.0
zve13266,Ophngwnyzgj,,,O,432383.0,United States of America,nxzuqbeegnltbiyvkotrxroepqmoqjbymmabe,IRSSDGEEFKJQOHWXEYEVMVNIPGYGWFQMQLW,AZ,S,Gary,1-126-684-7680,7.0,zveyys,81.0,444.0,Costco Wholesale,3478268.0
Csi13267,QSSDIQWNUFEN,Y,m,O,72261.0,Canada,Onyaofkjntgongkvwywoaudxrmplejvrumpugtrfhoqourkqyz,ATIUEEWOTGBPFVXQELSOEQIIJCTVGKUYCMMLMYHLJLMTUBFEAXPUDNMMXHHKOUXECPEJU,WA,S,Long Beach,1-509-797-1506,1.0,Csinhgq,13.0,344.0,Domtar,
Eek13268,RNXZHCFZZ,X,f,U,2945.0,United States of America,Kecufndwmjfygkzvfptthpbfnsucpswfcgebhoyfsuajbqodepxwsuoqroe,AUHLHUQENHSIFKPOYFVTTPJSTPDPYTR,Newfoundland,U,Bellevue,1-079-603-5559,7.0,Eekaktxhncnsenigjmlomilf,98.0,728.0,Susser Holdings,2886374.0
RTU13269,Fzbvohtpbibi,,,O,434739.0,United States of America,Wvctragybfktdrjlcyfvzcefdobbewemkwxjne,Kseoxihjkzsdpternnipvosapdxpjplpsyekaoxfsd,Saskatchewan,S,Plano,1-003-595-8840,1.0,RTULOHDRDPQPKNPISINWYBCSHTHLV,61.0,428.0,Owens & Minor,1521016.0
iah13270,Acovlcfa,,,U,316148.0,United States of America,,CEINTV,VA,,Regina,1-103-761-4145,,iahazgxasdfbrtxhneyycv,77.0,732.0,Dick's Sporting Goods,2976268.0
cep13271,bcemigjbmuer,,,U,164871.0,United States of America,,BOEFNAJBBDDKNJMNQSVBSEUVCCBECQCOWTHDJYBNZBDIIEWTMOBGVHXPQFNDNQYMPRVWHQVOTKX,NY,,Bridgeport,1-169-001-0679,6.0,cepsbyjknb,55.0,372.0,VWR Funding,1510723.0
Xrj13272,avjoozh,,f,U,480038.0,United States of America,Edkdnqbhrzcbivhfqlgsbhsxrjietyxyquuccscjjucfrtpxlovopz,gadynrdaysaazchvcpinoxdtjrvhpohhorrysalimgoiaibfsxeozigyt,MO,U,Scottsdale,1-674-730-3777,5.0,Xrjebpexpcxppvgevfmlpqhi,83.0,427.0,Owens & Minor,526799.0
OMN13273,ymvix,,F,O,91185.0,Canada,Pepwqcschemfzdpnelleosibudcvqgggfnvofcqdaehimradfjgffmptuxyprfkrkmrlgrxdexklj,Wvriudvijyhgcakjyumhmdjjowm,CO,M,Manchester,1-679-489-9725,1.0,OMNUDOWKKKSOVGXTZN,82.0,765.0,Dover,445239.0
KGW13274,fxyetv,,m,R,480642.0,United States of America,hzlzcosyugytywvhawpmv,VVRNYFQODNXSN,British Columbia,M,Birmingham,1-364-266-8678,10.0,KGWNFVBKVKRILAFDGASFCQXJDAP,45.0,787.0,Varian Medical Systems,2580124.0
ETJ13275,ycecl,,,O,338137.0,United States of America,viuuabzubfftpfws,Xdnnwjuapyllljqzsfzhwvwpngrbhffausacwoepjmxlxwivfuompuybauz,VT,S,Lubbock,1-680-779-3336,1.0,ETJYNUIWJNIITKVUZLTJHVAVHVBAVB,96.0,399.0,Campbell Soup,484634.0
odf13276,Nusabxe,K,f,O,151581.0,Canada,vsaptguroofkstecfxiythlkeiazzqtrtykzxmpnzwworirjthfxtwpadrmbkjksmhejd,Yngmrpjurfcvjhjtyruydagymrfnkknfgcfabp,TN,W,Fort Collins,1-629-190-3998,10.0,odfgygnohhufopdzhfwxdayka,50.0,436.0,United Stationers,3644428.0
FJJ13277,qnhkhbnconz,X,,O,216513.0,Canada,Ounbuuw,LURSEVMDXREGMVCBAPNTNVCOSDTJOHCDJXVBZJZ,VA,W,Anchorage,1-333-190-4296,10.0,FJJESBSIEQT,7.0,769.0,,382858.0
Gry13278,JRXXARORTL,,M,R,316902.0,Canada,HDUAJOLXUVEBAOLMPGTQIIZSOJBIBDPXPVDHOHVT,Jfawkeeswa,NE,U,Boston,1-601-449-9825,6.0,Grywfjcjknfhslkt,68.0,719.0,Bed Bath & Beyond,3994265.0
Htg13279,hefghnmso,V,,O,249323.0,United States of America,xhtrn,Koeonnffouvghfgbtkugsnj,WY,M,Long Beach,1-802-639-5897,2.0,Htggjocfimxmmfobxadwwfja,31.0,340.0,Dole Food,2294561.0
Nck13280,NAKQC,M,,O,180897.0,United States of America,Mdrifmtubmgrtxkduusumewpwtujxoxfeioyemwxxfxksargvvdisbgiray,Iunpumjyfewxssizu,VT,M,Stamford,1-386-695-2443,5.0,Nckixbtfccwdqloeptpuep,67.0,696.0,MGIC Investment,3736725.0
Ulu13281,Tppopzjbbkpm,,m,O,64683.0,Canada,Yhrnocudbzkowuqvfcwipeckwbrfqucwmngxqcocxuigqzzcxpexlldxuxkhhtgmhdxccwkubrtvovon,Xzcoyiqtjpphosaicrbbwwuvdscu,FL,U,Garden Grove,1-133-344-0698,6.0,Uluntczdvgnwm,78.0,429.0,UGI,1373134.0
ZMH13282,Ltmtuo,S,,U,116935.0,Canada,RGPNAIBMTLTSJRKDVIGDIEYROYZYRMAGAFZDEVBRQWRFCMVQHASRXOGDEKGZMUR,Oqfnkuywnqkjskkeoinnlupktcuugllarlqunvqbfmnnccuxixjdnoxtux,RI,S,Flint,1-648-894-4848,7.0,ZMHZQVXUQYSNYPIVVXDTCOVIPDHAJ,61.0,502.0,Packaging Corp. of America,2622298.0
eso13283,Rtxbz,,F,R,84676.0,United States of America,Iqfoyjqsdlaiiqroumxwjjmusprsemmksfnpwprqlrnjiuwvlcstqgsfiaztgjy,Bxwhqdksc,CA,W,Richmond,1-350-570-6771,5.0,esoarvks,81.0,849.0,Dominion Resources,197048.0
Uvw13284,Qoqbrkwrj,Q,,O,22879.0,United States of America,Grdqfosgfkoyjqjdsydkosdvquwubhrjhroyokfnvcbacungc,vwrmgjrdsrjcrnudxxspjmhxvvqqpsxffkburraqsnkey,TN,U,Independence,1-796-938-9443,1.0,Uvwivesoxhdqcsmaqaxyc,4.0,,State Farm Insurance Cos.,769987.0
ejn13285,Xlxle,,f,R,6876.0,United States of America,mthxfvajledcgaigmfcmolkztpyqmg,NKCHUZVBLQMGSSQPQEECMGETCCJOXHAMDZNWHERZDPKPULCPMPXZDZXPCKOVYNIY,Newfoundland,M,Halifax,1-945-448-9130,0.0,ejnawdtboaajgqngttxzh,20.0,827.0,CarMax,2263759.0
abg13286,Tadzvdwmk,,,R,423844.0,United States of America,nysyupmujtvlkyhwcwwohilofavqdtlvaszsdakvjyozfinuzxbwgcyzddwrnbfp,xtoxzfpfdahjuoxhftdyeeicqxpdwudsmmj,NM,W,Lancaster,1-652-817-1263,3.0,abgbimyccytmfvhef,68.0,377.0,Allergan,1149508.0
PPL13287,ocngwjx,y,M,R,52513.0,United States of America,IEBVLRCHXWGAJHNNYVIARIDSVVKBK,jsepghkxpbikmt,DC,M,Burlington,1-287-586-7650,5.0,PPLTPYIMKVHZTRSONSOICMV,,428.0,Vectren,
Jiu13288,swgmcuxdux,P,,R,34540.0,United States of America,Eugghcgdmumaviewkeqnfkwvtsdvkazxwbrvrsrbjhdcidyechuhijlkfauqv,Phykwcqzfxclpualudqaogwuxwslnbykwgzewpjthkiivqmdskunnruimlsdyj,Prince Edward Island,M,Torrance,1-718-238-7850,6.0,Jiuew,32.0,326.0,Analog Devices,2142179.0
Ims13289,EGYAHVCH,,,O,173732.0,United States of America,Xllyzeprukchxgdaweqauoskiwxmqqdzvbnwhqocfkhwpdtmplgskalgrxbqloll,Xhxzkhkxglgziupspkofwndxdbmthquxcfovx,LA,,Portland,1-766-959-6159,8.0,Imskilwbysuyrjhwtaurmm,25.0,,CommScope,3456095.0
kxr13290,FLTBWUK,,,O,248640.0,United States of America,uttkmpgofpnvltglavrqbhqhvvgiwrczfdynjeavyiduufwiubvthgrrvhgvdiipoogqfzyfoq,ZZJGCEFVTHFGNFCEQUGXVRRTQQMKHXSJNXQDGGSZNHXBQQWXQCFUNGF,CA,M,Orlando,1-446-952-6459,3.0,kxrmrctlrwohexobkcomup,56.0,789.0,Express Scripts,1797369.0
Jpv13291,Dgksmvlbaq,,F,O,439264.0,Canada,Lvnrtrxvgogwgnltapxvnhzovoxlplgibzxtgearoydcgunvnxhnhuevzggljsfnhivhcjgmmvbebhy,FWCQFPOMOHVNCFBGFDRBWADJXJWKKPCGSQKTVGKXATKRHKEPQXHRGAINBWG,LA,S,Beaumont,1-327-961-7228,7.0,Jpvgjcfkkjedzfktntzoktiw,90.0,700.0,MEMC Electronic Materials,236958.0
AUV13292,,,F,O,338039.0,United States of America,GFVLKNXIJCBDXTSTFROQUKXIAJA,cdciiormdlhrqivygsqfuhdwdtqxoexgqvowmzdgviggscrkwccyvxptvdozgumfgoncxcedewyua,NY,S,Lancaster,1-909-462-1614,1.0,AUVXBVQNFBBWWKEIVGCHG,18.0,460.0,Las Vegas Sands,2916599.0
lip13293,Vdkouhul,,,O,138898.0,United States of America,RMUYVPBMSIHFGXHVPHCGVJMWIBUDYHAYRANCWXUUIPCNAGTUZGFBCTJKIWHJEKAUV,quxoxxtmgzbnmrsaulfyenqbjd,UT,M,Nashville,1-088-568-0253,10.0,lipbleqkcaqilgjpurryzabkz,49.0,441.0,Regal-Beloit,830045.0
Nfo13294,gecgtfvxouab,,,R,465718.0,United States of America,Jouyypisuuswovbtokq,igqizsglieckfolqhermjtdnqvsxocpyinjpmmjoyimeadoprrvpqlziaaeimakbfyzpgjceqhjkodf,MO,M,Charleston,1-900-597-3379,4.0,Nfomnrpywektufycjs,55.0,542.0,Murphy Oil,3260198.0
Wsz13295,Kmlvthsl,,,O,208991.0,United States of America,WVWESZERIABVHJTQZAPRJGEORKDAOEESG,Wskwbvkixqywnulhwuuiouornbespqyuzgtbvpkqnryeqxxvetubuxyvjnumgmsmuryxewhdxrjdou,WI,M,Provo,1-881-385-6273,1.0,Wszigvwkfsyt,43.0,736.0,SunGard Data Systems,2286681.0
qbc13296,Emdktxpin,R,f,O,237244.0,Canada,pfldajeezhl,nsgqbcxmdvavuntxirwzvqlyqnjifebafrqelcxwdvpxjcaozuvzum,NJ,S,Bridgeport,1-605-435-3346,3.0,qbcgtarhyfwwwmvfn,95.0,451.0,Energy Transfer Equity,2416195.0
HWJ13297,Rqcazinms,s,,O,101559.0,United States of America,wlgjskvvbmpyqfolhumlwzhzoilfpmvbmyxa,KNXFCPZACRXEOMZMVVHZMOGSQIFETZMTDQBSPALTSZKVV,NC,M,Charleston,1-458-069-0788,,HWJYZUXJLMVHUY,39.0,620.0,Torchmark,1506478.0
ggf13298,Brgxxpackcr,p,m,U,55791.0,United States of America,Lhboivagfqwyvqwnimgdcjlvpjtevy,,Saskatchewan,S,Syracuse,1-464-238-0810,10.0,ggfljpdptcptignjaxqya,46.0,327.0,3M,3328580.0
dvs13299,WKSDGYYN,g,F,R,293690.0,United States of America,RISZYDGMXSQEMPSTWYEXJPPTJFJECNCWOXZIPASNDQRKVWTFEHTBDWAOBTCGCILFCBNCCEEUPT,OSASJKIAXOGOXAVVVVECPPDMOWUAZGWWOBTADYTCNAHNFLBXQDUWTHAGKAB,VA,M,El Monte,1-081-162-4468,7.0,dvsti,98.0,744.0,DTE Energy,1482658.0
Mmk13300,RLAJNQM,,f,O,338565.0,United States of America,,PMLBAEEXJPBHTTHCMZVIPNTLDYKMHQHZ,WA,,Chesapeake,1-911-389-2850,10.0,Mmkruoaosytchvparck,37.0,,HNI,1623391.0
Bpl13301,Qeeqxnxkk,,,O,154961.0,United States of America,Iwyicvnuhglehmacutqgxgfokwxwgomwswmsyasldtbbicdrbbkkcahmyrzcyqzxak,caqhsqghpqsrxoivhuslikgynqeuihqbytvsexlkqgwkcrdgidqbcum,VA,M,Huntington,1-794-660-0975,10.0,Bpljphrggidoo,27.0,554.0,Legg Mason,3810116.0
Izs13302,Uflgkjhluhj,D,m,U,196527.0,United States of America,agbopelmbrdfgsflveuxjpjfjbqlvdgpsbejsbnytuxaqxrlgrrkmqnlwnjuqszqefwg,dhjwxxsbsvvmhhglewwwntjiiffwysvrrsscov,IL,M,Omaha,1-224-122-8069,4.0,Izsbdjvcbejoqtdfyipetoqeed,49.0,694.0,Polaris Industries,3210053.0
Tpv13303,Ytpnflkvyhr,,,O,315680.0,United States of America,Zklygkgilmmeplwgqpdopimaoeadmujuvnlypcbrmbuxpkji,NODLPZHVEUIADUKUXZRGIHMISMYWQ,IA,M,Fayetteville,1-516-909-3477,4.0,Tpvyfurwzqoplsymchnsztm,7.0,507.0,BlackRock,2685602.0
Qgq13304,xuzfyelrdtzq,R,,O,415427.0,United States of America,Pyibsj,ICOBYWAUGJKRMZVQBLZFDP,MA,U,London,1-138-341-8864,2.0,Qgqacfcmjhaudgxwqiivhbrjz,83.0,809.0,Lubrizol,112786.0
Pir13305,XDOAYETOUM,,M,U,104727.0,United States of America,Vcpfeulnemlsydckmhdvksbyimvjmqgdxaxbidxwqmbpeigyctos,FGDABTKPRMHVMQEDPTZA,MO,D,West Valley,1-570-136-0551,0.0,Pirnd,85.0,362.0,Asbury Automotive Group,3368397.0
Mmg13306,Ncrqhelezez,,f,O,308515.0,United States of America,Eynpzzuafmjzwoui,,IN,M,Rapid City,1-066-670-5957,2.0,Mmgznzekjeebetihawhijggq,87.0,329.0,Sauer-Danfoss,46485.0
SZX13307,mntonucdqjt,,M,O,123475.0,Canada,Rdvnnqacigdyvgvdhhqdjswxnggartapgxwahifcodhgtwgkjsjbfdkdlmsh,REEAYSXUHXRDPMQYIXUPQRMFUOGOREIC,British Columbia,U,Biloxi,1-808-944-2055,9.0,SZXMFDAIRXWVWVZESMSLLW,22.0,303.0,Ralcorp Holdings,198873.0
hmd13308,Ttyixxkfz,Z,,R,103004.0,United States of America,nsgfivaqlaocatwouhprrnvagrbonnonurobrwcaycgvptytawt,EBSNXXBOVCTLKAWMHYIIQCRSPHCSOEKWAUOG,MD,U,Charlottetown,1-589-355-0258,8.0,hmdcaucdsafzgm,86.0,656.0,Benchmark Electronics,3063829.0
Qjm13309,Znlnlzxhh,,f,,267070.0,Canada,,Nvitrekpngdhsjfesxixfeizrmofpatyfvgcxihsrxijsewuz,FL,M,Jacksonville,1-647-652-7574,4.0,Qjmmsxugrwqo,46.0,710.0,PG&E Corp.,447917.0
Djl13310,kkavkdpxek,,F,R,127017.0,United States of America,XBKJEDNTQVYVEFDGPRDUCUQALSXELXTX,RTDGEEXXUZBPDFHVABKEOZWKBHWWFOIXIAMDLIQHIWGMINGWTBHXZNIQVSCDTSRUGGOABBPOPXQXT,HI,U,St. Johns,1-526-427-3269,1.0,Djlceiu,,619.0,,2301005.0
nos13311,TGKMRHT,,,O,304221.0,Canada,Laiszjxakbluopmsejpytqmxrakzxv,Ooeyopjxaiksqhjtrrfvlobtqirkgbfsrmvahghsala,WI,W,Hilo,1-330-614-1445,8.0,nosvswtloteuwqpftqfdv,4.0,516.0,Casey's General Stores,1261825.0
yse13312,YCKJXU,,m,O,443773.0,Canada,Npllawldpzjqggmoxb,slfsindqxaycldhibqkpnmnxduwhncbaa,WY,M,Ann Arbor,1-760-007-7116,1.0,ysezsasuxu,94.0,545.0,Safeway,910255.0
Sbu13313,PTHNF,J,,R,287856.0,Canada,Wsszxjwwcumnxvlqgvzqpjvapxunhzbcadskggrxaailjtoswp,Xujvegtpyhoaslhkxwasrnwnzoyaqr,OK,S,Pembroke Pines,1-955-025-6844,0.0,Sbuzxxvnt,68.0,811.0,Bon-Ton Stores,1821823.0
ytz13314,xregvkuvgje,O,M,O,235513.0,United States of America,BJQEJTPRSOOIWRXPDKXLLZNKCYMHRTIUPXQLRBAFIXZDLJPRVASEETD,ZMARSSQPOXM,VT,M,Boston,1-839-197-5686,,ytzvmwjfjxgpvks,84.0,,GameStop,2199015.0
Fce13315,Bzxtukntjmuh,,F,O,168446.0,Canada,Hoapfmenaqzlxjerjjvbcajolrcacxborjwufdqtu,Ijsvbctldjgsvxhz,OK,S,Palmdale,1-423-036-6301,2.0,Fcebdc,0.0,392.0,Cooper-Standard Holdings,3734037.0
Ynb13316,Easiqoozh,h,m,O,158347.0,United States of America,kozwojnlvktbowfuylhoqhdzodc,Lonkdbturiatgrvgekqnl,GA,U,Torrance,1-236-597-5459,,Ynbxvywuhgcunwdcegylutj,3.0,379.0,AmeriCredit,
zur13317,XTIAQE,e,F,O,252112.0,United States of America,JCGDWYIOSWPYPSDQVLQKIUWAECPKOMPFMGDAUXZHDKMWJPVWRHMBVBAQRBHNSJTPSMAOKLNCT,Sfcizcekzhpkwcuqyuqfukkdxmnq,UT,U,Richmond,1-248-353-0225,4.0,zurvujhqr,8.0,432.0,Black & Decker,1405386.0
Kfi13318,Vzcbixlj,a,m,O,64619.0,,Tmiiaccongbnxjxsljpfrsonqnsbpbiskgcalussbka,Lxiigptgqrsegiegbzpoiwoounpscxpkticgfzysnvpdjqhonfsna,NV,U,Pembroke Pines,1-747-947-1632,2.0,Kfilcbusfxvc,100.0,414.0,Holly,278240.0
Kky13319,,E,M,R,351408.0,United States of America,GKXENFBKJJQEAYUAQWHHVKBSDSMUAEYOEJMAQIYZXZNNWPPLCDPWZKYLELUMQF,Xqdeojykhdmxlxtueyimphngtuhrqcpsxogvhhcszzomaxqkmhqum,OR,,Raleigh,1-824-966-8091,3.0,Kkyhpxjvtgjhkqoytzrrocgelq,0.0,557.0,Kraft Foods,
JHT13320,xtmcwdbpwdv,,M,R,15690.0,United States of America,xmbvyvlxeqlctealxa,gnuuwqjvbkqcxntkgprfeogalfxwbejayqycyzvbkunfslig,VT,,Pembroke Pines,1-097-243-8273,4.0,JHTMZXEJLQTQKBBEHGPA,90.0,620.0,Questar,1401347.0
AGE13321,OAYHHW,,f,O,100473.0,Canada,SIQFDLYSOOBSNQPFJTPAZPLJVNDWHPVBFSLYHLUTLYXKYGNPWI,Zswxuknigikaoncrdplasenykmxgoqehdyrlnxasqdrlqgopkdsmmuowmbdbezlzfflzhudeoikr,SD,M,Scottsdale,1-263-598-1053,9.0,AGEVVQPRKZDR,100.0,603.0,Biogen Idec,989289.0
BPP13322,Vdahuxrb,e,m,R,79867.0,United States of America,Kitoarfbibiziermhhmmumivjlkmnypoitokzenlegwxnvizpsgfcdushcgtvbhrn,ipgtyrmetntkcd,NM,U,San Francisco,1-474-374-1560,4.0,BPPJCSQBP,60.0,544.0,Polo Ralph Lauren,2424799.0
Uxt13323,Nahlg,L,m,O,402837.0,United States of America,exxegpyauodkwxdfu,Wvwucqsjywwbgaojgqcejytptgiiplbnihfizhcovlkulphoaozajcubddlulauaoaz,TX,S,Berkeley,1-074-245-5912,2.0,Uxtyowqpfwlje,12.0,568.0,Icahn Enterprises,1819852.0
wro13324,DBEKWLQUH,,,R,182885.0,United States of America,GVRYVCU,Xapvnfturoazlpyncbljvrgwfpijmfnfb,OH,,Sherbrooke,1-154-643-3643,6.0,wropnrdvvbapxfoq,37.0,609.0,NBTY,1333649.0
Qfx13325,Gmlpzoxetwz,,M,O,450158.0,United States of America,Milzkwvcdfsrfgrw,spxisnbqxwilnirbfraqxmfrqsjngldmmns,TX,M,San Francisco,,4.0,Qfxdqcyiiphpsmaftgkld,80.0,558.0,NYSE Euronext,970779.0
ejr13326,twaojstrzyhi,R,m,,285716.0,Canada,LHTDEWHBSTLCPF,UETALRPVUROWOXFHRCRDKZLLKUMPKKUWFGUMAPBDSVWAVPFNXMUGYSWAN,NM,D,San Buenaventura,1-154-681-6410,0.0,ejrvjbvhphkqdehuuunmzlsdfibvg,65.0,725.0,ScanSource,2287116.0
PEX13327,ERSDPKSNBDDN,D,F,O,492831.0,United States of America,Wwecuwkqkatpseujjilh,Cputopy,NV,M,Las Vegas,1-108-812-3106,6.0,PEXHH,27.0,513.0,Dr Pepper Snapple Group,3959338.0
