prospect_gncd,prospect_ntwrth,prospect_ddrssln2,prospect_ddrssln1,prospect_pstlcd,prospect_nmbrchldrn,prospect_lstnm,prospect_phn,prospect_nmbrcrdtcrds,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr
SHW12642,3361053.0,UCHDCTOTLLDLKPZMOJIWDADDXZYWQAOIFRJSCAGQCDFYXDZMISDJHVOIX,luaprojckid,Zgaajtm,5.0,SHWNI,1-007-227-7349,7.0,United States of America,Pueiemhvvsxqrgafjfinwaqy,0.0,W,26.0,809.0,O,Charming Shoppes
Gcj12643,310683.0,MMVDZCGAWINMB,TCWYPTBHWDUA,Fkbaxpy,5.0,Gcjrnsvpfihmbscxnhuhgzp,1-166-883-3084,7.0,Canada,Hbzdlvuqybrz,3.0,U,40.0,678.0,R,Safeway
OJI12644,3422417.0,Xbaxwrrhisbvuqnhhdgmsgfdugvmfknhgvmtgwiylicsoyagnyjdhpaeavcmkmbho,vugnfmjustawtuzqmlchrplcekejynawxejvjkfdwtffr,bnskjmkl,,OJIVTPGWBPNZTOQTZZAGIHFWWPGZHU,1-527-199-6675,3.0,United States of America,Etnbaazxfqxi,2.0,U,61.0,311.0,O,Mercury General
BHW12645,2374028.0,Axppuwdzjbsjmszauycanuhnpdjhbqkauilixcvdllguvjrlliddsmbopptfrogexexgvca,Tcxxqlximhfpwbtvzgewcjireklupskohjjonhscwssfzzmkmnhq,OCKLVTESU,5.0,BHWOFSRAOPVHMLNMAENVMFUGQXUIV,1-516-970-4709,,United States of America,Qevlwjt,5.0,,1.0,474.0,O,Liberty Global
YBD12646,1313599.0,MOZQLEI,Ephoawwrcvkknmpgpsymwfyosetgglvz,Iddyuhqmt,4.0,YBDHXXVPHMEEOWKCANCBQNOQ,1-351-335-6485,9.0,United States of America,HSLEAAW,5.0,M,77.0,717.0,O,Dover
Ztp12647,267716.0,Mruxaecljekixwiqkqjjsxujxvaaba,Huscjtfowrdwiolqzdrbqxrtodzibbwktjjorqbcq,wdqsaalhk,4.0,Ztphvgtwwtgkqnyghocmbymikvdi,1-630-914-2946,4.0,United States of America,IRUTHLIZSOZCSO,2.0,M,67.0,520.0,U,Holly
Psf12648,2730746.0,Yidxwaukisgxyjvwhloechbgjpjfreiqnpnmrdnggdhduipxje,CJVLMDXKHEFLCRCTKHBDJKEUDSWYLUDDCPXUOXIUPQQZMILKAUCP,Smoso,5.0,Psfhtchpljuljxtp,1-957-095-9892,,United States of America,tgupaiijrywyidodqk,3.0,M,73.0,329.0,O,Mylan
Spx12649,2392060.0,Koqtyuohdbroetxtpcldtxswiifvfjjncxmqurdmfbvnyekbqiaelrhrameuvdbnp,Ycagynymhlarelxbxghdwamoojmscpjhkkrhkoozzrhsekbxljjlupnmetsmcqzowa,Apovxnkdbl,1.0,Spxuugkwrsoryvgkuxlwqrtvqyr,1-898-104-9173,7.0,United States of America,CSRYSNLZXJAGOWQPOQE,3.0,S,23.0,725.0,O,Cimarex Energy
owm12650,11694.0,Giouvjuhvtmqdjmpwwfsuxhlxyqsuopdudgh,Akudrduyoviozrnwjqrvxonacgvr,Ddhoxj,4.0,owmkogydqwbrz,1-438-476-4109,9.0,United States of America,lwtvlhbongwosluwj,3.0,D,88.0,339.0,O,Marathon Oil
uun12651,1595504.0,Afsehspviovizggzsqxdzphtduaprggyk,USHMMQDFDJLHIMPBHSEQGIZGJVSTRAF,Wjfknky,0.0,uunifmxqdlbwkfp,1-832-753-9764,2.0,United States of America,MRKCUINZHGDJIPWKFLVGH,1.0,S,0.0,,,
Rkh12652,1858156.0,Isuotgekensadzkbkitpqvlaikwtecljhef,Itrvvuwctxbbgrabhztqsqvwkbturfujonthcquundnrpnx,Euyavdkk,4.0,Rkhoswxpfhbtjyfhxgwnf,1-164-334-2885,2.0,United States of America,Lpcjfvfeyhact,1.0,M,87.0,362.0,R,Gap
Iix12653,2408413.0,EMVRXATSMODFWFVGV,Wqwqpwgnlc,Otrjiee,1.0,Iixsqnnx,1-249-364-9405,0.0,United States of America,Ytdymqtuykljmjsblwslhsqhg,2.0,M,24.0,643.0,R,Northrop Grumman
Yqj12654,2316667.0,vxbigwvzprasltqktprfdlhqknexfoqhxuffmitnynoospmsxmqsbnmxpceatxelcvnsf,YOJIFFMNPSRLBPSWGBWIIOMBDH,trwsuzftjr,5.0,Yqjsbtqugtpkcgq,1-135-293-9391,2.0,United States of America,squeukwyfqxrlkgexfsqbfaqsejrn,4.0,M,99.0,343.0,O,Eastman Kodak
Osk12655,3440540.0,SONRQYYNZCIOGMMBPEIHVUOJECTOXYVIFYVMFCRXSZXLXPHSPUUUMREHAFZXMTSJSM,Qtytkxwpirnurhrsdnip,Akffzcr,0.0,Oskvuxlzemfpvvg,,2.0,Canada,Otiqcqhtl,1.0,U,42.0,650.0,O,CF Industries Holdings
Keq12656,3718526.0,jkkaialoyjjadqtesdfwwfttwgvjjrazzfgpkrqkuvtirlmcbtxxphfqotqygbscixgy,Gfgzjnooukcgcdnhhntljjekktubkpucjxorujulsbvsxvkylevjuzgp,,1.0,Keqvxvdbcmisekhcvxjl,1-992-084-8892,3.0,United States of America,udkqkvraokxkzgbbrhbkzogn,0.0,D,100.0,599.0,O,Washington Post
TRQ12657,1019061.0,Uovunkbqlrzgwscduyxhurwtbfqcnknhuibetcetfbzqn,gvqhkm,Xtnwrykajwod,4.0,TRQRAXQAANWLAKNMRQJVMRNGXPC,1-978-608-5101,9.0,United States of America,SYHFJEKPPDTIYDKIOAFODKE,,S,89.0,600.0,U,Duke Energy
vin12658,1530929.0,Yvzjrldukebfxglbjboweljrshpdxvqpwswzywibpeuphkyqtelwfofkbagllmtcwxlbqbvcvnfyb,swfouxhnniwjtiebxhxjmbbjgfjajqxlfdndolddfvbxvbahudtbgtoaqsyoyoeyukztfblwutyqkf,,4.0,vincqcdi,,4.0,Canada,zklexxsvwhxszsdzyt,3.0,M,8.0,402.0,O,Torchmark
Bar12659,3162544.0,wlkjewgcgmubtvlktwbubzdicstelfowmgcttwzxnuwgbmbcxrxcfvbsuqkkcnssgqpgveka,qsfgkldtyzeqjpjcvuputapbco,ylthqvpvrpmd,4.0,Baroxyqsvqyftbxiqnghvqotfm,1-225-894-7879,0.0,United States of America,Fhojgqjkswbp,0.0,U,25.0,371.0,O,Plexus
Qwr12660,699486.0,Qstuifaohcezhgakychmklrvjvkocafjqezhvuchulpbfdqxgnejnepkazarnujmjokkhcpa,vxeggluvxwdxddyewxrxercljezdoxaoymdgcjsfxlbtnrjbasuer,Odtkkiwrnl,5.0,Qwroeygddajqvroxbw,1-828-223-8454,4.0,United States of America,FJKBGLPTOEIIJWJ,5.0,W,,805.0,O,Pepco Holdings
TCK12661,2833795.0,Npgljwkcujtuovbkuszmgovhkzcggkxijogtxupvbaetvfmvxiyhacyrsaeninxlhwupbciujnjb,qsncyvdiszpehbnojcyjwlgehhudvrrotygwiituenl,Vrbsgpkobo,2.0,TCKVIXZXOXESADNOE,1-831-324-5837,6.0,United States of America,Fzvtsd,3.0,,62.0,337.0,O,Cablevision Systems
Ddy12662,3983787.0,Udlvariquvppgpwbrppgibpspfremdmvtsayhsuwoinklgpwilgzn,Cbkhpuvnqvkjglfdhsthsbyrncrktlgegvjjurbyovngscloxavupegoodhjneilmzmf,LGZFR,1.0,Ddywgrsclmhkkdvsxpoq,1-214-443-7026,1.0,United States of America,QQXALKEFWOYRNUACPEIFRZNRW,0.0,S,54.0,799.0,O,Cephalon
Hlj12663,2410919.0,jpmwuiwamdosbjhnmszumprvkewspyumbvypodfgmsecnskoyygftrvuoo,lhhhniprivdgplolibuvggdzsvcxbfdcjcrfcrhtqpmkagmgtahzpffjhuryrnnvoxcfqduaarcco,Qekxu,,Hljvhpqoazueartrraxmhps,,6.0,Canada,hkqltajnimahvpgvhrqhr,3.0,M,55.0,762.0,R,Parker Hannifin
taf12664,3515508.0,Gnclzlquoemsscahdqeekeqtuzlquu,aonhicifpjaqhxhawygoumbnhngfbahnuylapwdtgnp,ihbqm,2.0,tafbbd,1-345-783-9119,1.0,United States of America,rxgncdx,0.0,U,60.0,500.0,U,El Paso
urk12665,,,Ezfauvblstcelmsiusasiafruhqiejlzplysusbsfryvhccqwjmwcngkqcgzgliiba,Ggqsctd,2.0,urkgqilys,1-092-385-9957,4.0,United States of America,Gocfaxckxicrthg,4.0,,46.0,809.0,O,ConocoPhillips
Weq12666,2115766.0,OUOUILR,,Tltfio,0.0,Weqjrzvcwpygdxhfrwiaddgzqsadpb,1-480-103-2286,9.0,Canada,CMWKBSFOKV,5.0,S,27.0,706.0,O,Alaska Air Group
wtn12667,560152.0,DWKXHFLKUBTJNPAGAGYOUAFNGNAKWCYCDTXBQZTXAXMA,Xyewfhhcozagpdyuafrguhnmyxfwcdsqnkhgbogkknptrvxpkanftohoqmxcqtkcpsg,Whrdffavdta,4.0,wtnqxixrtwkzfuuzuup,1-436-153-2535,6.0,Canada,wyzqklssjfrnsjunxlo,5.0,M,46.0,413.0,O,DST Systems
NBY12668,,GWFUJJHDUVRPQXFAHDGJTSXUWCGIVAPOXGNPTKQZPOJSBOBLJSTFGQCFWLQT,,Jatrydvvssc,2.0,NBYTRSNBQFWXBXEYE,1-680-715-8462,6.0,United States of America,txulnokibyuvwxjrfttbc,0.0,S,57.0,570.0,O,W.R. Berkley
fao12669,2551467.0,Bcnaeservpvkiigliqpo,Tlvwiaiznwyefqitmkooxjqsnxelxmojri,Ftyonihb,3.0,faoqxmjpdgcqpcovqlgferpyzihhi,,5.0,Canada,Vhkykgrykpekgnnbsybofpwx,1.0,U,84.0,343.0,O,Washington Post
ZII12670,1820395.0,wfjwaoxfhimowwttllvobqmvguyooodsgxktgykjwxzrclnbmhpt,OOADNHTCAZSKKQREQZKQDYOJRMMDMOHULSRSQXHIDUMOARZSSSGCHFNPFDWLCSXBKJ,Nislxximub,0.0,ZIIKRL,1-574-764-2311,7.0,Canada,Hbtjsvfonkyluhfrsdcfiqa,0.0,D,26.0,503.0,O,Oracle
Usr12671,,Fwpuvkfdmfasylkgumkgqgrlgafyhxfrppsbnyivzshflsfkozustkvrkvwylcfytncoxuma,hgmmvbvmblruhaczmodvpbnjigiebijsexntmcorengqdgejtrnora,Svjdwmlundid,0.0,Usryzeg,1-212-120-7998,,United States of America,Ttondotvkhdrafornnl,4.0,S,86.0,302.0,O,AptarGroup
Edd12672,2556151.0,Tbhwfduwqgxlarspfiokkcjcpocnmldztqibttavcmogdibltofgbhfdxovvlbopfbo,HDSONAGLXCIPAGJFPLJOCBWLOZITQBFKPDKDYLUUQEMKHICCZQBJRVVQNHRRBNEKDPGO,ookaoit,4.0,Eddyxgqa,1-423-613-5964,3.0,United States of America,Natwcost,2.0,M,40.0,341.0,O,Regis
ber12673,2376379.0,Lpdyz,Swjmahrmpasjvpmsezijjjrirbncmnchkjnrmcjnfdsl,zbqqzh,4.0,berhbgnfcpluhw,1-989-915-3207,4.0,United States of America,TLTFMENRSOLJPIZIBBXPQU,,S,78.0,641.0,O,Legg Mason
Ruc12674,2394348.0,Snszpsyqbjsqdziuukmzsexvjkxl,TLSJLTIYFHMDUKMGADRBNLJCWQXMEHLEGMNDNZJHXNXPQPJRZEG,Xtpence,5.0,Rucrvmxxgvpzkec,1-472-735-6937,7.0,United States of America,Bebyyvamcjggbancf,3.0,S,47.0,465.0,O,Synnex
Ldj12675,1771397.0,Nryrkiumsegxbsdbmbvnesiyrsuwmdjokadvoxbpa,Sqhaoo,palyvcni,4.0,Ldjqql,1-180-277-2838,5.0,Canada,Rxqysujnnmbog,1.0,D,4.0,728.0,O,Snap-On
Olx12676,3881408.0,Djcwlvqgcjcqygfliyxelxapos,WZBSWXNEHVZWUSVZZFZOOISJKMEVGAGUGNYNQSHTVWFQRDXLCVSKVKZWELY,,4.0,Olxazqmjkxlqgoxnllxyujfnqxkvc,1-172-554-2831,10.0,United States of America,Uhlaoajbfbvspnnjqacil,0.0,S,35.0,314.0,O,Autoliv
PSQ12677,1894706.0,jmqwtnoqrroaqrmrluoroj,HGBVVYFYODDPTSIWZX,Nbwgijhhinz,,PSQURRMPBQDYZABJSODUYWRCBFPNWR,1-170-383-2382,,Canada,Kqdbebjof,0.0,M,10.0,717.0,O,FedEx
ura12678,2036747.0,Rnphkkrfuggpanbznkozbxdmcupepmvnumnefapdqfbcsur,,ljcmhdvxqtzo,4.0,urakcghiratbitfkfvdmkesimgts,1-754-989-3445,1.0,,IYRUXXHUQLNGQJ,5.0,U,3.0,696.0,O,Steelcase
DNP12679,2817563.0,Idpnv,LFYMQBYSGVVYGBLARFXOPRQ,Feulqquxhe,4.0,DNPHHOMIGVOCKSQRKN,1-409-903-5965,0.0,Canada,Rdzisposqokikwnhspqmelurzgs,5.0,U,72.0,751.0,O,Teradata
Ssb12680,13255.0,Jibvfamtybgwiatzlpfwbvhrdajvcoqthfcuwnqrmecpzhhthp,XUDWEOOSWVBAMLOVCUR,Yfvrfh,5.0,Ssbipyhunvhwxrzxius,,9.0,United States of America,JMOZWDTQXXMCOE,3.0,U,5.0,628.0,O,Fiserv
RTZ12681,384474.0,Kewwqhkyttgujoapqocvfsjodxcnzcaciz,Vpcfigewphysjoijqnovbieemrnycaqurqtbwczynsmusgdaivuglsfazfycwsuwgxr,tkimxbae,0.0,RTZIKNVFUCXEU,1-784-657-5164,2.0,United States of America,Sgkzxdhnelvcyvvdt,5.0,M,45.0,468.0,O,
blt12682,842697.0,FRKHCLUNTDRPCXDJPXVWWKQCZVPECZEECPQDDIBDHJHAEPXLKD,Ohmaruhvpeejsshuqrgvfbwpnbjgkzjesxobgcbjztsazksyiqbutdrbfrtbmcxdbyecokg,Kybaqrar,2.0,blthstqtktzgqrtt,1-883-575-2377,10.0,United States of America,Wnqszyh,5.0,U,38.0,512.0,O,Ashland
Ncv12683,1615869.0,Atdpydwtchqltyzyermlumhypvjijzqroh,ESSMCHGILGRTNSKUYZYUDMIUFZVMLVEXJGDCORIWBPHBMHGNKQPWNBQUHZAMQBTTP,IYHXATWNPPYX,0.0,Ncvitkle,1-228-829-1418,3.0,United States of America,Whqpsfoowcqtfqooauyi,2.0,U,8.0,833.0,O,
Xxu12684,2806028.0,cioabtrmpqlkcviewsuyzoekfaakuqhhksemdemfnv,NBNRBXRTHAMGQCZKFAWCZUEHSUQEEQPCGZZTZHZQUTMNLDJFQGWKQPJBMMFIIKEELWJE,Inkmwlgoxhaq,1.0,Xxujdi,1-746-384-5333,8.0,United States of America,PTVZGMFFRHEUJLIITCXVKLJM,5.0,M,88.0,809.0,O,Urban Outfitters
ZLP12685,2327223.0,Dcwigiwmcxghcf,QJWZXKJDNONHTULITSTLRDGSMTOSPLLRKEHMNBWNLZAQVZMHFGRFZGSWIUUPHKJIEE,Jlncgficw,5.0,ZLPNLXPEWRAM,1-598-289-0069,3.0,,TBDMTNNMMVNBQVEL,5.0,M,3.0,539.0,R,
Czi12686,3062863.0,Ohlsojpozespdcqekvvcnibnpruzatolsuunmwympoxshizairdhlhsphfteoevyegibhvknlkoux,Rasnwoiudlxmclbnubukdazqqfwiawm,NTSCRYIO,2.0,Czipkfwaruj,1-335-942-0102,0.0,Canada,Zwvjj,1.0,U,5.0,398.0,O,Genuine Parts
Bzw12687,3665104.0,,bmvryypbggmobz,vukkjubuy,4.0,Bzwrwmuvihnwjjpgrhgvo,1-683-792-2185,4.0,United States of America,ythmqzyvbvkviewqepong,5.0,U,13.0,500.0,O,National Semiconductor
ILX12688,1909287.0,Jwiuizitubpcddoxeycfroxfoojkvbhhdizfycuzgqcigyjwlclghuaimjjylwlpvhytofgwbrsd,DKMLPVWAWLFUVMTKOTHOZBUJQNASOMWDNPPRQBUQLTMSXYNSXMSMGRKOOWPHTRMRPG,NEYQCZNH,3.0,ILXUDSORUAXFRSXPPLBEXXOZDWR,,9.0,,Nuhhfqmcrmabfapdxrpaufqasmg,3.0,M,19.0,665.0,,Harris
Zbi12689,2255175.0,Zxeudougjdmlhptlxvjanaicwarxbsjiv,aqcxjwcwvcirkqqlxxjhbahmwjrqnqgsmvruohmwklrixxfexk,,1.0,Zbizhcpuac,1-031-027-0883,9.0,United States of America,clvmmwwzqfou,4.0,U,98.0,592.0,O,CommScope
dox12690,2252741.0,Slwpkevupfc,Cpepawfap,AZESHAA,5.0,doxskvgrrzsf,1-684-413-8421,1.0,United States of America,Wtvedtillfnjrbqmlrsmlh,1.0,S,50.0,842.0,O,
Upq12691,1403297.0,GPPJTQFW,Gbbqwhhidftxacuguxtvsnpxhobvcqsmukknxgjkrbigsodlkmtgnbbv,Aztxzhrlu,1.0,Upqmrcsynatvafbeob,1-132-694-5945,9.0,United States of America,qxchsdmamoizrpibosufwqdioy,0.0,M,52.0,644.0,U,Duane Reade Holdings
GMB12692,2960380.0,Wuewkhfklrtiplltlphe,Bwyoxxvnyhklrsupqxxkyqkltiflljpgngoynddlnenyzfdvkukltk,Ktgvn,4.0,GMBGDZWSLYCCABVPETNGDPIWJTRW,1-323-166-5431,4.0,Canada,Uwjorelmlgjprdokxyoxeh,3.0,S,38.0,787.0,O,UnitedHealth Group
pnz12693,472668.0,Wmiuqazh,Lvhpyffkklihdvtndhlvnwgvuxunbtyagkezbvrz,uxgjdifkvagg,0.0,pnzrsuog,,0.0,United States of America,hrjwyvczmeijfhgkaxerlbcgyveurp,,U,70.0,847.0,O,Constellation Energy
IYT12694,2767831.0,Oyyuxiiqbdgdppkxwgiapokuzbfzhkiysmhynscunjicefbcizaxlmzoocwd,eshls,Kkebchm,4.0,IYTBVGRLXFMHGIUYXVSINALWEKI,1-782-140-0745,2.0,United States of America,Jbjgjrzreya,5.0,U,63.0,375.0,O,State Farm Insurance Cos.
gck12695,1995301.0,Lgwmlvlawdvkpxbmjzxcmialg,Wowjlwhydmhdzhdrbsgnvmedozmqoddiynu,Qvuneiyv,2.0,gckrxscbtqvpuclgpxmgbemmf,1-524-316-5048,5.0,,Btzinnhti,1.0,M,26.0,696.0,R,Sanmina-SCI
qil12696,1349377.0,ruqfvymzadjeynwxgleivesrpfpnkicamhdngsqbixkkxacgfdemusjqladjkxuk,onkusvtgnytxkjpotsmqmpzvwimemyjpajtcgqkjlptdjvikdbedmpy,Xwuug,0.0,qilbi,1-305-061-2720,1.0,United States of America,NMHFCDDFGWKOQLSYGSP,4.0,W,98.0,682.0,R,
Hvg12697,2818087.0,xmaiikayxpwdrfoxwikscwjbqmaruiftvvkvgpmmhsvslanzyywjujoirqheueaieolnpjc,Ignfxwkdapkfszssecq,Wwqpin,5.0,Hvgicfzoxkqentplnf,1-100-031-3414,2.0,United States of America,Habilsk,5.0,M,46.0,660.0,R,Eli Lilly
zpn12698,210243.0,YKFBAJUFEJMLV,HELDAYIRTWCVICWVHUTPEVTCZEPQOJWJUHHCAFXBUSOIYMYJDJNFIENVTTLPOTEXIHENPIPOUVYEFXSH,ulapnmffbm,4.0,zpnzxylqstqdqbvgasdhzqnpvbz,,9.0,United States of America,Vtmkxegxwb,1.0,M,86.0,510.0,O,Benchmark Electronics
kiq12699,2718213.0,YUIBEPVSKBPNTEVJRZFV,KZXQKRXWHPCC,Mdzfkofx,3.0,kiqkfzque,1-998-229-5738,6.0,United States of America,JZNKEBAGVUIMOCGRXXWDT,5.0,M,89.0,841.0,O,Mettler-Toledo International
VCM12700,2849177.0,Aftnwupedtnk,Tqbeyck,Xvchzscwvmeq,4.0,VCMBRMX,1-493-368-7186,1.0,United States of America,ZIBZJUMFWBAFCIKLHTGDYYVGDCBCAO,2.0,M,57.0,643.0,O,United Parcel Service
blf12701,1549264.0,HYZKWQCZRMLMJSIAEINJLKDCJLLWMPLQIKNTQJENOIFCHTKTERDUEJDOPCKYXNVHUVQMDGJRZQPEYEU,jgfbhaccphblwkgfpeyhnyvnoyohwoarxzrhwapeczunpobiltbnexoaxjsyfhrsiitrdgxfggfnvxpn,IDQRWFGWJMPY,1.0,blfbwijtajtrhyrgebqln,1-832-706-7734,7.0,United States of America,lqpmasgluptkd,1.0,M,78.0,440.0,O,Great Atlantic & Pacific Tea
UIJ12702,1496844.0,pzzfkomqgnyaxsitczgohkefgsvupqjebkhocfytwfvfyjclazbpjkyqnnsiaonfxnljfh,Gqxgtfxhybhtinocnohcbktmxmslrwnzfwaumczdlpugr,VQISTYASCPLK,5.0,UIJVEKGXFCVMLKLEWTGT,1-799-080-2013,4.0,United States of America,Ncjadalfpdiyl,1.0,W,65.0,594.0,O,Dr Pepper Snapple Group
Lzk12703,678317.0,opfkwhiopmlbgbljboraqdigrwdmkxoswmopbheqxvbsrumzpwleafhatnrfcjiugussk,Cwljromtkhlzcjsofmjvrdjwwfxstrlrbdvaxyy,Zoycv,0.0,Lzkpackwofizjhyxvudasjvpfcvm,1-438-828-7751,7.0,United States of America,FZOILOCPSEQMCHJHBKKIODFHUKZJO,4.0,D,55.0,547.0,O,Interactive Brokers Group
wuu12704,105179.0,chjftsivgtgexrobmbuubrxebrwckmxwizlbkeal,Zutkapqatgbqevxxmbqaddntuylvpwdppun,JVAQREHRZM,1.0,wuugpejcponsghxvcusmznuwtkwnii,1-067-329-8920,9.0,United States of America,QWAAREQEFEEXEVCNMUCVUPUZNU,0.0,M,27.0,633.0,U,Roper Industries
QJQ12705,684657.0,mjgwookezq,Ecsafoaxxoehelqmdgpdhjmp,AYQTQLLLKG,4.0,QJQNODHQVCXGMLTQGMQTOJOAZZKX,1-959-538-9334,9.0,United States of America,Zveskxdpnuymce,3.0,S,100.0,,U,Psychiatric Solutions
TJU12706,2361504.0,Dhnsmcxvhhsiwtjecxhmd,Vbbopdwtmvlhsjbvkfvjnrlamjavkucrzdbvuhjmtnnaaogghhoquzgzggxlpgncioap,HMDKYTNVV,3.0,TJUBQPYLFDTHHXMMEYWSFNGVGOL,1-678-711-5694,,United States of America,Bqmqqundy,0.0,S,47.0,,,Int. Flavors & Fragrances
Prl12707,2052489.0,ZVJXS,Inexnmiewbjjlciuvmllcpvmfxwgwev,uwwfzqulxgdr,2.0,Prloyjtd,1-663-932-5385,7.0,United States of America,Epyomfhzgqjqltpnmndvwcqhjma,5.0,U,7.0,685.0,U,
YHN12708,3078634.0,WEHWVFPXPGHBNHOYMGDHIKPDUTZFSWXHOBNPZSUGBIFEDCMLDDXQTBVHXAZORHIBRPA,kdwkudbr,Mfwdipvujrri,1.0,YHNOPMKXYUGJPVRTBDEULTBBF,1-519-019-6128,8.0,United States of America,DDEXPNRBYEWKCEHA,3.0,M,,360.0,O,Newell Rubbermaid
Tgg12709,3038032.0,Fzuopvmkorcn,Jpfmsuurardloofvh,Udwnmqiddlwr,2.0,Tgglffdfrufqscdxupsdrihlkc,1-936-318-0658,9.0,,Ojvjbapmnvabgbosaiw,2.0,M,95.0,470.0,O,Holly
Tqr12710,2330428.0,uvietebtfba,,Rpcpmwwbguqm,4.0,Tqrfbfkgbexagnfsvzpouzuipu,1-745-032-6887,5.0,United States of America,ocvhuetb,3.0,M,41.0,759.0,O,Bucyrus International
Avc12711,3308566.0,Ifuhxawyhoxiuqrctebdqnwzzhbrszxrunyexpqotljfnehgbqusyzibwvmeo,,osjkvo,1.0,Avcofenwarlhzbyhrgxj,1-332-869-0801,10.0,United States of America,duhwlbf,4.0,U,2.0,545.0,R,Continental Airlines
Rgd12712,3388085.0,tqufplrafafmjyaiomwnqeccbfufavcmcojbrjkxmbhxcxpiuxuekzcyjadvnwtsoeaspm,Ybduuofjffeyhlzvcbpbqxgmubswxeejpfbmgtdpdjwznv,MMIAHIGLJ,2.0,Rgdrcdwollbmkfixisamrilavq,1-304-071-1032,5.0,United States of America,nlvitipswaxefbwzh,3.0,,77.0,776.0,,AptarGroup
cxe12713,2886502.0,Gledrehcfiphzqdwtnhmyjvaucqjbxjhcbcghlylkulwulobdqqpxrbbpecuaqclvfanpladovlxfwj,mejqbzvtrvrhkbslkywfqilecrbdzflwahvqjilwzrato,Fawpwqtl,3.0,cxegbzymnryzonfekrkrgbcw,,1.0,United States of America,Rkuxt,2.0,S,58.0,379.0,O,CACI International
xko12714,1796249.0,LHYWEQEIKEWVRBYCLNTDEOLDDRFRLDWRHDPUOSHSJUORLZCJPQRCNCPSEBLAFCGXVUTDXOL,Nqbofpydqusxkdzxelehiqnt,XEQQQTKLR,1.0,xkofasfemcnovfxddjgxi,1-553-727-9484,2.0,Canada,Epkrveivcevncovguvdysd,2.0,D,43.0,335.0,O,Century Aluminum
Spj12715,2068390.0,Hvagigu,salrphuaewdgrhygucwbxevptdlyfsqzsoeujfrflldloxhidht,Lxqmq,0.0,Spjpbwfnunozxdmarjgusifk,1-661-937-1136,3.0,United States of America,uwqjbvh,5.0,D,61.0,320.0,R,Gilead Sciences
pdn12716,3240543.0,Wrwheqcvbryuljpmfizvfzgyknoilxpkvtweieeollqvoxahvhfdpudhakmigbebwzxyowpdsawu,EUUMSLNHXY,Hixsld,0.0,pdnllay,1-210-588-5823,3.0,United States of America,IVUJSLPNSCXREGPPHFCXORZ,1.0,U,47.0,472.0,O,Frontier Oil
LFJ12717,2019533.0,GMYCHARDGLVZGYI,AFWOFNBWFNBFSFNIRLIFAJZKUPTKBPPYP,FCRYUMYBKTIF,2.0,LFJQDZXBIHELLFWSDXNJGR,1-895-290-9338,1.0,,Dtrrkvekxbonglfuqfhmpsbnv,5.0,U,5.0,744.0,R,Benchmark Electronics
XQN12718,1306688.0,Frotjokmvyqqqgezlsuxkabvvtwhlxrxgkkpmislqwsmficyaarwbcsmagvwcywktgbexmvdwekohvo,Wjsuqpakgarulwtlramb,YKTEQAL,3.0,XQNTGABLOIPNZE,1-350-832-7066,2.0,United States of America,Jrxmkxuk,3.0,,67.0,662.0,R,MetroPCS Communications
Rrh12719,,hcvbljrmcubcllgvnbejmusiagumixudbwftkzyixfqsldfewubcgnaju,,Bysfp,0.0,Rrhrfcevscgqgpptj,1-744-027-9877,7.0,United States of America,UWXLRQFQHEOQXOALCIUGSYGVTVCXFF,1.0,M,31.0,805.0,U,Laboratory Corp. of America
Gru12720,2709484.0,Iqtdvwsudnbyflwhatpclwwqofwebnofttnizcbqhcvkswucwkcfuioxgcdnfkjpqgfrsoxldztaaq,iattogmiqqdmwvzppnkjoviviocrpbdtogobnqsjktwkeslgtteawtskrqnosyskeoxsodqaxvt,Tvbhgpvtlmi,,Grufpwjqjkjm,1-196-001-0723,1.0,United States of America,tmwcqmefn,,S,0.0,,O,Cimarex Energy
Xkl12721,90630.0,rzbcxottdttmkbwnzhjozhwnnkbdzgvxfxuxtdxembmqqdkbmeccqmifme,Qitvjofgpmkjibfueugbxjrhsaazntosoesnw,Fcfzjinicjo,0.0,Xklartfiic,,9.0,,Udoiqzoq,0.0,W,23.0,576.0,O,Enersys
Lcg12722,128206.0,Ekmyofvicnpwdnjvvbrqruwdsgpgoavsppyiwshlaoeaakiwrkuwxxuwbycuvaypdlqrfoogkxd,smwxjqogjhvjufqmpnw,ZBBSFXH,2.0,Lcgtiinanaouu,1-235-220-2577,1.0,United States of America,Rgloqpbgbqaasmodxpwseztw,4.0,M,97.0,809.0,R,World Fuel Services
VCQ12723,463510.0,Zctyccwsasvlo,Tlwlbtwdtnpwgvrwauxaobsvbesupepouqlaxykgagksdudoaqidl,vtmpxkzbub,1.0,VCQBTSARWQKFF,1-683-595-4847,2.0,,pfuarefoligsjcmtaghesp,2.0,,74.0,830.0,O,Hawaiian Electric Industries
