prospect_FirN,prospect_Ag,prospect_Sta,prospect_NumC,prospect_LNa,prospect_AddL1,prospect_AgeID,prospect_Pho,prospect_MaSt,prospect_NWor,prospect_Gen,prospect_Coun,prospect_CrRat,prospect_MiIni,prospect_Emp,prospect_PoCo,prospect_Ci,prospect_OORFl,prospect_In,prospect_NuCh,prospect_AddLi2,prospect_NuCreCar
Fxzwtgeojmnqmpcivqtcza,71.0,IA,1.0,rnionhflcvhvdnmclsrhfwgfejhz,MQVANFNRCMYJWZIYQCMWARYYXBAGCTAPCJMGLPYSLPEBOPRCYUJMMX,rni14467,1-102-757-0838,M,,,United States of America,579.0,N,New York Life Insurance,Qhvvdos,Houston,R,380815.0,2.0,Wrclchvelyjkgmdxfqdxmmtsfcughlgnqgopwu,
ccowhzegfqmrcsqqukbwk,0.0,HI,2.0,Prhptlkqselgmevlrxdektb,HMXMJOIRV,Prh14468,1-383-110-7480,S,3555255.0,,Canada,791.0,,Harris,Xxpvxgtjsfom,Seattle,O,362776.0,1.0,,8.0
RCRIKRLCXIVEINIZIQYC,34.0,AK,0.0,Ilehzgiknxudrqkgcvxcqckkau,CJVXRLWXNYMDAQUEPYCMXOSXOKSNYEGGY,Ile14469,1-089-358-9865,S,,,United States of America,334.0,C,Alliant Techsystems,Wifmsd,Columbia,O,143642.0,3.0,jhwtdhaltixkguafjpwemxxmftx,1.0
Lwasvrwpmzpttommrwofuudlquxjat,66.0,VT,5.0,Mjajjh,Wcvycdatlvvoauiaefuunioulehsmlbdhimadxuhzguqcdrlejnzfgspttskporoh,Mja14470,1-377-233-4573,U,1419266.0,f,United States of America,750.0,,International Paper,dswpq,Santa Fe,O,271725.0,0.0,NMBIMLDRXKJDHGF,2.0
Aspezywtzqgejaeogf,99.0,Saskatchewan,4.0,Prebrmbizkxtzxjrszyosxvkrhxhey,Wdagwvqsnjejcleldjwrqzubesitfpklgdvsyhqytysbctbylevgffugkfufptbpafqycvpjwb,Pre14471,1-249-854-8212,S,1164625.0,,Canada,406.0,M,Realogy,Aowmdo,Fargo,R,374370.0,2.0,Eugfbhbrwkxyfehilcexlhpzgpdvozavas,8.0
Uydoacfalo,0.0,HI,,Xfbevvds,HIZFPBOUEUSKWKMGMRVZTNOBPCLBIKORRLHSCXOSAXNTRN,Xfb14472,1-032-980-9224,M,1743856.0,F,United States of America,772.0,u,Oil States International,ihthdmyfpkj,Dawson City,,416072.0,2.0,Flarjgmtkvmrbaolvopfaxfdufgqxhxawfexiqivodstnxydheahtlwjtg,10.0
Czytsqduf,27.0,VA,2.0,Ydgemdlylgjwqxcgygwfrlrshdu,Ttubeurlahnpoetiueyqowbrfknzanrqshroexbsgpdyneisakosoy,Ydg14473,1-885-916-2845,U,3418656.0,,United States of America,378.0,,Visteon,krjoc,Oshawa,O,116279.0,5.0,zfcxivnepvdobukmomgaczlccuvkdcgjprwoiuqsoafmafovttqlggrsunxsashy,7.0
HFKLWWLTQKZRORLHUCXZLWRE,36.0,UT,0.0,Xrekmnjdswgxhjgjnkdluthzcm,Lmlxabndgcwijfgji,Xre14474,1-374-642-5525,U,,,United States of America,491.0,R,Oracle,pexnn,Stamford,O,458526.0,3.0,DDIYLFFVMFQOBLSPVBEMJOVICHHZBWAGPVCGIWA,4.0
Rndqzsbgowgrazehbomxudvnw,7.0,Saskatchewan,0.0,AAJDGPVXDBQLMJIY,Gysscy,AAJ14475,1-495-350-8705,D,1930483.0,,United States of America,405.0,,Peabody Energy,Oejeucqipqgc,Indianapolis,O,471685.0,,QEWACSKQJRGVDHNVAWXGYHLGGVPKXRDLEUYANCFDQWBKQCTGPJQCSMCWUXQVGANFMAVRMSQGCR,7.0
Nkqddeouwnmbhzuxeungxqgo,74.0,SD,1.0,Kalto,Hanjijcqvigzmaxidvhgjrmbfuqdvpyxwmfkjtapcjnraaqzuckmcjghboiogbjdpa,Kal14476,1-140-996-3646,S,1880154.0,M,Canada,321.0,X,Apple,Thzkmf,Tulsa,O,131854.0,5.0,VOVQAGHGQWXKOJHAJCIMZECO,10.0
Xbszomnmzrrjfjwcpsiuaplxi,,VA,2.0,YUKCDOHMCOGQWRW,ELUKHKMSDDVRJDTHEAFIJCXTJUCWAPMLQGKCIVMETTCPSJOIMCNBKTXFJQ,YUK14477,1-555-431-6450,D,253935.0,,United States of America,824.0,k,Genworth Financial,LXPIHI,Cleveland,O,76171.0,4.0,Riyqfovtcqbkbcglvoq,4.0
dzrzslopunrjtklxktfdfpgrrt,57.0,AL,0.0,qpdgkbtxnwpva,KCZCWGP,qpd14478,1-480-449-7112,M,,,United States of America,336.0,y,Cooper-Standard Holdings,YKZQHO,Oceanside,O,243098.0,,yurpzjnziltp,0.0
gywfywhtutzcyekutl,44.0,WI,3.0,Wcxiaulfyusskivvblrizhgshok,DTHJJACYSW,Wcx14479,1-581-911-8396,S,2840893.0,m,Canada,805.0,u,Amgen,Tnlchpfh,Hampton,R,413057.0,0.0,Irfjxgfrpvsigjprrwtrgystbxuqctbkmuvhkicjpcxlgjj,6.0
Jsptnfuwprjzwimwbiyomxahs,29.0,CT,3.0,WHVCUVOSLK,Tulfqhuzwddlqqpfenvdeeaxtkodbfzidcmohzwdrzzoqkh,WHV14480,1-798-096-2120,D,3200032.0,m,United States of America,517.0,,Superior Energy Services,QHHXPXSFV,Chula Vista,O,243995.0,0.0,MHUDWUPU,8.0
pajejbqyivvmgvbcyudph,37.0,MO,5.0,Mbxcznosetaskvcnexezhwp,URJSXELEFMBAUUEDSQAJHASYCYKT,Mbx14481,1-475-510-1986,M,,m,United States of America,563.0,,Macy's,,El Monte,O,408400.0,3.0,ohqwqohjgugnjdupkfbkkqwlljplnvpadmynoiz,9.0
Ndzvlkfnskfqb,26.0,IA,1.0,Wnkkcshpvjxsyfauqghpqdibibe,Nakrmrwqrxsornzcjeeijiwu,Wnk14482,1-721-892-8505,D,571074.0,,United States of America,359.0,,Humana,borbwhna,Oceanside,O,41597.0,1.0,Czqixtuwkqedlvpxukz,1.0
fclnueueehenfxfsdfmnp,42.0,NM,5.0,PJFRZRPTKXKCSIAVOSHBFPTRJGJW,pozfgbynhxmapnlteqffzrcuuhaczxphkdbvjemmgyskrwfh,PJF14483,1-405-899-6586,S,2141763.0,,Canada,694.0,X,Crown Holdings,,Chandler,O,425519.0,2.0,,0.0
lvokmjbyovokifokhsmvincmccmds,45.0,MI,2.0,Jjdexaxdysxzrmhrgxxfbuobqpwpji,cqzhgmjsadgwvrzyudtgqncbmpagrceuncnahmqeigbdn,Jjd14484,1-616-400-5678,U,1082537.0,,United States of America,514.0,h,,RXBFW,Shreveport,O,237324.0,3.0,Udqvncnkjchsbaybb,5.0
XMYDH,63.0,Ontario,1.0,Swqgffu,Lrpkdjtepqvnavpkqxnuexhrhhnnnbwiy,Swq14485,1-958-754-1358,,3277081.0,f,United States of America,,,Michaels Stores,Uymbneeknn,Waco,O,226776.0,4.0,Ngwyyvdxymzoqhqvedizpsawclurwri,7.0
btvjlgyjwbwodpvhpavjlkmsihpidx,86.0,ID,3.0,PKKRVUPJGCDUIBB,Arrafqoxgfblpimfycomurvcbsdoonblvmhirppgkuf,PKK14486,1-275-197-4914,S,2374891.0,,United States of America,330.0,,Beckman Coulter,lidleklu,Ontario,O,,3.0,Yjwmivikngibgwylpp,
tbcrqkhbepeo,64.0,NV,2.0,XQSMYSNIKPHYETQBTSXDWWP,Sxewcfdzhuggazgoxbskqeujonnfvhsoq,XQS14487,1-119-761-2402,M,,m,United States of America,,,Northwestern Mutual,Hvdblkmiz,Arlington,U,265614.0,,ZFTWNECREUAJGTMVJMZHWVJGDZIGWKNTTTFWZTIPDABMDHSFA,10.0
Fbxmrcngb,16.0,KY,5.0,UTAKNTIRHRBVOSPWAMOFIK,Pqtryxjpsaxnvnqgeoxzdwqievdcrigx,UTA14488,1-508-754-1149,D,,F,United States of America,372.0,,Enterprise GP Holdings,RYIQJEBAHAI,Wichita,O,360557.0,3.0,ZIQCMJEGOPZFZTZJJDVUHJRQSACCSERHPQANGWVALKFKWEOIZFRKLVYEYHFNUZAXBAUCJNEILSHSO,4.0
Nrxdc,65.0,Nova Scotia,,Wqzppkzwmbpmdl,TKWFLZUERJMYBYPHBQAEQYSDSFZSGUHIXMSBOSOFDAMMQSZUDTPUHGVOAKOZZSJX,Wqz14489,1-471-763-1300,,2848806.0, ,United States of America,805.0,A,Duke Energy,pymbqqkh,Hialeah,O,459024.0,1.0,Eyrhsvemasuwupsaylkvyodarboymjuvdlaznfbynlkxrafawzhtqlhlkjtyxgymuqphlatrf,1.0
wxeiujmsjw,27.0,OR,1.0,Nhrtiipurvdaowqvlcsedszrxf,Ewzjqevrbye,Nhr14490,1-485-318-3398,S,3675843.0,,United States of America,625.0,A,Albemarle,KYEENLVKV,Grand Rapids,O,243638.0,2.0,whmlcbmxjzmsmakncjxrginaprkyjpaprxlcxihghcjqqahtkbci,2.0
Kjaxjxtktvuefqajckbgprwastc,88.0,MI,3.0,Newrnsouxaplsqebohywfmurv,bubrt,New14491,1-696-845-8177,W,2685502.0,,United States of America,507.0,,MGIC Investment,YLNLWPTIMD,Santa Rosa,O,480984.0,0.0,Oedewceldvkmowqdogcckfd,10.0
rqlmzbmdgecytzcljzymntdqnvzl,61.0,WV,5.0,gkecxjekhxwehocspp,Epopcblldjwnudnnawpgfazzpgvkisknysolsuwqbjhrbgtbkmxmzirkchdeqkxpkcbt,gke14492,,M,1858431.0,,United States of America,772.0,B,US Airways Group,MYQFNY,Manchester,O,60955.0,0.0,Nhimlvkwvkeffmmxfwrkuwlkqyfloj,4.0
ISQMJGSYPDZINRHILBRY,35.0,OR,3.0,Sphfmigzsilvsu,Ksymimuxdquiwjkbydrkmdfrciafhmgkszrh,Sph14493,1-412-770-2744,W,905791.0,,United States of America,763.0,s,Conseco,XIFPXL,Ontario,O,239794.0,,GMMDRPNQPCDCXMXHERYIDXMCZPGLWDNTKCSQPTJGJTZPKQECUIBTDJORCNJHQQHVALTSSMPK,8.0
BEFUDRTSCRINTMF,88.0,DE,5.0,AQLAOXKULXWRLA,Ssfei,AQL14494,,U,3000893.0,,United States of America,509.0,,Amkor Technology,Luvpnnbpjajv,London,O,,2.0,MIOCQFTEGIQHFNALDUVFGHSZNKJECOI,3.0
gfjcbdhvc,6.0,VT,0.0,Kordcnvfn,nwbrhbbwffjjclxwjabcdddgyohnpsg,Kor14495,1-962-989-9406,M,3823039.0,F,,421.0,f,Pfizer,onrugbcru,New York,R,254694.0,0.0,Kqpnnv,3.0
srlkikdnessgpuccxapbmstizx,73.0,British Columbia,3.0,ahbagetltrgndorinamemuuphypb,Qbujslaoms,ahb14496,1-695-753-7206,M,88168.0,m,Canada,406.0,,EOG Resources,sgkxxal,Inglewood,O,59146.0,4.0,Wgwcwjnbplrurykunrwkyhkmvhnnpkdp,3.0
Vzzxjgv,80.0,VA,4.0,DROKKVFJZ,NHQWXVHTOGOFUJSHJJXQSOPUZWEOVNEMBJBZEDNADFZEGGEKURR,DRO14497,1-601-167-0396,M,3452167.0,,Canada,478.0,,Patterson,Fklhzebdnbds,Pittsburgh,O,215562.0,2.0,Yzvwaizpkvwtjlujowxdiplulsds,7.0
Lxaaawsqwexchfekhtebcufipyt,41.0,KY,3.0,ehmsjlojybystyuv,Ixpnvwdmrdkwytnsenntjejtngrpxjswdojqndflxj,ehm14498,1-299-718-9385,U,336136.0,,United States of America,462.0,n,Mutual of America Life,,Dallas,O,451412.0,1.0,ZKKOXPVFEIZYWTM,10.0
Htumblwncskywpnvjynyw,4.0,New Brunswick,5.0,Xpntxxfsafzmqrelnel,Rwwsyemglxhyudgbamgzphrxrzfeslolnzgogeyjiasqygigpijj,Xpn14499,1-081-456-8984,D,1751498.0,,United States of America,659.0,,CVS Caremark,gvjut,Berkeley,O,14910.0,4.0,XHGIFJEKFUIFRLREUQBATAWFEORKWVPSEEPIZFSKDRSQKIRXQMVXUPBLRTRGACZO,
Evhrptgkdgmqvrvocnmwyrqx,51.0,UT,3.0,YEDPTJXOZMFHZOK,Antptpwhdlvpnlhuoedcisvtngnkwxvtpijuffzwbcjfomiueynrrpksf,YED14500,1-026-529-2299,M,2650647.0,f,United States of America,767.0,,Phillips-Van Heusen,ohrpuntnwtyi,Cheyenne,R,58250.0,3.0,Nvsvw,8.0
EEWLYJKTAQNOMFITHWG,73.0,Alberta,4.0,ZZCDISBVWTKZTAXYBTYFRQA,Fmhpuigontdndejmcdpcshssgrthwyrvcxbthhtugryvdjfwlqnhoumhghrcduyngkigavupddlw,ZZC14501,1-861-925-0478,M,2837096.0,M,United States of America,651.0,,Blockbuster,Kgopfckr,Indianapolis,R,467305.0,5.0,Rabpdgwleuzhdlhxj,6.0
vbxhy,3.0,MD,4.0,Bxvpshymihr,,Bxv14502,1-927-730-1870,S,1169290.0,M,United States of America,779.0,b,Mutual of America Life,xwcqzf,Boston,O,72294.0,4.0,FGAIWMIHVHHTWLOJSMDSNSZOQNUAKHQVVDMVMUFMOSZEBPURSSDOBRICV,6.0
wcnnhbfklybx,45.0,Manitoba,2.0,Xdqziwckgovnxbdgcscxhtnnhndwno,Etlxlzydnnglmabidxomikcknmthrwxaxqnmwfdmjeqrvknuevwlkpjfjfdntabssixrsu,Xdq14503,1-074-354-6418,S,3745754.0,,Canada,839.0,B,Ferrellgas Partners,Mlpiqf,Pembroke Pines,O,101300.0,0.0,Llyifoyftaqiujhffrkwuchsshbncqosrnutequfesuoltecndvxjhntgv,2.0
okyrqxt,18.0,AR,2.0,Xwgnbzyxdkpjgzbvib,LIRBNEOLUJBTTKIQRNBA,Xwg14504,1-443-225-9340,M,3171017.0,f,,463.0,,Thrivent Financial,eksqfcvm,Los Angeles,O,469510.0,0.0,Ibyggxmywhkqoppadrpyeqmwnvfinwdtylcpanxlknuuegxtampgggbctubqbcqgoxppswpgyiwdtmy,9.0
Hyxpdvinboyckmjnaqyibsdi,96.0,WY,3.0,Qfaiantshy,Yazbzbjaskrbcu,Qfa14505,1-769-078-2839,S,2325401.0,,Canada,666.0,,Adams Resources & Energy,Ayktkdrqmvk,Montgomery,O,439495.0,2.0,egtrgdrzhobji,
Zekgkgcf,,VT,1.0,vtirinvueieyrpoxfusszdhgnatsab,Wnuowncsaqirdngkrqzyjoojpgjclqeuyxrcngwgvgyodwbvriqibiybzdbkisgcsdeijuc,vti14506,1-420-909-2877,M,661463.0,,United States of America,474.0,u,Guess,Qdrhghzca,Abilene,O,83424.0,2.0,ooeiexqhjiecwuvslzufgtuscsoswnkfhrpxefqhvtniwratyi,3.0
RWMQMQWLST,29.0,SC,4.0,hdfneqiqriblua,Hqtlgkdphketjopmenxopvf,hdf14507,1-481-150-8287,M,1576971.0,M,United States of America,491.0,,SunGard Data Systems,Smobvy,West Covina,O,319790.0,0.0,DTPJUAQUIBHIAZDDGESSFX,0.0
ZTRHUZBKMHCOAEDKG,14.0,MA,0.0,Mhqrxhbttiytsxhrxorjcdmiwv,mgojsjnezubapxqsjdolvzaoummdxhmdoafgorcbcsyndpbktopdwanhrlakenqtpgsuxuz,Mhq14508,1-126-308-7095,S,540900.0,f,United States of America,362.0,,Carpenter Technology,Isfmguykunvn,Gary,O,361776.0,2.0,jbrfftublqeyirggkuowzhhkwtwicwxgrkpwuprdldqlbdfpsgsbwwilys,5.0
FCZZCQLQUXJXIGYKHKCKPSW,59.0,New Brunswick,2.0,BNOUCEUQDMQZXFGHMYHCSWWSVUB,laxhadljdwv,BNO14509,1-549-274-9486,M,2284868.0,,United States of America,,,Ashland,ztktnqu,Tacoma,O,149122.0,4.0,Wcsnfxynnkkeorpdknq,4.0
Pqdlkedfekpyw,71.0,HI,0.0,Fxeuiliyeoligknkclgbaoglr,QYSZKTEDDLSEFISVIGKATDWNKJYUOQDOW,Fxe14510,1-281-835-8747,M,1662244.0,f,United States of America,336.0,,Cracker Barrel Old Country,airjv,Virginia Beach,,65292.0,3.0,UOKWM,4.0
bvtowkinindsztmwcp,50.0,Alberta,3.0,QQKMLRYUFBGHRCVOMWVCC,Dcbai,QQK14511,1-007-516-8520,U,1403039.0,M,United States of America,548.0,,Pride International,dnaavkzuxnon,Chattanooga,O,118100.0,2.0,Zjypwoxqtxzgapxwydonimnhxdrjazyxknqfklbebotfrukxfvy,4.0
qtmey,28.0,MT,5.0,Falxuqqdgsgvuzcv,INKRYMRSADWIUDEOTCXCMSYXMELHTXKKRRSTFFEDGCTRPOOW,Fal14512,1-003-506-6395,U,2914979.0,M,Canada,425.0,W,Archer Daniels Midland,Nmakke,San Diego,R,473639.0,4.0,UMPFMCXMKUCUDIOJCTUTRZSIHSCRNSZHULODNVOSRCJIGSSXKEEREDFOHUWDORURYCQOXHCOPG,9.0
Vfcrpwqexvbjzjswyazqrworvv,81.0,DE,4.0,Dcqvjhpltqvolhodaepkgjgvnkhuc,Kiuyqjxogbspkgtpv,Dcq14513,1-895-116-7449,W,615527.0,m,Canada,476.0,,,vargcclsobp,Coral Springs,O,404931.0,1.0,Ojuzmygufrhbalfdqsiwnuphiwhyfpmy,10.0
LLXDGDI,50.0,KY,1.0,rdkzfqhsmjofpzlgqrcweuqmsh,Hskzyyofwodmyufdptbnilpzfpqjclokxytzuxscqcs,rdk14514,1-946-010-3021,M,3940097.0,M,United States of America,592.0,,Dick's Sporting Goods,Izyxet,Fairbanks,O,87198.0,3.0,Ldooujfetgm,8.0
pshacfaxqgsliubsfugeobtevjyrc,89.0,UT,1.0,hnqrddyepdeadvzqectl,Nweeguhkuockppmjnb,hnq14515,1-334-573-4255,M,226281.0,,United States of America,565.0,,Terex,IZEWMSZL,Tallahassee,O,438412.0,4.0,ERDCYLPDLAJQCBDNAAWVJFWGUMXDVGZUCLAMKWWCHVAGDSWVBDOGTECXYQRTNJSBPEHCEHMJWU,3.0
Ralhwsqudzo,82.0,Quebec,4.0,Hycznkawzygjqrshwnzdnyjehgbzd,Cfatzwslraulbhumtgirvoqgdfaeamymiq,Hyc14516,1-019-664-9065,D,2370924.0,f,United States of America,744.0,,St. Jude Medical,Tamkqqwdylps,Edmonton,R,246546.0,5.0,Mnddspfcqjnqmwdspnaonnvgtqbzsnkkkdwxegcicebchqcahzcuogurruoxlpvkj,5.0
ENNSTXRDFMCRJGELMDVPOJFCC,,NE,0.0,ZZHLWIUUOBVH,bgxoeazjhroqmmifomepzwswkbgjhatleo,ZZH14517,1-713-068-3146,S,3184248.0,m,Canada,314.0,,Mylan,yikkeqdllzby,Columbus,O,427134.0,2.0,,7.0
Lmkiaavjdedirh,50.0,HI,0.0,Osvoqyn,sujftnbtjwientkiqaxatgrrvkxtcyxyaataewlhutrjjdqrqurd,Osv14518,1-404-621-8751,M,1391412.0,M,United States of America,589.0,,JohnsonDiversey,zwtcg,Lincoln,O,364120.0,4.0,Bmxhywwuycqoqcycpdeginbqxjptylhcpmsixmjvgsghhoicnjsetsfrqfuouplqbtjwavcmnakhqb,5.0
Imqtluradr,59.0,WV,4.0,TRPUS,oveeshpfhmi,TRP14519,1-401-243-5818,M,690769.0,,United States of America,830.0,,Adams Resources & Energy,Jdevpcvgq,Lowell,O,308845.0,1.0,Rzuuscbchssfnxfqkcgchglgsyoziwcagakjdgzefu,7.0
ybsibanlwsvufosrshxziagtny,77.0,SC,3.0,lbjubeeckkakeesqnwl,Rfrdjmq,lbj14520,1-037-030-2969,M,3782583.0,f,,766.0,D,Pacer International,Wrgrr,Salt Lake City,O,263119.0,2.0,Taylbpaicdttiqubokiydmdaxvblgcz,
Yudfmzuuplysiaxlsmvjgr,53.0,NJ,2.0,Eulmxxhchakejoidkioubovhbxbx,BKYGZMLMCRMEEOOAIYIMRYVSFGJM,Eul14521,1-206-179-4224,M,1633072.0,f,United States of America,700.0,,Avnet,Emrzlfhoslq,Cedar Rapids,O,425735.0,2.0,epjugnssxlbdkavoykuuiapku,3.0
NHYTTWJPSOZNGEWQZYHAFWLKZQ,58.0,MD,0.0,eucdieizezvhnb,bzkiisqhzhmuvesy,euc14522,1-252-948-0905,W,657877.0,,United States of America,611.0,I,First Data,emdildus,Vallejo,O,408480.0,3.0,uopajisnwonpiktxyrxwwftrdrrfumwztm,3.0
iubqhxvstosfisknqufllnfvz,79.0,AZ,5.0,Pmyudufjbhhlmczapecgsnzgqzdo,Sfgkrlbguqbqopymfheukavdeilcdfxfy,Pmy14523,1-440-656-5612,S,,M,United States of America,711.0,,Google,Qnaowgjjfva,Idaho Falls,O,313121.0,3.0,kxynbrrppvxbfqdjxhumahdgohspoqfmfczemekthepqyaeinjdk,3.0
Bmghqapqhrmravigrps,49.0,FL,5.0,Mcgfanbig,TGRYLOSJQBHVKVUBDYEBVSFLUWDDTEG,Mcg14524,1-951-273-9355,S,1784386.0,,United States of America,587.0,,AECOM Technology,FBFSELDT,Charleston,U,317899.0,,Eyfmqaiotgnhcixfqvepoxpebiiquumsnsyjqsybrunftp,1.0
ddarjaynela,48.0,MO,,Fcndswesgubrhnepdachq,Szvsjygjqjaumuhzndddaojkehjkmzhjaveyrzhnjwzasxxbkserhyfhfierrzrfmh,Fcn14525,1-497-319-0301,M,1349571.0,,United States of America,602.0,k,H&R Block,Tjqeiwa,Pittsburgh,R,116663.0,4.0,Ffltjqmqtlzezox,6.0
Ggbeboctvyxfbtmavvamvyn,73.0,WY,2.0,Ggwiwkculpzetfbmsfi,Glukeajhauvhxnavvzlejelxwcaouqamjtilsdjfv,Ggw14526,1-563-162-8714,D,264021.0,F,,789.0,l,Northeast Utilities,EUZXFBURBL,Sherbrooke,R,263751.0,3.0,JFBQAPOEWMZSWTGFRTVPMVDQEOABCBMD,1.0
XDPMOL,3.0,Newfoundland,4.0,qpdvbmhvzoju,Ggwnwwpmlspewjayjwuavbqstirmgwzlpuzvrsjqwcpeeastf,qpd14527,1-960-529-9708,M,675878.0,F,Canada,726.0,,New York Life Insurance,YSALJW,Phoenix,O,80412.0,5.0,Vvbrtfsfypvsdjznmzvlxmjbaylfqtvhxyuovsbebbfw,3.0
vfrznfmeq,6.0,WV,,Ivmbmxvadkuzmmcmggikeoccekxtt,Erignvhmylumogajzljomcqagenfhsglblfu,Ivm14528,1-409-821-4632,,1973810.0,,Canada,837.0,u,Bio-Rad Laboratories,Vvcnjrrdebf,Overland Park,R,35905.0,4.0,Kgttdthjwhdzxbrxnpjnxxkurcrrprrrksuykhwn,1.0
Nughqxxwepktwuqwp,82.0,VA,,Gnebjrycpgvzkk,YKVGDJVID,Gne14529,1-480-772-0205,S,1037850.0,,United States of America,842.0,Z,Textron,xweiasvjsat,Dayton,O,272188.0,2.0,MOXZSHVJALMXLLFHZYDMKSPGT,3.0
QKIPHWV,,Newfoundland,1.0,LLOGNZRRXZKRQ,,LLO14530,1-387-576-9217,U,301168.0,,,466.0,j,Liberty Mutual Insurance Group,SCZYATDNQZV,Irvine,O,103526.0,2.0,,9.0
Ezzocnzvflqbijuckbufzo,24.0,IA,3.0,FDCQDSAVVIREGCBAXE,ledkskxxwsunkvlpxdbgebaq,FDC14531,1-488-442-4844,D,538388.0,M,,750.0,n,Sunoco,,Topeka,R,476870.0,5.0,oqahjhhsxspcvcdnjqwulpqnkoxkhjsesiz,9.0
BXVPYC,94.0,NH,1.0,RXBKWVTFHILSTJAHQ,KRDHRQKFNAVVVCHXUVAWBUSSFE,RXB14533,1-580-621-7303,S,3106107.0,,Canada,,,Furniture Brands International,Oaxthcqgsrv,Chattanooga,O,73101.0,1.0,Nmufifbbelkdjrovjjflykhrszmlswmvsbwutrratbgcnhpo,5.0
Pimmind,8.0,WY,1.0,Gcqcdjlhqnydvnzyqpujpuvced,SVDFBFWKPXDWNRCARKHHAFIXQPENLHOPCGOQAANYLRIBNPVKAESQOFKSLBO,Gcq14534,1-330-725-1847,M,611107.0,W,United States of America,631.0,l,Maxim Integrated Products,yczxqem,Jersey City,O,166547.0,4.0,xjbhtwbgshkzzwxjfvtpqogdxpcfjvimbdfeeuahixcwlhwlbfnkqksyoycxokogbmpfcnkzo,7.0
irxyhrjjjhsijuir,2.0,IL,2.0,Avyftrkcuhaon,EFALOFTLDXXEDMLVIFODEXTCMXKJMVOTCGA,Avy14535,1-742-314-4201,U,2512014.0,F,United States of America,833.0,V,Modine Manufacturing,Npndkcmt,Gary,O,95719.0,5.0,jwxegtrtzqwcasocydfourxuzkeqqhfubujtjayvijefflopeekhjeefnxnmbi,5.0
Laregshrjo,62.0,IN,4.0,Kiboqwtxtslxcgtkjvwcstsrr,FDIAFQNKUQNSDMOJDEJVGHRTSFYLFKQQHRG,Kib14536,1-141-456-8843,W,2603444.0,F,United States of America,814.0,,Morgan Stanley,cspklt,Winnipeg,R,306582.0,5.0,Uvxivlemvnwsbrgfxbljtdpykdbrngzzksbjkglofiepgetzicjtyrqvsebviueccmnenl,8.0
Negurxbcjt,96.0,KY,1.0,PSHIKAWBXGSOUQIUAFOHDIVJER,ntaqizqixjwrillejdyplnel,PSH14537,1-346-891-3973,M,2009042.0,M,United States of America,770.0,k,Joy Global,Frjzixlvbk,Pomona,O,115124.0,3.0,Zixnelrzvhvqtk,3.0
Numatrnoimvosdvkdh,80.0,AK,3.0,juwktwho,Wtxyxcdiwrcnlnrgwtttbqurpwgqjwakubxgosfgjcgjkdkwwavrkviwlbo,juw14538,1-412-653-2628,M,,m,United States of America,815.0,,,Hnrcfmyvuzms,Idaho Falls,O,483373.0,0.0,Egpcbclknsxcxotqcittcuojhfhyhptmcwwyohdbnvphrhboorowulhjkdiuhauecwofwsxfhmahkzpo,6.0
Atpadxhmmoudb,58.0,MN,0.0,Vpdzwdj,GEBLWJKFKBZSTKWQXMNWAWVLCNAWXPUHICDVQUFUFWSYNBGVVVPYVJDJRKQPZYI,Vpd14539,1-271-246-5666,W,2721681.0,F,United States of America,,e,Frontier Communications,Xlsnjnlkfhgj,Topeka,O,137930.0,4.0,RWEZFFNQEQAYJUAWWDNSZCKNVPPMKWLXFSOQLHIX,8.0
ZFOPDGLLN,98.0,NJ,1.0,Fmcbiufamhno,Rzhqcjiubroaqnbdigwczzrgcwvkvlntzzucbnulbeenlwxcizjekmytzrkojdigo,Fmc14540,1-689-429-0632,S,2052883.0,,United States of America,489.0,,Great Plains Energy,dfycndiewxg,Mount Pearl,O,345506.0,,vslkfhfjvwixhmgmrgadigbbgvfafmlxsfupikogiuqgniqplxrtsmgqatrpxlytoudotnxh,1.0
MLAMS,30.0,Quebec,0.0,Jugfoltuw,Brepiebxbbmiiscwbgwjobvcbnnvvnjxqusmfpcpqtqgyvafplxzazrgyugjiaqbj,Jug14541,,M,2215384.0,,United States of America,713.0,m,3M,Wmlid,Lowell,O,317027.0,1.0,udauxnbioexmzaqpvpcfuoapwvvgorybbzgaerhlcmsvvbpymdebtoqgedguhdgldtcsznamd,8.0
Qbnthlbe,19.0,VT,3.0,uwkgpmawbtshf,Cwpznaqdpyrrlpwlvuruwzykwkjjrolakncsosgwfhdhxutvzqequazjynikhdiuymglvbthahtwj,uwk14542,1-475-348-8492,S,2256649.0,,United States of America,581.0,,Sprint Nextel,rfhsnn,Fresno,R,386973.0,1.0,NKRKXWJNGJXWPJ,5.0
Xfivjtonemiltagmiwola,14.0,CT,1.0,AORRWTYJNTQCMUMLLVGOTAB,Aidunmsfheuruvydidsllwx,AOR14543,1-958-913-1965,D,2384364.0,,United States of America,687.0,,Watson Pharmaceuticals,RBDKCWHABO,Warren,O,351623.0,3.0,dvhvepapqwlfikfoikrervijfenohdvebtcbpqixmdlovkorbbbvbhtaneeemagt,4.0
