ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Quebec,United States of America,3.0,,,1-538-219-9353,Ybcgsgpjczrgtqyxfsty,WV,Pacer International,Pynurgahucwvwlpvrwbtswxpselghnxkpsakkrsjpxjwmuueh,0.0,46.0,ucidxcbhiijra,1105514.0,bnxhbqdinpswzxctdgryaaphocqrpbvwrgscvxwhwbbova,M,Okidcldxep,uci14554,9.0,490.0,U,499305.0
Yonkers,United States of America,1.0,,,1-671-556-0499,XAEABIRE,ME,J.B. Hunt Transport Services,BYKHXWNGMMJXMIQVZCTNDFSLWOPWXMSRPNWVNKPHHWDTDKYEHOLTWBQEIDLIQZIA,4.0,71.0,Peknfkjvfemvsvahyy,975314.0,Scjrjxefjmrhrd,U,Otffx,Pek14555,9.0,370.0,O,
El Paso,Canada,0.0,,q,1-674-478-2153,Weewggczlhdhfwjsgnhwmu,IL,Jack in the Box,TPOSGCTIWWPK,4.0,8.0,Orpzvqdabfnarzjnvztfggfwgejt,3687635.0,BPAEJZXKUXZHUWBVHVGIIYPYCSBSRMZSFGBHLDFMLJDMFGEOSSRJBBXAAGTGNHLQDE,M,Unyppkb,Orp14556,4.0,428.0,O,12915.0
Buffalo,United States of America,0.0,,,1-032-166-9833,Ljddkaooolsanarkxitgspyjsmng,Saskatchewan,Qualcomm,Veakvigfrseztepnjs,5.0,99.0,Tdhundpgvlremldaaawaxnn,,Jaokgosuwmxfljygsfshqvmlhwnounzczynfcbjfmiasycmbssjbmonmpglshcezpgu,M,mlozku,Tdh14557,6.0,404.0,R,98555.0
Wichita,United States of America,2.0,,z,1-130-771-1266,Nhujypwpiwqovnzrn,MT,Boyd Gaming,Pyzdwlmbcpmhcrktlmdkuajoxsvnxsowar,3.0,81.0,cxifmrasxmtunfjhmxclwqavmrht,,BBMHNTZXJSINIPKXEAWNGWREKSBO,U,Ozcfs,cxi14558,3.0,387.0,O,212562.0
Fresno,United States of America,3.0,,V,1-913-119-9054,Bprxfoavup,MN,Atlas America,Njbxwgrkmyzssmqjlrbampebzpqeqsfpkcmhvmpjxqsre,1.0,20.0,UNUJLWDSBNMXTZYPLJFFDVJ,1328759.0,SISVHCOMDSVGMFHVFDIMLUOEXVFYHAIYQQXZBYPVEGCQVCZ,,gqasleovsi,UNU14559,1.0,643.0,R,357194.0
Sherbrooke,,4.0,,c,1-697-984-8087,JYPVMJRBJJRIPJGWDNGDMNZGVKSOY,AK,National Fuel Gas,Srldoamqf,1.0,62.0,qckjx,1574430.0,evbtzvakzyzeeahaqucvqbugciglamxsnajoniv,S,Usfuiphpcu,qck14560,,509.0,,377822.0
St. Catharines,Canada,2.0,F,V,1-986-253-2084,SLVDNO,UT,,,4.0,43.0,dgxiousmniggrznujh,3191556.0,Vuvgaaqebnxvelhqsxpijwowowjfjvrefgpspmtuixcyujhqmkofizcakiiqdaglt,S,Dcdgb,dgx14561,5.0,421.0,,433890.0
Bridgeport,Canada,4.0,f,k,1-418-149-6900,Rkqskfassmmvcrarfshhtcaig,NV,Pepco Holdings,qwzbzupiexukxxjytkrktdvpbstvajiommumpormpesbnqaooeuylkwa,5.0,7.0,WKQDLBQKRXWAHNPEUZCMGIMSCPV,763391.0,Pprzhjcvgutcvbwvvavnupifxv,W,Zwcwopqvzp,WKQ14562,0.0,749.0,O,154118.0
Regina,United States of America,5.0,,,1-821-714-2844,Tweimkf,NV,Apple,Pvptrpqnbegqxspkrgbbwpqflugffenbfujatplpiusgdmdnabzcbsmdzbrkryxcb,1.0,63.0,Wequiktqefzgnkhapzylavjvh,276302.0,Iwtpk,U,XFPHAKHTW,Weq14563,0.0,677.0,O,456773.0
El Paso,Canada,2.0,,,1-545-095-5159,vgsfno,IL,Sunrise Senior Living,Tsgjdkfvtorndcrljlhsvtjulp,3.0,83.0,MGTHPAHRTS,797930.0,TVVRRODDJOKZ,D,Zmkfyf,MGT14564,1.0,397.0,O,57396.0
Pueblo,United States of America,4.0,m,,1-640-831-6493,Jdcdklwipnbmvbadzplzdsepjfve,Newfoundland,FirstEnergy,,5.0,97.0,JCTWNXG,1053437.0,Gvtmyhecbyerlkomkcl,M,,JCT14565,2.0,532.0,R,76170.0
Ann Arbor,Canada,2.0,,X,1-877-873-6722,Utmpmuifmxfxpuhfhdxyycx,IA,Lexmark International,Otupynvtrbrsveaaetapxxdhxotdqacnyzesuzbtudrlyawsazpvhxlgnbhpqvorjnwllifcqvc,5.0,57.0,MXALBXZ,3839887.0,Zmwlttkkqbuboojfzrbhjddxgdkezuchlobkybw,S,Zvqpw,MXA14566,7.0,467.0,R,416793.0
Winston-Salem,United States of America,,m,,1-842-332-1815,Qxnvshv,New Brunswick,VWR Funding,algookq,3.0,34.0,Bmjbnvdmyscve,2976137.0,cfipdslsvxpjxmaircukdmhjxwq,S,Qyiuxtzs,Bmj14567,2.0,680.0,R,209092.0
Stamford,Canada,3.0,,O,1-688-948-3033,ZJMTDOICXZNFEVWCOV,NY,Publix Super Markets,jsfjlivlwtlckatjtatrsfpwmtvgqhdpprw,1.0,70.0,gyrvrreyfrlwwsda,593941.0,,U,Ixtld,gyr14568,8.0,631.0,O,336882.0
Peoria,United States of America,2.0,m,M,1-050-534-0070,PVJBJLFZHNTPOMCFTUPIDTHDHFMXGK,HI,,Osktaotjrwjnpqmksaddiemirvdtuivosyreknankgsxnzmxgjliiyqlnvdnzxriu,1.0,49.0,hjwspncsnfutpbfgjthgh,36605.0,Jzsepcsqwjdjeynyqal,S,MBAFFF,hjw14569,5.0,818.0,O,468248.0
Bellevue,Canada,2.0,m,d,,Bwargvppablqiqtrmdzrpastkejcha,AR,Deere,Dvaomsketemtjygvzlgqithagoxgwbwdnquwquxtnndquxlmcvckgzhiutyihdtkfwloxn,1.0,48.0,Gqraxyfzz,3803522.0,SUNQFNFUPWIYYLSDSGCEFVTKZW,U,Qsfee,Gqr14570,6.0,396.0,O,357738.0
Grand Rapids,United States of America,2.0,,m,,xqttdcnqibaxeiawlugjy,OK,Sovereign Bancorp,Zdhocsklqejyjqtakmltakud,0.0,47.0,Nymwjerjppkgbwbhokgiym,2458575.0,NIPTNJBMDMIBOJMZMHPFCBBBRCHWIXLUKGKGUUTUYQKPMTFZSFSVOCPKXNVVVEXQ,M,Inhoj,Nym14571,2.0,,O,8229.0
Hialeah,United States of America,3.0,f,J,1-477-884-9901,Zlsrrtpux,Alberta,Flowserve,Czpgehjlbjqmklohzojafdeeohsukdozhmkbtssidoaurvlonikxtguqlhpe,0.0,25.0,WGBCSJSMBLINSVLNWOONFPFSXCQSIF,507276.0,QCMYKBWBEWFBKKNOKTLHNJYENOCCFYKKXNN,M,Wyswspiuow,WGB14572,2.0,504.0,O,388098.0
Hampton,Canada,5.0,,,1-114-924-9596,bsulhvalnbtdofgyfamwzmbbqnns,DE,Textron,Moseobcdgxybk,2.0,58.0,HFGZGDCSYZCAAHUNJPENOIJM,834958.0,OZIJEOACCDSCMMKOSXMMYEYTFCLMYBQXADDTNRTELZWYPLCYYELEPERECRLFPRMKVWGEXPBEBX,U,Ulmjjem,HFG14573,10.0,780.0,,449796.0
Burlington,United States of America,0.0,,,1-609-407-3198,ppdrowhkpikmyzphoyurekuokmgu,OR,PPL,,5.0,44.0,sgkfjpgiowoiwumihjy,2318948.0,qwqbaslamjklkxkzkddogjkszti,S,MFLQYOF,sgk14574,7.0,466.0,R,228572.0
Warwick,United States of America,2.0,,,1-210-343-1617,Nbyhictwfxsjbr,Quebec,Stanley Works,drlqgbbpgeuhe,,23.0,mlzkdmtuzkgjqsankjbjxvwoy,2955866.0,ZJCMVDHYWZWMOSQBTTUHEKSZWNOCIOTNJSYAOYFQQPQ,S,ACPHOH,mlz14575,0.0,459.0,O,
Raleigh,United States of America,4.0,n,,1-064-980-1814,ilbobnutnbgzythjsonc,WI,Procter & Gamble,Uwjacoz,4.0,24.0,Mlmgxltlpzfxsokrfivflzn,833367.0,Xjlfpgokjihvwusxfhgmaavmyarvcbmaujt,M,Jsivz,Mlm14576,7.0,628.0,O,137605.0
Amarillo,United States of America,4.0,,t,1-630-734-5870,fwmurkedsulhfzhhyjk,MS,DTE Energy,FYQEEWHKVHKMCTZEJGNUBVSLWKSQGNXKBUYZWAOVWZOTJACQTTURCYRIYCLHOWOBJIRQGBH,4.0,70.0,Ugvithcibensrlnaofyckcclina,194433.0,lbmixqwisfytinxfmmbhuxlvviaigxzlcjsktjchtikjphcxiqffhqggbtfsfjlnsnu,M,Tlnlgwqvkhu,Ugv14577,,806.0,O,474258.0
Scottsdale,United States of America,0.0,,,1-367-620-2866,cqlwziuflucysbpbimmfn,NC,Core-Mark Holding,SETZCDCCNYAIGFOCQBQOVXEJRZUDXSKTQBQRJCHM,0.0,48.0,lbtwuglndhn,2609869.0,Cesncviavsoffewifjanytigzinxpjafspdspehownktcsmkfwbrcwggyuuxjypdgsivyu,W,Ujsyjmmppwup,lbt14578,5.0,655.0,O,390686.0
Hollywood,United States of America,4.0,,M,1-531-614-9290,Wsddxmtqlbe,NH,Hanesbrands,CARRPCLGMZMSYFIZXGJWINRTGECIAAOVDJVVLVXSUETTITPMFBNQVT,3.0,41.0,Eiswjqnqdrrlwgjypsquohaarst,2191968.0,Yrjjnreivkfivspjqps,M,nayxnjdszn,Eis14579,4.0,684.0,O,249823.0
San Diego,United States of America,2.0,f,y,1-764-129-8453,UMHKUIKCNDUKFHLPG,NH,Weis Markets,,4.0,,GIQQVFOYFZDZMFGQLCXQUUK,3587737.0,LMLWMBHEVPYLYDSVAUWXE,S,crwgcvekm,GIQ14580,7.0,821.0,O,324876.0
Norfolk,United States of America,0.0,M,g,1-879-028-8398,TFJLBYUPVIBSOTY,AZ,Interactive Brokers Group,CBITKUKFARNMZJNSQSQMAUGGLUTWJZHMTJDTNWNBSLOL,2.0,6.0,llhatrfediarlaa,2940443.0,Ukztwxkehwoqnvtiahbvgwpulxgbznxwnsfaefgzdjpctpgqkbnthpevhqlsce,S,huildb,llh14581,1.0,773.0,O,326547.0
Charleston,United States of America,1.0,m,X,1-478-417-8707,Pygtmshk,British Columbia,Las Vegas Sands,,5.0,32.0,Fttkaoexdzwxadknldrweoc,3100739.0,Fyeblkgeryonrbxnevzaygufxiawuzdzfzkikeudpxa,U,,Ftt14582,0.0,306.0,O,292865.0
Palmdale,United States of America,5.0,F,R,1-011-628-2397,kvkhsrllbibxaxwiwanpjasdx,WV,General Growth Properties,Mpoviwqkkitlyfmxhyosydfgojnxihoh,4.0,84.0,Ujntiuuxfptfvnlegqo,1437721.0,YCQZNRUXSGTZFKMWTNAFILOKKGOKIIFTGIMVQHMCOHNNRGNSIOCKHVTJLPVLAVAXBFDJKRNF,M,vixyydfx,Ujn14583,1.0,746.0,O,318369.0
Charleston,United States of America,3.0,,,1-701-281-7285,EHEOOVBEPXSTSGKOORJDPK,FL,,zbqjedbsckgxceyxtskckktn,2.0,39.0,Puvdsgljxyrksyiimku,2636952.0,Pjzaewffedfkfgcuskuvauwkqwjem,S,WWQRV,Puv14584,10.0,446.0,O,264211.0
Yellow Knife,United States of America,0.0,f,m,1-674-127-8910,WYMEQYYYFPTFFMRQRQUFZUIZNSTUAV,VT,Trinity Industries,Ygsljbbgtaabusnqbfagif,4.0,37.0,veycfpzvstkeqmehrozq,2625564.0,,M,JRCQOMHS,vey14585,8.0,,U,289076.0
Albuquerque,United States of America,1.0,,,1-543-646-4180,LWIXXYPZETXSVA,AZ,Shaw Group,Ctfcxvcumherqzbfsfbbjtwltgb,5.0,78.0,ndqyszemwz,2685352.0,WXXZZWPOOKQMVZSXOVOYCZQLENNFOX,M,Fshyomnotyi,ndq14586,8.0,538.0,O,285596.0
El Paso,Canada,4.0,M,Y,1-029-447-7753,DJDDSWPLZGS,MI,GameStop,Rqjjnnobgpjmzdxxjac,0.0,55.0,Sulbcbhbbprwkqfpxqquvzrd,891136.0,Gggzthfjbjygptnbabsfzwaoxjcfdutsmldwjixyfgxfvudfeci,M,AFKIFOMXKWDZ,Sul14587,10.0,477.0,,
Cincinnati,United States of America,5.0,,S,1-399-399-5101,Hcjmlivimssvaleutqnvuovexrhspo,WI,Clorox,Peull,0.0,51.0,ZHKOWTRWWKHDCR,,dnosevvucugsvcdczhanldyuvlyobx,S,fqcpquwmo,ZHK14588,6.0,592.0,O,242760.0
Lancaster,United States of America,1.0,M,q,1-199-242-8503,Mpjqzmwxmdxakbdwuw,OK,Toll Brothers,ftlut,3.0,92.0,ppvrltfdmtsb,3489600.0,Kiilhvujvywcpbydmkgbbejqfrizpsuudssdrfcritoytrkaekgsybpdxtoludhdbtgkrmma,M,Qnrsigyeoikn,ppv14589,,736.0,O,265127.0
Santa Rosa,United States of America,0.0,,P,1-183-554-4181,Yacdyacqkofmdjtahtpvfmzzj,TX,Avis Budget Group,wltjbeadpugjurnpgwhufccjngcco,,55.0,blocbhuztirkscgpwgewq,3939204.0,Xajjddupouzbueishxpywlpkeziefjldnnbnjgtqaipssbeabahqfzdvpuwhfxfpdebf,D,XJOVU,blo14590,2.0,802.0,O,
Tucson,United States of America,0.0,m,M,1-210-559-3189,Vorerptmlalv,FL,Verso Paper,LTNBFCULYXVPZF,3.0,31.0,Nrbvpbrssck,2684513.0,YHXTTCHHKQVJXXODMLPZGORFTRDU,S,AANPB,Nrb14591,2.0,359.0,R,136539.0
Reno,United States of America,5.0,,,1-151-016-4201,Dphvzv,WV,Exelon,NRIMLBKQSXHLLYGZGTINKTVBPMUSEDSRWTATERFHJWARTG,4.0,26.0,Qiwzua,313350.0,FGTSYZXVIAILXRGHITDPLMWRHMSIOCSYXPDALKGXPTTYYLFDGVFXOHYWUNCQUNSQPCT,M,Jnocneutmsnl,Qiw14592,1.0,386.0,O,469077.0
Hollywood,United States of America,5.0,m,C,1-678-957-2408,Jpvobfrwltwqlpdukhielpmpcaxon,AK,Spectrum Brands,Tlhfaihuyhkosgrpvwlxywzeqmwdkadp,5.0,58.0,coqwquxixzjiorw,3545904.0,Ktwmcecnpycavhzrmvmjbazmbywshcqtgeiqwzfkzfmhek,S,Jffhjnjys,coq14593,3.0,406.0,O,413210.0
Aurora,Canada,2.0,f,,1-729-818-9386,Hnpfxaehcgwglneulov,OH,United Technologies,Xsnfsktwyaxrcjiedmhscoavwedndnzrwfrpovxseoljscdo,0.0,52.0,Trrdyudkvcglaeclmc,1065054.0,dwzjwndcvwshccempctqnsxjejscsqshdkxdkutzfywbh,U,UOGRPPDQFJM,Trr14594,10.0,733.0,O,447061.0
Tempe,United States of America,2.0,m,z,1-164-559-7919,Tjwoknklnotfjqp,MO,Thor Industries,Kuomnaqkkykrplqdqdvnjnpdllyblpjuapnahcvtouvqsezgytfuchmpockstoheystneijirr,3.0,95.0,TNJLIGFYGXBYFJFLRVFWZEPPIT,3511303.0,,M,,TNJ14595,9.0,,O,73800.0
Gary,United States of America,2.0,,L,1-044-310-2778,ffevznmhvyxgtw,CA,Smith International,Asabfgjxdegojlkystvuclubsjrqiqja,4.0,77.0,Ppadarvsstzpziocwfao,,Ojhijwarqikldusipwnavollwdqsjxxpobsjojtnubkmxgribftnmtqibimuchlzmxpsgjllzw,U,Dfjryywwh,Ppa14596,6.0,308.0,O,35763.0
Kansas City,United States of America,0.0,M,O,1-778-988-4737,Mbaqztuowqh,GA,Ruddick,Xxnavpvksydqltdndslnhekuuzriqwgsvkltzudrjhhixivpwiseipmcdypedulslxtkssdkmgpauivi,0.0,28.0,PJDUWCAMNWLKBYOFELSKYALCWKB,2243229.0,Rxjgvbjpithuuc,W,Xjolyiqpeml,PJD14597,2.0,,O,277034.0
Providence,Canada,2.0,,T,,Avapquxjvpyezqxaqqfjmtbbh,GA,Verso Paper,Adonifjepghpxquplckmuemrfbbymardiwfmxixujaljkrycvgpydwmuwhyxwbhumgmogh,1.0,94.0,Tnldevfttdsyhalianeubaso,3716862.0,Agwxqjarkhgutgzeurivrabxrlqysbxgoztduviajqhviekxhzm,U,HZTRVYD,Tnl14598,3.0,781.0,O,432145.0
Pasadena,United States of America,0.0,M,,1-062-347-1046,ZOUXFZBKNVOLDEJRAT,GA,Enersys,Uvpmixldfjvueyrbgeiuffihnmygt,2.0,92.0,Opiilgy,,giwniokwlesfjuojvxrfarlqdipzokrlvah,D,sjisv,Opi14599,4.0,654.0,R,491170.0
Norfolk,Canada,3.0,m,m,,Cosijarq,Newfoundland,Xilinx,Lcmpsnqxqxtboaspfnkimeyhxcrufylcdxcrwnjmajqphwimpofangcsirsjgtizlnvdvnjvonbm,1.0,28.0,VCUAZXRLG,1057272.0,VLYDKAOZCMQGXPOGERIHBUCBGUNWKHMBWMSDTEDRZTPUDWEOSDTVHIYDAMPUYDPKABTVYEIL,D,Ujgxgglnto,VCU14600,4.0,633.0,O,81831.0
Detroit,Canada,2.0,f,J,1-912-003-9848,Hhwalsnvsnxbdixtgsgxmv,CT,Great Plains Energy,VYQSOZBEMCFQHNQRFQCXLMIQYGVBTTERVTSEAMUBYZGPVRHTMWHHALGLOTJIVVEUNBOPBDP,,67.0,Wjdmzjbtbc,727385.0,,M,Dhdyorjve,Wjd14601,7.0,494.0,O,304113.0
Naperville,Canada,1.0,,J,1-938-926-2102,Lsesibhksyyqzofupslekq,DC,Wal-Mart Stores,Bigrmdsgvthnvsknqxaedktsmqqhxyyelxcqvhkypsdiqhcqsp,4.0,,ISWZWIAMOFIAEHUYXRH,2211109.0,Vnurtndbvwvlrtezay,,ELWHIPJ,ISW14602,9.0,499.0,U,408975.0
Hilo,United States of America,4.0,,,1-858-004-9751,XXBKONKVOFUHHQKGZUJ,NH,OGE Energy,ljnszvnmpyfctcyqkiensbxwxsdcoxbuiotfsklgfwyrpsuvelif,1.0,72.0,Iouagonbsuzqawnhaxofasqilwjrot,3792110.0,Yfzcmzpstomzoqpoanbiuqlezwmxnailnkigfch,D,LPVAIQUJJW,Iou14603,6.0,428.0,R,89202.0
Huntsville,United States of America,4.0,f,,1-330-851-6170,ATAND,British Columbia,Energy Transfer Equity,cwbbeefobdfelygqmfenquubhphrpsnpxrlwodnzfglcypzdgbvfpcoxmtrhawsio,2.0,61.0,QXMIEBABFJYTMVWWGD,2869952.0,Rklohtrnleybnep,D,zjqcetcm,QXM14604,8.0,484.0,O,47012.0
Provo,United States of America,2.0,f,,1-774-743-7913,Fojtdybpctnpvnjtdrdnxurcjtfm,WI,National Life Group,Ixlmahluagupchntewgmrqemisqwuhixhyydtznspduyiprqcmbejeirbwilshsfesdliahulm,2.0,14.0,Tdepgnegotendkej,648115.0,Dufrjix,M,NGRUHG,Tde14605,1.0,490.0,R,252229.0
Bridgeport,United States of America,3.0,F,E,1-461-229-9879,Wgxitidhmtcoxlfxtzrtngnwkujg,Manitoba,,Qxsyzhgmrnuzegkcykvuepu,5.0,61.0,Nkjvxwtdsstlej,65786.0,dddorvkdimdmkhgwmsdarawnwtayxwnhlpazhzmeetwrg,U,pkzfu,Nkj14606,2.0,597.0,O,220101.0
New Haven,United States of America,1.0,M,,1-035-703-2684,Hwkxsyvjmubhkwvgdaafbw,VT,H.J. Heinz,lrlunkvdnbiuvqqftrcvbculgkyqqyonghdenbkgwheyrorsxjfulcyijtlshkkpmpeiwovqhczjfi,0.0,4.0,WHQVYVKGJBSJ,,Tjgrlpxgrvskaexdfsvrqkspefqimboedgcrhwtnppgrkidznnzvbsj,S,xczrmgrno,WHQ14607,7.0,526.0,U,474255.0
Great Falls,United States of America,3.0,m,i,1-445-143-1156,Lovvrazsporkrwfmmubhhdpbmwy,NH,Regis,OBTWABDEFGKSMRZATSGUJRZSVLXOBFLXCWQHSOMVATNVXIASFXNESYGBIHLXGEUKHDXAQWQFW,4.0,55.0,FRXRPRPNXBPMFWQCSCJSCEYC,396359.0,Vhjorisqrixbmnlwsscnyullnuygcthjuzfefoezovjiqmfbehxnumuflbfoxc,M,Jkdymbyjt,FRX14608,0.0,361.0,,445307.0
Fullerton,Canada,4.0,M,,1-403-138-3145,zzlnnrimwwgqwxpcbid,Prince Edward Island,Solutia,Thrvszwnqoxrmsgwkxmapqvsrzidbmbxt,2.0,12.0,Pcocadaestaviqrtak,3735105.0,YGCQDYQBGJVLUUPDJYQUYKGHQTWWPOV,M,WQLMOBCOKCAI,Pco14609,8.0,411.0,R,324443.0
Milwaukee,United States of America,0.0,,,1-114-288-2896,pmsfqovwcvsc,KS,Sprint Nextel,Ygvmbkggzvjhitsuwevxjtpvnerxhakrpdtyfzscpptbohnlcsm,4.0,46.0,Bpfnuevfszbtyc,3958848.0,grnfkpkucratoomnvkzzxisjylitgdvlixewqgouqwjiusirfhqytawdvfduxmuvnkdnediostzpc,S,FJCRCX,Bpf14610,4.0,346.0,R,171237.0
Hialeah,Canada,1.0,,k,1-543-943-1745,Mnifdkparnlvs,SC,AptarGroup,Ceoxdxdafhiqvkxgivpnxnqenyoqclwrszxqwsoqurfohacssphnudrfpbhaqilmmjrjtqfcnutxbkmb,0.0,,SSSREWDBHXCIFACVUVRVHVJL,1753761.0,nhmykcsxkjgpeolgjamdflcmmfxgqcxgvfpxrbcwrxnsii,M,NCDYRFNCH,SSS14611,9.0,463.0,O,50782.0
Toronto,United States of America,1.0,,,1-007-590-9847,Vbvcdnbbgmyp,British Columbia,J.M. Smucker,Lxbolsdsxowrpcfxgeznaes,1.0,77.0,veacarweeq,2533582.0,Tdtgbuyfpnthpbgqkvpuovvvg,W,scojmfofu,vea14612,6.0,791.0,O,402529.0
Lowell,United States of America,3.0,,U,1-859-099-6632,JBIJCBJQ,WV,MGIC Investment,KTRGVESTF,1.0,45.0,utnuasnprkr,2004662.0,MHJGLRAIDGPYFWRCXGATGTBAUTAHBMNSKEXP,,Xwunafm,utn14613,6.0,462.0,R,29840.0
Sandy,United States of America,0.0,,F,1-094-385-6081,Uqssuwuipp,WA,Sara Lee,Ptojrafuwqwruhvhvsooqrhae,2.0,52.0,Lsmtglxhmbqaauqbjqnnqs,2413885.0,Dooxqripwlfneppvglowmrmiygdhqlsallgbhrsfkwrlxfhmazwuomondy,M,Ortaianonps,Lsm14614,10.0,782.0,U,3663.0
Saskatoon,United States of America,4.0,M,I,1-893-934-5982,Ptcrxwaxbsejipxherh,ID,Borders Group,ZWPXMSADTODJJJKEDCFBFEAXJMLRQ,5.0,85.0,RLJVURZYXLZEVJAU,1393310.0,hpapqtdkunjlkeyynlgijovvwwefrhablfjtilnzodbrtjxarcrx,U,bdkciqp,RLJ14615,7.0,336.0,U,
Rochester,United States of America,5.0,,,,OLFTSRKJQR,Saskatchewan,Plains All American Pipeline,IHBGFHVURHSKBRCODCLAZGHPHWGEDTCKFQTMNBBFYMYXVRENFZMPLKKXLKPK,1.0,51.0,Pitmbdivubp,,Veetycmfezthnmqndpeljfdcgkzgknu,M,pnawqxbm,Pit14616,0.0,766.0,R,363018.0
Pittsburgh,,5.0,,,1-344-059-4514,Lxebcohjgqptlciql,TN,Gannett,Kgjhvsukmxmqvusyywrjrdlhjozizwqftirygtcqqpwtnirxevbuzjnbogmxhef,4.0,93.0,Imltlsuvykogvpojsruhklsrp,33101.0,Xchljucsfgmhspy,M,Ggtsp,Iml14617,9.0,412.0,O,
St. Johns,United States of America,3.0,M,,1-490-711-8961,SMWXXCOXHRBHFPNXORKYZUJ,TN,BorgWarner,,1.0,20.0,Xblmljdzqwholafe,,NUESYYJKFYRHNSIHPVHZFAZGIIBMPAFNIWTPVZSPTGFBVOXXZJDSQJBAMGINENISJFTVDBBK,S,qgdrhwqm,Xbl14618,7.0,710.0,O,220378.0
Huntington,United States of America,0.0,,c,1-672-493-3090,QEDSIGRKOOUB,VA,Continental Airlines,bjsqrrceipdvlzalprddslpzincqrxnerweaxhirgyhssurnulawdlxc,0.0,2.0,xkmcqvwxmmwx,2884324.0,czupiyvpqijycocqvsnaezrdladunccwfwhtvbctacbvocwwpvqcunovnjdothzrngkoye,W,Inoscdgcaivo,xkm14619,8.0,805.0,O,217505.0
Lancaster,United States of America,3.0,,o,1-860-400-9374,Aowmujk,MS,Sonic Automotive,Flzqvxmzorxztnopjdsptp,3.0,12.0,Fmxktkzyznjznmewmc,333602.0,Tgwxtdeinvwydrwmfvrfgxmblrosvwohxatfumtuwoxjgneeypndclwvcjolbaut,S,ITPZI,Fmx14620,3.0,469.0,O,114818.0
Knoxville,Canada,5.0,f,,1-716-466-9946,VEAKAZVGALGTG,WI,,Tpjqyyngonxramuusdrwogkhcsjkhdwdxiwxehocgquc,5.0,35.0,Rtyjmrubqdfl,1350457.0,Qjzgussbisevxvkdnxftixuceiweqpilgaffraqrerdrwytxrsni,W,fvufohac,Rty14621,,828.0,O,
Cleveland,United States of America,,F,,1-468-743-9917,APUOXNFKUDL,AL,Graybar Electric,ytrfgsrucbzzrevoxrbdjaskffkgjhzuotcguiguekzayaxqrnejoordp,4.0,30.0,Loyxhkpfvpemjgqarasmde,1910740.0,ONQFBCRJFCMUAMHOXQUNAEJIPXADPVFGCPOBXKAPDMQWOFRVMMENXLHABEEBSDPUWZDBPGH,M,RBWDDQGPUQ,Loy14622,10.0,626.0,R,216953.0
Los Angeles,United States of America,1.0,f,,1-161-249-8519,Vqxflhxe,Ontario,FirstEnergy,OOTBEXLZHCWSBCKKFRUUPNZJUIEH,3.0,18.0,Jimxwrtbxnsytdyvcfm,3017768.0,rmhbalmzwnrxzfswjdwfmtvegxuiddogewwkca,D,Twcgthqivkr,Jim14623,1.0,324.0,R,445384.0
Oklahoma City,United States of America,0.0,,,,RRDQSYOVPZLWYJE,CO,Frontier Communications,Esqjelqeejxtcovwwuparsbedqkvnfdwcfxzatsxvjyz,5.0,97.0,jkvsqds,2491362.0,,M,egmgywrwn,jkv14624,3.0,678.0,O,249221.0
Nashville,United States of America,0.0,m,X,1-505-949-4890,JPRYGGS,KY,Iasis Healthcare,Hlfevqqrkwtfwgavgvaimezotwccbkucttjbdegr,5.0,,Gcdanbmnvvylrasbw,2104515.0,Yuepxhkwiubrelgvfcsefxwiivduckysvelpmgdaqu,M,XDUHJDAJJ,Gcd14625,4.0,368.0,O,419656.0
Oakland,United States of America,5.0,,,1-807-656-7684,Qxwilygrimtilyikggkbnfiuukcmq,NJ,TIAA-CREF,Mwoeznciiibvuwqjznlphsirederrwsobfbdyhddcumlvrfgrt,5.0,46.0,Rlgywrhqfvi,418746.0,Qegpjkpqtknuzmpbwmizlxmpcnztbzknlmtiwbufjnuesicmeygjpqwbztxqj,D,Dubar,Rlg14626,5.0,538.0,O,184873.0
St. Paul,,4.0,,,1-301-442-7890,Tqrxgr,British Columbia,,OIVLBLSVKVEQNJLBIMWPVYI,4.0,83.0,yrelhmgrhr,3712524.0,Byngdmgmqckylgrhvxkgpjdbuzviiqdrhcsrdstamnfksvatr,M,EEAXIBASK,yre14627,8.0,482.0,O,128421.0
Tallahassee,Canada,,F,,1-669-857-3748,uvzzsvxhnb,Newfoundland,,Uenmrwvblkm,4.0,97.0,Embdockgpcmpikbadxkjxvtpwzmwy,764415.0,Wjlniojcfataaqe,M,VADGMSH,Emb14628,0.0,514.0,O,295902.0
Long Beach,,4.0,,B,1-760-499-5716,Ajwdyk,Alberta,Lithia Motors,Wipcupxbrqmogcoeniaaflzcwqpfagwxotjzovdgvizpvejjdzwoieyzrgqoapnapytawxmf,4.0,15.0,Yivtcp,,UPOFOCDZAXCIZTHSBHEUI,W,KBPJT,Yiv14629,4.0,440.0,O,197675.0
