prospect_PosCo,prospect_AgID,prospect_MarSt,prospect_Inc,prospect_AddLi1,prospect_Em,prospect_NumCh,prospect_MidInit,prospect_FirN,prospect_LaN,prospect_NuC,prospect_Ci,prospect_Pho,prospect_Gen,prospect_NuCreCa,prospect_St,prospect_AddLi2,prospect_Cou,prospect_CreRa,prospect_OwOReF,prospect_Ag,prospect_NeWor
Ubauiwvpwwi,Ohs13412,M,445423.0,Bjyenqjkkkjstwykwiquvbttchetrbncnqobigdagauryrfhzpqadycoursrlzgatlbds,Emerson Electric,3.0,,Neowtbqmvoousomdjfwurbjthxl,Ohsfx,0.0,Idaho Falls,1-609-039-1034,,2.0,AR,Igfuoiqqdwdbmrfkywtnkpmmzkwxohnvqbnpgfyutikmg,United States of America,704.0,O,59.0,2626950.0
Bivyebbb,JNP13413,S,241742.0,Tcrnmhwaszkzxxqnohgszxxvocpwwj,FirstEnergy,2.0,n,tuigehzfmilpxyiniws,JNPTQLCWWDKCJJZAAVUGSV,2.0,Independence,1-870-031-6697,,,GA,HTVCYTSLRTMBGFOLDYFGMEFIMVDGUEDBVBVWIWEOHDLVKOBJYQCMFSMTKIYOEOIWN,United States of America,500.0,O,67.0,1965855.0
UMLXV,HFW13414,M,150120.0,Wxjvhktixycccvjtuqhtpacrreksszwiwcnwjukhrclytwzmmhzxqftvbplkuxtvvisuwutdkjlua,Vulcan Materials,0.0,,Tsujug,HFWJUQGYWTZWPMSCPTOFZJREBT,0.0,Vancouver,1-711-748-0815,f,10.0,MT,bjnkdigxsivflzmbxfezerbwuscyqjajfcvrfxpsrsygkayxddqiheubqiuxzuhurxqd,United States of America,343.0,O,31.0,1011053.0
NGEVQULUZ,gta13415,M,418826.0,pqrzssn,AnnTaylor Stores,1.0,I,PYAVFKG,gtagduovowff,3.0,Nashville,1-076-910-4384,m,4.0,UT,Hlpeogtserxgfubavdoihwyepfgjwr,United States of America,304.0,,84.0,1126425.0
Xaldqso,prc13416,S,299696.0,Fqajcgzonoerwjwkytmhbnpauixtjfxobrjeosrurorlhoherfrapohnehdrvsanpsfypgygebunty,Baker Hughes,2.0,,VSHZLPVSLKAITUK,prcneoggghmopeyldmayrh,0.0,Tulsa,1-693-431-7315,,1.0,MT,Pkxzxnpmivtpxexcjlbougcddputcjlzgufvbqnejpajcngrkvmnvhujjchxxdlgklggpn,United States of America,652.0,O,79.0,
EHNWUQLJM,MSL13417,M,74767.0,,Packaging Corp. of America,5.0,o,Fmhmqg,MSLGWLKRJJGLJSL,3.0,Bismarck,1-989-570-9954,,3.0,Prince Edward Island,GXYLWIAPWKLWPZPEHZNMUAMIUDSNMDUWWLREJGPFSXTWYHRJNGLJQGEB,United States of America,748.0,O,28.0,3677625.0
Qtdlfu,Tqo13418,S,208571.0,MECKGKPWQZFSTMTALDPEKYEGCBQRVWDNIGNBLWLNUREXQBUQWBIEHC,,1.0,,PYJPH,Tqoejabxkeoxggrpszlpbsmifbbwqu,5.0,Syracuse,1-297-207-8118,,7.0,Saskatchewan,PNJOVPJMXVGQCGUFWGLQPKFUYONSNJHSXUDMNWEQNBSTAUGBET,United States of America,541.0,O,58.0,2552839.0
TKAIT,Cey13419,M,309813.0,aypkniyclqcvgxkgsepssukvyjqmwthssnbiauehrdzvrbzvulbudabfsgzp,Avery Dennison,5.0,f,Zdydetiuivjpussalfsp,Ceyfudj,2.0,Concord,1-388-290-8649,,7.0,AL,BRZMBMORCGZSEKEVDMEVIBBZENBZGUSUJ,United States of America,484.0,O,98.0,3065927.0
Maqvwsjlyel,Srg13420,D,116410.0,Tcjpbdioyemfvhpkdaefwkakcpzjqqgirdwdgkccbprploxpnuo,Wisconsin Energy,5.0,m,CSGMCLDMXVQDFHYIOMZCNHOO,Srgilgorzijqtel,4.0,Memphis,1-967-807-8632,,2.0,CO,Lbymsrogoguwjvafxosczkavdhvksfuvkhhtpzqntqgrhwywimmkihikbddwqxlbuafeqxhe,,368.0,R,80.0,2895331.0
Smxopeneo,Hks13421,U,64370.0,Sttgqyludzqdsmjoekioxdvjfirdlurwospvjmwjtihtfautydozewesxi,Spartan Stores,4.0,,qctudci,Hkstuliil,1.0,Durham,1-861-295-0096,F,8.0,ID,lnjwzopwhtfhjpgowyibvyukqgjbkjcklurwmb,United States of America,411.0,O,11.0,1408826.0
MZVVUZ,UST13422,S,131067.0,Gpcrjwbgfxyccdbqybspdgmyhlkbjdtsmsjklyexbbeubwdivcvwlxhduaschpatejcy,RPM International,0.0,B,Dsaeagxm,USTOFAXAJPTLDQXCAFASVN,5.0,Casper,1-335-283-3406,F,8.0,MD,Pzkmuikejpiahltuaohfhjumfkbinkvrqugiwofkwygd,United States of America,554.0,R,63.0,3131250.0
ICJISWALFKDS,KLY13423,U,386836.0,HNGJHRHTGDKJOAPVMBNLRGDADYURLJUSRXRDRIIRBTLAQZPHCBQPPQPMUN,Henry Schein,4.0,,Yeriwjxatamiahhlpfwscforyrqcn,KLYVMJIEKGHR,1.0,Salt Lake City,1-170-534-0918,M,9.0,WV,vepptpyistjprnmdrqrml,Canada,739.0,R,60.0,2235242.0
Rhvycl,CYX13424,W,66911.0,Vaedetvylddjykrskwunbygqqcuewhudswexltnunmtacmcneuflveflectqquaowuztrfyb,Nacco Industries,5.0,B,wqspjuvwj,CYXAZW,1.0,Jacksonville,1-001-537-4016,,1.0,RI,Fgxpvitdakmcuke,Canada,651.0,O,70.0,486589.0
,qtl13425,M,482853.0,Asncqdubcjwxblxpiycshouffhoruwcbcorpydgrcusitgpsaqudbemmb,Publix Super Markets,,W,Chtoctbqbvg,qtlyfqaefl,3.0,Fairbanks,1-397-619-7234,m,0.0,FL,Xbmegbjvkmsogxpvjyulrbiebrlpndtvhhjwlhkkgjxmztwg,United States of America,447.0,O,7.0,1866492.0
qimevbixnqef,ZQE13426,D,77290.0,vsqjkmgdjwoebgbocogurl,Interpublic Group,2.0,S,Jynovcpyt,ZQEAQU,2.0,Biloxi,1-529-272-2423,M,10.0,MN,ldvvyxqoapsgntlftpteqcbii,United States of America,833.0,O,50.0,3448699.0
Gsnnxcvitu,jid13427,U,330330.0,HZQRHKOMAEOARVJHWGASHDTEGAEYCQDIKOADBAAYMPDTTESDJFEJHLLLKDUWFUQWHWFKFHAPQUMYA,Southern,3.0,I,ULQPOHSUSLTKGYDJJCCYFKXX,jidjtyifchwezuzjifciijrgkm,4.0,Hay River,1-326-090-5395,m,0.0,GA,AVTCQBO,United States of America,727.0,O,13.0,707707.0
Npgog,VPC13428,M,190039.0,axyckhmtjpwvnwgdykkqoaozsuhpcfrfavrropvqbhfmrpssvuxjpuafeuhardsyitjbmywtnf,MetLife,3.0,L,TOBOA,VPCTJSWWSVVBLP,0.0,Berkeley,1-860-217-2112,,10.0,CT,TQJLPZQDF,Canada,760.0,O,62.0,3812236.0
Dgollrsgbfl,TFJ13429,U,61833.0,OSFNSVKWNQMTQLV,Flowers Foods,0.0,C,Mfcicgzqkdtylpygfvtweewna,TFJMKHOXFMZ,1.0,Bridgeport,1-212-775-9379,,3.0,NY,,United States of America,309.0,U,52.0,3822989.0
Lukqq,dfb13430,M,237325.0,Yrhptjmvcbgbwpmizekeshrkfadeirqxjdxqfuuwvucpedwnsabelevvzpsqoijgexibnydbza,Celanese,1.0,u,jbolabxkeykcihfgfuiac,dfbeunqwmmjyvbdtktucnoalwtjydh,4.0,Erie,,,1.0,NM,Lbvnldsiwjdafjjbqxbdwkakfexhbdackltlbadkihdf,United States of America,811.0,O,84.0,3702672.0
Wybjb,szv13431,M,469609.0,Apbgdbqlpchvhedomzpepndsnqgmcgmojgmivlnqjtpabpoqktezrzfv,Neiman Marcus,4.0,,Axbbdbltdpirjwssnmeejhzflbrmm,szvubfaevmjmoobjrwxtmbhcctdxq,3.0,Columbia,1-630-259-2524,,3.0,MA,Mgthsznmbozkxmxamwkyocltpbwjbabcalxwwyhmhtijtwvfkjesfmlnwyzubrgkuaku,United States of America,671.0,U,63.0,3491822.0
Wsmxsayflwns,Nqn13432,,,Vzqwlkajudiuhjvgjrhlxcakbucoonmtnqfkcaafwhffxgvtu,Wesco International,2.0,x,Rilxtejkuxl,Nqnzgya,4.0,Orange,1-703-607-6123,m,1.0,PA,IXMGGSQKNFWCCBOVXMICHVGTDZ,United States of America,771.0,U,98.0,598057.0
Suzblnial,Kbk13433,M,147261.0,ZVKRCRIBRJOQUQPZCZMYOEWHIWQNBPND,United Technologies,1.0,,SKDBLQUZDFYNK,Kbkxvetzfadwebatigemaxqsdi,1.0,Huntsville,1-712-937-5358,F,6.0,British Columbia,Vklpuogtzmktfetlwwgodmyk,United States of America,801.0,O,54.0,3698115.0
NIJTHUMEM,nxv13434,M,247255.0,orjamuffjsberigbctzuepbtmhtosajzi,Hovnanian Enterprises,5.0,Q,KBYHBRZXNBVSIQQUEKEZDMQ,nxvenwawaqnqkkugfohrzhe,5.0,Alexandria,1-131-342-4998,M,1.0,CA,Zjdbvfvujhpacivzwtjquzcwogkb,United States of America,445.0,U,54.0,3967662.0
WMLNBTOOA,QBZ13435,W,390143.0,Vnmuvgoucceopopcjmfcakuhgfksksvempllbywoiiqmkcwnhqenccafmngzkcdgrfylyxqqwjyiaqh,URS,2.0,,WKZXWAARXATTOIJPOLPYSJ,QBZCVY,3.0,Sterling Heights,1-184-197-2194,,9.0,TX,Ctpcbblibhxhetdwhhhnxruiauoopltnej,Canada,518.0,,,301398.0
Bhkxnhj,NYZ13436,U,167512.0,Zajkqsjjfgdascjyuqcx,Landstar System,3.0,,MYAJNTKGA,NYZJRYNTTKVULXLKLYR,5.0,St. Petersburg,1-633-405-2644,,1.0,AZ,OGUVLCSUQYRIEEGSKWBVVVMEJHDDXMBSZZZDLPERHGWAYMTSAVBLTJTUNDJPQVMJGSOOJ,United States of America,349.0,U,41.0,2637018.0
Fiynyliewa,IPW13437,U,334967.0,Drrfxhjkcjhjeagzhptczjlrxtghtpvgdluvljdmeqfrqqsimidyvtcsrfiafcwvji,Danaher,0.0,,Tehrlmsbinrcyuxjvufkeetifejc,IPWSHJOCNBFGAGLEIITWECYXR,5.0,Winnipeg,1-342-711-3090,,7.0,FL,UCJKRRFPVTLEQNYUBJCFMLTNUE,United States of America,473.0,R,10.0,2295132.0
Wkvjbknw,Coe13438,S,88882.0,Zysfkfvycclegmocqyfqprytbomxwom,Maxim Integrated Products,3.0,,zygjxvjpboazrihtcevhvgo,Coedkbbchfejgjayxzsrvyerfu,5.0,Vancouver,1-320-699-7650,,9.0,OR,Wrgizjiksjbksnazhwjohyhvcsucnsulxrmwltkveieaalvldqppbpp,United States of America,507.0,O,58.0,598436.0
axnqbea,azn13439,M,398372.0,Vgkcxnkorfwoofbtgcgiuqwxdpigmiucsveehoccnhmfb,Vornado Realty Trust,4.0,,hiacabdvyvtjyzpdacz,aznyabjymtdyiz,4.0,Cedar Rapids,1-462-078-1849,f,3.0,TN,Kqnwsdbtvjfbi,,479.0,O,83.0,3057888.0
FKYDD,CMI13440,M,408036.0,BWLRXWDXMKKQKBCAXWKPRXWJHTQCFDUJHA,Mutual of America Life,0.0,,Iqjvsyxqdopnhyawocixvroyvau,CMINTENTOLEJDU,1.0,Plano,1-928-999-6405,m,4.0,MN,Scnsaxdcdxyhukqtargizctyvoqmamwvdmekmqlcogoqv,United States of America,646.0,O,24.0,2289608.0
iwlaodxw,ncu13441,,468846.0,Kwvrsfgm,,3.0,,Kkitoreosoj,ncupvrchwdbgainzwanbglivzhd,1.0,Toledo,1-510-554-3465,M,4.0,IN,CUMCHCGGYMXOKONDSNJVFZVGRBPIUGZIIUXHBHRCIAVPD,United States of America,550.0,O,,3970770.0
QSVCOEQZQDA,Ivg13442,M,232318.0,raltrsglclkwafyffqrhjobtzowgwifefblcdytfjnltwoixtoswxatooahxehaqkrevans,Nucor,2.0,,FVSTS,Ivgzjpnfnt,2.0,Windsor,1-504-774-7073,,10.0,CT,JMBKGAEDZAVRKDGKXINOKAPSKFKOQDLKDGPQHFXWOIVTLSIEYAEYMU,Canada,631.0,O,32.0,1511924.0
wplswe,SJJ13443,S,23408.0,Sqmmxufctfwxflcozkisasouglilcbyexgfoyhagandrzsujbgxlnhszhjotnugecnkwdsulhvkg,HealthSouth,1.0,,Afththmvhtdgmfqouprimfffi,SJJWKKGKZPWETULFUJXXULBRDECWUW,2.0,Biloxi,1-014-919-1324,M,8.0,UT,ivgbdeofhtvnbmjozgjdeqtkrlj,United States of America,833.0,O,25.0,2906143.0
cycfngceol,ngl13444,U,377165.0,Jevxiyatkmcwoftuhkkhptsobztmbiozpgzwnuafmaaatkxdtzezusjzhalpmazkjhaggcxcebjwbbu,A.O. Smith,2.0,F,npblyjlkwxj,nglppljxomsfxgxstzrixrehhjccas,,Peoria,1-705-544-0667,,9.0,UT,Ueeocpaxzkuylyqtlrpsevvbibsaotgfvsxculmqdbumaabi,United States of America,505.0,O,32.0,2327430.0
,Bcm13445,M,62663.0,Cptkxrmgynmdyrybsrtnvariuedgfuiheqqjlgthheldarcdlrhri,Reliance Steel & Aluminum,,,EULRUKAZDBUNUXJCQMWINV,Bcmeefj,1.0,Huntington Beach,1-478-984-2218,,0.0,NH,UHOOIEOJXBMRPAOJBJLOKFMMMTDIBSWXEPYPQQPJJZAQCGPOLLGMPIJQDQVNOIHJVKJZSFHWMSBPU,United States of America,543.0,O,43.0,1557527.0
nilnirczrje,Ovd13446,M,45422.0,Qhzseirejvtbewwathsjcvwlkcnhjmyviypwlrjfflshfbuotqvxggrgcfggdjmecsiqw,Pioneer Natural Resources,5.0,D,Xjtoveddqkl,Ovdjhzjevtxhxh,2.0,Tucson,1-788-269-9102,M,1.0,MD,Fesicgggxdzhhiwvcupjuezdawyynnuywypursfrnooyeasezrtx,United States of America,394.0,O,33.0,222067.0
hszvu,HIE13447,U,325513.0,Avztdzqajarqaqogorwjotrfvcmdgzwlqwejdujdjprlobepuighifppjadbtaotqfwjwegsp,ITT,4.0,,ytaxipffmhgrdhyobvga,HIEUIAAYMEXBEKIWTSLOB,5.0,Pasadena,1-374-484-1176,m,0.0,TN,saesneakdleikbusmmoozhpbuctrxkgtgt,Canada,615.0,O,5.0,2595162.0
FVCXHPAI,Rhd13448,S,123854.0,Zcydmwytilswludtjtnzfvcoemtakptccgxohhtxebumhisqdybzkovgytyrmkfmwdpn,Markel,5.0,,qfngmmqoazxzkrqpgimqbvxxtumnc,Rhdfa,5.0,Bismarck,1-002-355-1726,,5.0,WV,Ptqrlailsdtjtygbhuseebcxeyfmttuafcfweyrqhqdbv,United States of America,,O,70.0,1158457.0
TAKSF,Vcx13449,M,30507.0,xvgbhzqzbjgheecfw,Autodesk,1.0,o,yqkcbrukdklwdeka,Vcxljuwzgrhfdisuonmlvpino,3.0,Mobile,1-318-816-6959,,8.0,British Columbia,zcjafzrbyhpayhaylgypwadicicnrfsovgksdebnudcoqylxz,United States of America,498.0,O,36.0,1563046.0
Odpdr,PII13450,S,240713.0,Lojbegbklyiyptobkyqusquhrpvmqowqiyvlaheotmomwqgiydmbtdoerqkdzwkaeevtqc,Sanmina-SCI,1.0,M,vlfafgxuibycv,PIIWHOUU,5.0,Provo,1-542-369-7662,M,,AR,Iapwqqdzapq,Canada,457.0,O,76.0,3920394.0
pwdevenldzlm,Ddm13451,M,,Ettbreerdmyytsmubqbadtivpvdhocu,Lam Research,1.0,,Nkqoaundbgdmnglgmbvrtn,Ddmqvvmiauklwdwrhiegcjlbd,2.0,Stockton,1-688-437-0856,m,10.0,PA,Avbkdaeafgnvcvsydlwgivlzbuptjtgjkqvcmpejaodkrekxnsdpwzvbbhvnaaynjmatijx,United States of America,543.0,O,67.0,454249.0
Tzxqqkktgevs,hch13452,,230870.0,Mvljrtwlllfajfndegvdvfzcods,,4.0,,HRKZECYHIFIFQFKMJNBS,hchgjtkhmeqadbhx,1.0,Sunnyvale,1-385-994-7972,,2.0,ND,,United States of America,685.0,R,88.0,663834.0
LFITTBW,JRK13453,S,87590.0,,Enersys,0.0,R,Ihqoqvitrcvsohh,JRKTUDOPXCZUUIHDAMDDPSK,0.0,Amarillo,1-358-691-6605,m,2.0,PA,Ohpxcqtiluxcyjouscdasurgxblwclylhiqciecsbumpplomgmackvkwlsmniqfexqzolwrlpan,United States of America,453.0,O,95.0,416618.0
ROGPW,fjh13454,W,423148.0,Fcnirnkfblcxkxzrjbjvzgsiwfflm,Unified Grocers,,,Wrayfnsnui,fjhhsa,4.0,Columbus,1-173-080-2680,,4.0,NH,Zdezocstixxswfqhgqwbianpgtwdobatppjhkqfnozkidwlcltqkvii,United States of America,571.0,R,22.0,663678.0
Ttdurdlplcd,Pdd13455,M,245484.0,Ncejmxwsmjdwtgghtwuduthvxftewjwwdyurkberayyplspoichdqofxmilfhcmrm,Warner Music Group,3.0,g,Xabnbynxninbx,Pddadbeckwmrlqdhahsgwzbqquxu,4.0,London,1-842-716-1253,f,9.0,MA,Idbglonzmxevrexnxccrgjxvlsrlsxtymcnz,United States of America,833.0,O,85.0,815814.0
jvqmw,Ubm13456,M,362660.0,rqcoipinaezcmsfrrieqxebvvaojt,Cephalon,1.0,,Gobytalulvhubhwzgrotcwmd,Ubmjilzq,1.0,Los Angeles,1-740-513-2725,,8.0,AL,seqamuapqhpfkbpdysceaxabrrnybpoyijkxqjowhfflujkvcaydsacj,United States of America,722.0,O,53.0,1728168.0
ndpah,jvk13457,M,456181.0,Rcdmzdjbsfdfjoryqbodffqsddpxj,Kansas City Southern,,,lelfzfqkscndumrrhjcxs,jvktenfn,0.0,Mobile,1-433-707-3224,f,2.0,MN,,Canada,687.0,R,10.0,52670.0
ZZNJDGYIKD,Ugp13458,M,427837.0,CUNNFGQFACBJAPMKJCSNZNWZTOEEVJINBWTELNWJKHMIHQPEVIODPKTXLWDUFVHXTLJPWWEAOB,Hexion Specialty Chemicals,0.0,A,NROVRUOPGMHJYMKHDWEJTNAEUN,Ugpfzbohxhjqlvxhaphnqmusd,5.0,St. Catharines,1-242-204-6374,,7.0,DC,TWNTMXAELZQUOCQGWJHBAOCITKEDDXNXGTVUDVRVXIKDEHBXPIJHESPQPOKKZMLCAP,Canada,690.0,R,16.0,3263655.0
Xmttgwxwb,Ivt13459,M,142920.0,Wptsktkfkeamyxalwiphjpuyhtpvaoraaywlrxnrwprdoxwbirwwcnetxbxrynmz,SanDisk,1.0,,Clzfkihugzfdldmqvvixnpdbhnjt,Ivtuyvtpehfocquyumpgo,5.0,Hilo,1-015-160-5580,m,2.0,MS,CWGYUZXEHSOWLXRWKYPBPYSKUMRQOSFAMVFDSLJFBQLSIXRO,United States of America,647.0,O,,508888.0
Vlkzphdxyec,APE13460,M,94906.0,AYABPVBGNAOYZLJLGIEQDGENEWFULOVOWSCXLWLNBDLOGKNHJWWLGWONXWKKQDZJUMWPBMEIAOM,Sealed Air,1.0,c,Hmbxxtznfjdvub,APEXRFQQF,5.0,Columbia,1-704-943-0689,F,2.0,KS,XQATJAYANKZECDDIQSNOANGWWRCUYKTDPCVZBIGDPSRHTWXGASJUMDBXHUC,Canada,548.0,O,22.0,280461.0
Fvweshcwpxxk,Oti13461,S,304697.0,luvsbmegaaqmywpjdjhhczuvukcpgtrneiuhonivitn,Office Depot,3.0,F,Jwkecsskyytzbxeojmuefcdvcm,Otidgfoorutmwrlbmshahjontyod,1.0,Hayward,1-556-434-4034,,7.0,HI,TTIONHOGYOWFUMDBXGVCTNPZTXXGBOABMGIKTZUVDWRKZKHKRLYTETVDYS,United States of America,849.0,R,57.0,1265398.0
Ffegtheqbp,EOT13462,M,116852.0,zibxqfmsisiyebvtrutfcoybfyqcjtxedjeqtnmwa,Questar,4.0,O,KGZGKCXMDQVJAZUECYZPSU,EOTAGKXQGHRTGMZNTCY,1.0,Hialeah,1-837-151-9912,m,4.0,ND,rtmokkglksmppmaxrozeckccobjgpfsxndfyrqzojhguhptdedppwfavafmwomdhaq,United States of America,,R,10.0,3820275.0
uizvyewnejs,Rvl13463,M,239502.0,nxedtrjignhvdshcidho,Levi Strauss,4.0,N,qjydtbrmytzdxdk,Rvlcyoyya,0.0,Overland Park,1-149-598-8491,f,1.0,NY,bonwurclgcqecqweixwwmuupgnqgfebkpgpbqhjpcisrdys,United States of America,778.0,R,32.0,1873597.0
fwkochmo,AHG13464,M,219726.0,Fmscgjygbqrlrtecziesdycdcdgsqgatidnprbwzeagfeykxjfxzeijktuu,Chesapeake Energy,4.0,,SEOEUQJHWJKUMCONIGTQKQRJONBHV,AHGPCY,1.0,Paterson,1-036-971-0352,f,2.0,AK,acdexsbrvjxrlcfdsteoeanbly,United States of America,359.0,O,54.0,575291.0
shervv,OOX13465,,262854.0,Ywefvlylgucwebfvfqzsipspahnewbrxdidtoxgkynswxgjrbowzyqclytngqgndhgktfdnychlycbg,Starbucks,1.0,,sgogylovirgbxqoqbwjxy,OOXJUCGVHDUQRVQ,5.0,Rockford,1-697-829-7072,m,7.0,CO,HYELVSAFTBVDXEZUMRJIRWCQOFDVIGEYXJZKWUFFORKDUFBQY,United States of America,591.0,O,70.0,3767157.0
,SSU13466,M,459503.0,WEEJFNXTVJETCTVWPARWBIFFCMQFPGAEBIKTOBGUMWHXFTKOJIRJBHHTWEXBTGFRVSU,Xerox,2.0,,Oxegmyjchdxl,SSUHTUHREECIVCVOIJNAMIPWZGPZM,1.0,Lubbock,1-216-988-5304,f,4.0,NV,,Canada,,O,71.0,538962.0
,bid13467,D,462105.0,Evvgqdqlvmdyejrflnwksgiogmc,Textron,0.0,,UVHAAAWBRANI,bidlggpdse,4.0,Palmdale,1-256-106-4282,,9.0,TX,SXZTCDGBCIFFRTHVFWWWCJSWXFLMVCKEKWZSCVTKKBCNDMWOYXCBQN,United States of America,458.0,O,75.0,1961830.0
RZQZSOW,Wnm13468,M,198464.0,MVYCOBWWLUYNNHISTCBNVFKCZWDUNXRFCKMDIEFJ,,0.0,,Gyryyzohlhftzupyejyhd,Wnmifqajhorbgbrkbjrvitamd,4.0,Salem,1-096-718-5768,,2.0,Alberta,Omdijmkggcgyyjxaojizvdrrapiganfercrqagbpnvvssqrbmfnvhcwfeg,United States of America,301.0,O,53.0,2415608.0
VFIGH,Xtf13469,S,,fseokrxaudfbitpgrfplvpehacxaytuktfucscoccquainxtrpqkktajfgybnbnjtxpgspiimoclaru,National Fuel Gas,0.0,H,yfndubpiqtgnyygxgih,Xtfkjg,0.0,Peoria,1-722-764-8131,,0.0,CA,Xeckuetdcbnzdell,United States of America,655.0,U,9.0,3943144.0
DUUAKXTSJXXT,KIC13470,M,106151.0,FXEYMDDOJDIHEVKKSICEPRQMIKXAWEAYMONEWLMHZLJYPAXKDMRKABEPABISAOHDQYHNZUG,Express Scripts,5.0,J,vwaxixokoyogd,KICSFLWEJUOVPLUZ,4.0,Colorado Springs,1-424-631-4720,f,4.0,GA,ikhmkdvjrwgksnyfkwwfajchptaxiljulsffiyswlvvgwgcjowl,United States of America,525.0,O,63.0,737530.0
QLUCWCKGOIJ,Jex13471,D,328781.0,WXEJZIIDOWDOMHXLFWSGFBDAZITPOSHOUMGLKNFBGBPWWR,Fidelity National Information,2.0,d,OJMVCVDANIEQRAVKZKQIEJ,Jexeyuurmblwciiy,0.0,New Haven,1-267-551-2342,f,,ID,hupiquikinvsrmgjngyjvjnqmajlxpkthpygoqhqiccvxuqtbetwxznrrbujkjojxpgmhi,United States of America,606.0,O,69.0,1998384.0
GSGHOJSP,yfz13472,W,956.0,EEBYAWKQKD,J.P. Morgan Chase & Co.,0.0,n,Umnzjlbfbqyqqhfosapclsmfax,yfzslslqjljliieouudspx,0.0,Alexandria,1-847-816-0514,,4.0,ID,Etrxcgyvoxgydfvprrltpvqoibnxh,,772.0,O,97.0,
Xkinwjceqm,UKP13473,S,133028.0,ZYEZIAWPLGPPXDQNTPAJNWRJWXKJXRUSEQFDKFEJJTIHVKQHSJBTTHGCPQS,Brink's,3.0,,Kjblmsx,UKPVIZDGEVBDKMSAD,3.0,Boston,,f,9.0,AK,XJGFSJMYNQWETSDHHLVULYSGGDSWFYMVFXFGCFGRIGKSNEKGVQTLDENPMBIJGWN,United States of America,776.0,O,23.0,1334410.0
Ktvitaiul,Rqa13474,S,123423.0,Hbybvrjpeedxc,Lender Processing Services,4.0,c,JBRAEFLCHGS,Rqaxowfkgtbps,3.0,Toledo,1-111-736-2325,,2.0,IN,NIXITKGXMYPXPAAXRRQCUPVSAQZOCH,United States of America,655.0,O,81.0,3738739.0
NGIWK,SVC13475,U,244414.0,xjpnhnjgyhmxnxenhudegmlcvfct,Mercury General,1.0,,suazpjqdav,SVCDYUP,,Fayetteville,1-473-506-3410,M,5.0,NV,bthhrimsiuvaymktfdvwgvivcsknpxawhhjxrmahdurcznhnxqtnkfekyoyaksffxchxveltys,,811.0,O,95.0,3352677.0
Qpkzpdpuzjfm,Jrk13476,W,182062.0,Xlzcpwbhlcxugrkb,Marsh & McLennan,2.0,,Kdwml,Jrktrpahfgopgmkhrspjrsj,4.0,Gary,1-544-797-1619,,,ND,Lhimhslrcoulaagnwciebdueyrbioftsniwsopamyjujvycikevzsbbtpraltnfw,,315.0,O,73.0,2588787.0
EPAAC,fdu13477,S,478801.0,QKSRREWKNODZXWWQELQVCTQOJXCQWNHXBGKSPIHISZDWHQCUCCCD,Marathon Oil,5.0,K,Oldiwarljduiykmxpzko,fdumuaqmqoclpd,4.0,Los Angeles,1-689-680-0006,,8.0,ME,FZVSTCKAQKYZWNHZMUZLCVWDIEMGVZZYRCMMEHNTIT,,487.0,O,42.0,1057130.0
zwwme,EZU13478,S,376367.0,LPCCBLWEQNMLMSO,PC Connection,,,Endqpbuanbyzzobifinuwcwyx,EZURNGUKQRVSMEEQHJO,3.0,Raleigh,1-162-496-2739,F,3.0,CO,Shbtnzzrxxuygxlnejcenzzmfkkfhqxcsjaeagamldpsxcj,United States of America,777.0,O,59.0,2378969.0
Xxwvjffwmejx,Jbd13479,U,63705.0,,Marsh & McLennan,3.0,k,Goixqdev,Jbdnsqjgkovqhggedppprp,4.0,Garland,1-486-955-5715,F,5.0,MN,gsfxxiafpanbdrsvzmnjgduzxiadkrfksmgwrtmbjaukpkfeewvpkxdvgouxjesqbdtqtmvqipzmpel,United States of America,439.0,R,93.0,1829485.0
Bkmkoursg,QJB13480,U,170476.0,Ojugshxfbunbpuqgykrurlfcylbrgqrfmksgrwruckcrwpnjqbysrllivslyiaobwkpupovrvlsreuqc,Delta Air Lines,2.0,D,Khthcjdatszrdyjfmjamxnpubiudu,QJBNAOKQYFCKBQPCTSNNOSQBKXMU,1.0,Chicago,1-494-238-6555,m,7.0,NJ,dlsmvmueuzkfxprhhttd,United States of America,576.0,R,5.0,739478.0
WHJIXDVVVS,Uuj13481,S,71613.0,Tmfigelrrvnmfsekrsznwbk,Bemis,0.0,s,Vdkcmodoxjrn,Uujrcemf,2.0,Billings,1-586-441-2602,M,5.0,AK,Nehfzgiugqnkrrckoiuojwuoarbqcxbcqpfvsqttetjpstqdhtyvpkfyccw,United States of America,599.0,O,56.0,891465.0
VODCRWFG,Gsp13482,M,246457.0,Qktmsquwhpmefx,Sanmina-SCI,1.0,Z,NHHBHUJKC,Gsplxkqctylpylolslm,4.0,Lincoln,1-733-849-4403,f,2.0,NC,Tdcoqghrerqvvtrwivcirdvmoqph,,837.0,U,76.0,166571.0
Qolecjav,qhp13483,D,138594.0,Jcsudnvqpznkwwoswtspzavqfejivteouafbvixwhzcuasidgiftidofpyanxztpyxotdqacuqtilmg,Goodyear Tire & Rubber,2.0,,Taqxqwgxksryxrssr,qhppllixlwtcpoooauyicjhed,2.0,St. Petersburg,1-979-182-6216,F,8.0,CO,Zjmzctuaezjoqgtimeugfdvakvwcncbhzwevlhohyeigurazdtehxmay,Canada,680.0,O,51.0,2872636.0
