pstlcd,ddrssln2,frstnm,ncm,nmbrchldrn,ntwrth,gndr,wnrrntflg,cntr,crdtrtng,ddrssln1,nmbrcrs,g,mrtlstts,nmbrcrdtcrds,ct,mddlntl,gncd,stt,lstnm,phn,mplr
QHHXPXSFV,MHUDWUPU,Jsptnfuwprjzwimwbiyomxahs,243995.0,0.0,3200032.0,m,O,United States of America,517.0,Tulfqhuzwddlqqpfenvdeeaxtkodbfzidcmohzwdrzzoqkh,3.0,29.0,D,8.0,Chula Vista,,WHV14480,CT,WHVCUVOSLK,1-798-096-2120,Superior Energy Services
,ohqwqohjgugnjdupkfbkkqwlljplnvpadmynoiz,pajejbqyivvmgvbcyudph,408400.0,3.0,,m,O,United States of America,563.0,URJSXELEFMBAUUEDSQAJHASYCYKT,5.0,37.0,M,9.0,El Monte,,Mbx14481,MO,Mbxcznosetaskvcnexezhwp,1-475-510-1986,Macy's
borbwhna,Czqixtuwkqedlvpxukz,Ndzvlkfnskfqb,41597.0,1.0,571074.0,,O,United States of America,359.0,Nakrmrwqrxsornzcjeeijiwu,1.0,26.0,D,1.0,Oceanside,,Wnk14482,IA,Wnkkcshpvjxsyfauqghpqdibibe,1-721-892-8505,Humana
,,fclnueueehenfxfsdfmnp,425519.0,2.0,2141763.0,,O,Canada,694.0,pozfgbynhxmapnlteqffzrcuuhaczxphkdbvjemmgyskrwfh,5.0,42.0,S,0.0,Chandler,X,PJF14483,NM,PJFRZRPTKXKCSIAVOSHBFPTRJGJW,1-405-899-6586,Crown Holdings
RXBFW,Udqvncnkjchsbaybb,lvokmjbyovokifokhsmvincmccmds,237324.0,3.0,1082537.0,,O,United States of America,514.0,cqzhgmjsadgwvrzyudtgqncbmpagrceuncnahmqeigbdn,2.0,45.0,U,5.0,Shreveport,h,Jjd14484,MI,Jjdexaxdysxzrmhrgxxfbuobqpwpji,1-616-400-5678,
Uymbneeknn,Ngwyyvdxymzoqhqvedizpsawclurwri,XMYDH,226776.0,4.0,3277081.0,f,O,United States of America,,Lrpkdjtepqvnavpkqxnuexhrhhnnnbwiy,1.0,63.0,,7.0,Waco,,Swq14485,Ontario,Swqgffu,1-958-754-1358,Michaels Stores
lidleklu,Yjwmivikngibgwylpp,btvjlgyjwbwodpvhpavjlkmsihpidx,,3.0,2374891.0,,O,United States of America,330.0,Arrafqoxgfblpimfycomurvcbsdoonblvmhirppgkuf,3.0,86.0,S,,Ontario,,PKK14486,ID,PKKRVUPJGCDUIBB,1-275-197-4914,Beckman Coulter
Hvdblkmiz,ZFTWNECREUAJGTMVJMZHWVJGDZIGWKNTTTFWZTIPDABMDHSFA,tbcrqkhbepeo,265614.0,,,m,U,United States of America,,Sxewcfdzhuggazgoxbskqeujonnfvhsoq,2.0,64.0,M,10.0,Arlington,,XQS14487,NV,XQSMYSNIKPHYETQBTSXDWWP,1-119-761-2402,Northwestern Mutual
RYIQJEBAHAI,ZIQCMJEGOPZFZTZJJDVUHJRQSACCSERHPQANGWVALKFKWEOIZFRKLVYEYHFNUZAXBAUCJNEILSHSO,Fbxmrcngb,360557.0,3.0,,F,O,United States of America,372.0,Pqtryxjpsaxnvnqgeoxzdwqievdcrigx,5.0,16.0,D,4.0,Wichita,,UTA14488,KY,UTAKNTIRHRBVOSPWAMOFIK,1-508-754-1149,Enterprise GP Holdings
pymbqqkh,Eyrhsvemasuwupsaylkvyodarboymjuvdlaznfbynlkxrafawzhtqlhlkjtyxgymuqphlatrf,Nrxdc,459024.0,1.0,2848806.0, ,O,United States of America,805.0,TKWFLZUERJMYBYPHBQAEQYSDSFZSGUHIXMSBOSOFDAMMQSZUDTPUHGVOAKOZZSJX,,65.0,,1.0,Hialeah,A,Wqz14489,Nova Scotia,Wqzppkzwmbpmdl,1-471-763-1300,Duke Energy
KYEENLVKV,whmlcbmxjzmsmakncjxrginaprkyjpaprxlcxihghcjqqahtkbci,wxeiujmsjw,243638.0,2.0,3675843.0,,O,United States of America,625.0,Ewzjqevrbye,1.0,27.0,S,2.0,Grand Rapids,A,Nhr14490,OR,Nhrtiipurvdaowqvlcsedszrxf,1-485-318-3398,Albemarle
YLNLWPTIMD,Oedewceldvkmowqdogcckfd,Kjaxjxtktvuefqajckbgprwastc,480984.0,0.0,2685502.0,,O,United States of America,507.0,bubrt,3.0,88.0,W,10.0,Santa Rosa,,New14491,MI,Newrnsouxaplsqebohywfmurv,1-696-845-8177,MGIC Investment
MYQFNY,Nhimlvkwvkeffmmxfwrkuwlkqyfloj,rqlmzbmdgecytzcljzymntdqnvzl,60955.0,0.0,1858431.0,,O,United States of America,772.0,Epopcblldjwnudnnawpgfazzpgvkisknysolsuwqbjhrbgtbkmxmzirkchdeqkxpkcbt,5.0,61.0,M,4.0,Manchester,B,gke14492,WV,gkecxjekhxwehocspp,,US Airways Group
XIFPXL,GMMDRPNQPCDCXMXHERYIDXMCZPGLWDNTKCSQPTJGJTZPKQECUIBTDJORCNJHQQHVALTSSMPK,ISQMJGSYPDZINRHILBRY,239794.0,,905791.0,,O,United States of America,763.0,Ksymimuxdquiwjkbydrkmdfrciafhmgkszrh,3.0,35.0,W,8.0,Ontario,s,Sph14493,OR,Sphfmigzsilvsu,1-412-770-2744,Conseco
Luvpnnbpjajv,MIOCQFTEGIQHFNALDUVFGHSZNKJECOI,BEFUDRTSCRINTMF,,2.0,3000893.0,,O,United States of America,509.0,Ssfei,5.0,88.0,U,3.0,London,,AQL14494,DE,AQLAOXKULXWRLA,,Amkor Technology
onrugbcru,Kqpnnv,gfjcbdhvc,254694.0,0.0,3823039.0,F,R,,421.0,nwbrhbbwffjjclxwjabcdddgyohnpsg,0.0,6.0,M,3.0,New York,f,Kor14495,VT,Kordcnvfn,1-962-989-9406,Pfizer
sgkxxal,Wgwcwjnbplrurykunrwkyhkmvhnnpkdp,srlkikdnessgpuccxapbmstizx,59146.0,4.0,88168.0,m,O,Canada,406.0,Qbujslaoms,3.0,73.0,M,3.0,Inglewood,,ahb14496,British Columbia,ahbagetltrgndorinamemuuphypb,1-695-753-7206,EOG Resources
Fklhzebdnbds,Yzvwaizpkvwtjlujowxdiplulsds,Vzzxjgv,215562.0,2.0,3452167.0,,O,Canada,478.0,NHQWXVHTOGOFUJSHJJXQSOPUZWEOVNEMBJBZEDNADFZEGGEKURR,4.0,80.0,M,7.0,Pittsburgh,,DRO14497,VA,DROKKVFJZ,1-601-167-0396,Patterson
,ZKKOXPVFEIZYWTM,Lxaaawsqwexchfekhtebcufipyt,451412.0,1.0,336136.0,,O,United States of America,462.0,Ixpnvwdmrdkwytnsenntjejtngrpxjswdojqndflxj,3.0,41.0,U,10.0,Dallas,n,ehm14498,KY,ehmsjlojybystyuv,1-299-718-9385,Mutual of America Life
gvjut,XHGIFJEKFUIFRLREUQBATAWFEORKWVPSEEPIZFSKDRSQKIRXQMVXUPBLRTRGACZO,Htumblwncskywpnvjynyw,14910.0,4.0,1751498.0,,O,United States of America,659.0,Rwwsyemglxhyudgbamgzphrxrzfeslolnzgogeyjiasqygigpijj,5.0,4.0,D,,Berkeley,,Xpn14499,New Brunswick,Xpntxxfsafzmqrelnel,1-081-456-8984,CVS Caremark
ohrpuntnwtyi,Nvsvw,Evhrptgkdgmqvrvocnmwyrqx,58250.0,3.0,2650647.0,f,R,United States of America,767.0,Antptpwhdlvpnlhuoedcisvtngnkwxvtpijuffzwbcjfomiueynrrpksf,3.0,51.0,M,8.0,Cheyenne,,YED14500,UT,YEDPTJXOZMFHZOK,1-026-529-2299,Phillips-Van Heusen
Kgopfckr,Rabpdgwleuzhdlhxj,EEWLYJKTAQNOMFITHWG,467305.0,5.0,2837096.0,M,R,United States of America,651.0,Fmhpuigontdndejmcdpcshssgrthwyrvcxbthhtugryvdjfwlqnhoumhghrcduyngkigavupddlw,4.0,73.0,M,6.0,Indianapolis,,ZZC14501,Alberta,ZZCDISBVWTKZTAXYBTYFRQA,1-861-925-0478,Blockbuster
xwcqzf,FGAIWMIHVHHTWLOJSMDSNSZOQNUAKHQVVDMVMUFMOSZEBPURSSDOBRICV,vbxhy,72294.0,4.0,1169290.0,M,O,United States of America,779.0,,4.0,3.0,S,6.0,Boston,b,Bxv14502,MD,Bxvpshymihr,1-927-730-1870,Mutual of America Life
Mlpiqf,Llyifoyftaqiujhffrkwuchsshbncqosrnutequfesuoltecndvxjhntgv,wcnnhbfklybx,101300.0,0.0,3745754.0,,O,Canada,839.0,Etlxlzydnnglmabidxomikcknmthrwxaxqnmwfdmjeqrvknuevwlkpjfjfdntabssixrsu,2.0,45.0,S,2.0,Pembroke Pines,B,Xdq14503,Manitoba,Xdqziwckgovnxbdgcscxhtnnhndwno,1-074-354-6418,Ferrellgas Partners
eksqfcvm,Ibyggxmywhkqoppadrpyeqmwnvfinwdtylcpanxlknuuegxtampgggbctubqbcqgoxppswpgyiwdtmy,okyrqxt,469510.0,0.0,3171017.0,f,O,,463.0,LIRBNEOLUJBTTKIQRNBA,2.0,18.0,M,9.0,Los Angeles,,Xwg14504,AR,Xwgnbzyxdkpjgzbvib,1-443-225-9340,Thrivent Financial
Ayktkdrqmvk,egtrgdrzhobji,Hyxpdvinboyckmjnaqyibsdi,439495.0,2.0,2325401.0,,O,Canada,666.0,Yazbzbjaskrbcu,3.0,96.0,S,,Montgomery,,Qfa14505,WY,Qfaiantshy,1-769-078-2839,Adams Resources & Energy
Qdrhghzca,ooeiexqhjiecwuvslzufgtuscsoswnkfhrpxefqhvtniwratyi,Zekgkgcf,83424.0,2.0,661463.0,,O,United States of America,474.0,Wnuowncsaqirdngkrqzyjoojpgjclqeuyxrcngwgvgyodwbvriqibiybzdbkisgcsdeijuc,1.0,,M,3.0,Abilene,u,vti14506,VT,vtirinvueieyrpoxfusszdhgnatsab,1-420-909-2877,Guess
Smobvy,DTPJUAQUIBHIAZDDGESSFX,RWMQMQWLST,319790.0,0.0,1576971.0,M,O,United States of America,491.0,Hqtlgkdphketjopmenxopvf,4.0,29.0,M,0.0,West Covina,,hdf14507,SC,hdfneqiqriblua,1-481-150-8287,SunGard Data Systems
Isfmguykunvn,jbrfftublqeyirggkuowzhhkwtwicwxgrkpwuprdldqlbdfpsgsbwwilys,ZTRHUZBKMHCOAEDKG,361776.0,2.0,540900.0,f,O,United States of America,362.0,mgojsjnezubapxqsjdolvzaoummdxhmdoafgorcbcsyndpbktopdwanhrlakenqtpgsuxuz,0.0,14.0,S,5.0,Gary,,Mhq14508,MA,Mhqrxhbttiytsxhrxorjcdmiwv,1-126-308-7095,Carpenter Technology
ztktnqu,Wcsnfxynnkkeorpdknq,FCZZCQLQUXJXIGYKHKCKPSW,149122.0,4.0,2284868.0,,O,United States of America,,laxhadljdwv,2.0,59.0,M,4.0,Tacoma,,BNO14509,New Brunswick,BNOUCEUQDMQZXFGHMYHCSWWSVUB,1-549-274-9486,Ashland
airjv,UOKWM,Pqdlkedfekpyw,65292.0,3.0,1662244.0,f,,United States of America,336.0,QYSZKTEDDLSEFISVIGKATDWNKJYUOQDOW,0.0,71.0,M,4.0,Virginia Beach,,Fxe14510,HI,Fxeuiliyeoligknkclgbaoglr,1-281-835-8747,Cracker Barrel Old Country
dnaavkzuxnon,Zjypwoxqtxzgapxwydonimnhxdrjazyxknqfklbebotfrukxfvy,bvtowkinindsztmwcp,118100.0,2.0,1403039.0,M,O,United States of America,548.0,Dcbai,3.0,50.0,U,4.0,Chattanooga,,QQK14511,Alberta,QQKMLRYUFBGHRCVOMWVCC,1-007-516-8520,Pride International
Nmakke,UMPFMCXMKUCUDIOJCTUTRZSIHSCRNSZHULODNVOSRCJIGSSXKEEREDFOHUWDORURYCQOXHCOPG,qtmey,473639.0,4.0,2914979.0,M,R,Canada,425.0,INKRYMRSADWIUDEOTCXCMSYXMELHTXKKRRSTFFEDGCTRPOOW,5.0,28.0,U,9.0,San Diego,W,Fal14512,MT,Falxuqqdgsgvuzcv,1-003-506-6395,Archer Daniels Midland
vargcclsobp,Ojuzmygufrhbalfdqsiwnuphiwhyfpmy,Vfcrpwqexvbjzjswyazqrworvv,404931.0,1.0,615527.0,m,O,Canada,476.0,Kiuyqjxogbspkgtpv,4.0,81.0,W,10.0,Coral Springs,,Dcq14513,DE,Dcqvjhpltqvolhodaepkgjgvnkhuc,1-895-116-7449,
Izyxet,Ldooujfetgm,LLXDGDI,87198.0,3.0,3940097.0,M,O,United States of America,592.0,Hskzyyofwodmyufdptbnilpzfpqjclokxytzuxscqcs,1.0,50.0,M,8.0,Fairbanks,,rdk14514,KY,rdkzfqhsmjofpzlgqrcweuqmsh,1-946-010-3021,Dick's Sporting Goods
IZEWMSZL,ERDCYLPDLAJQCBDNAAWVJFWGUMXDVGZUCLAMKWWCHVAGDSWVBDOGTECXYQRTNJSBPEHCEHMJWU,pshacfaxqgsliubsfugeobtevjyrc,438412.0,4.0,226281.0,,O,United States of America,565.0,Nweeguhkuockppmjnb,1.0,89.0,M,3.0,Tallahassee,,hnq14515,UT,hnqrddyepdeadvzqectl,1-334-573-4255,Terex
Tamkqqwdylps,Mnddspfcqjnqmwdspnaonnvgtqbzsnkkkdwxegcicebchqcahzcuogurruoxlpvkj,Ralhwsqudzo,246546.0,5.0,2370924.0,f,R,United States of America,744.0,Cfatzwslraulbhumtgirvoqgdfaeamymiq,4.0,82.0,D,5.0,Edmonton,,Hyc14516,Quebec,Hycznkawzygjqrshwnzdnyjehgbzd,1-019-664-9065,St. Jude Medical
yikkeqdllzby,,ENNSTXRDFMCRJGELMDVPOJFCC,427134.0,2.0,3184248.0,m,O,Canada,314.0,bgxoeazjhroqmmifomepzwswkbgjhatleo,0.0,,S,7.0,Columbus,,ZZH14517,NE,ZZHLWIUUOBVH,1-713-068-3146,Mylan
zwtcg,Bmxhywwuycqoqcycpdeginbqxjptylhcpmsixmjvgsghhoicnjsetsfrqfuouplqbtjwavcmnakhqb,Lmkiaavjdedirh,364120.0,4.0,1391412.0,M,O,United States of America,589.0,sujftnbtjwientkiqaxatgrrvkxtcyxyaataewlhutrjjdqrqurd,0.0,50.0,M,5.0,Lincoln,,Osv14518,HI,Osvoqyn,1-404-621-8751,JohnsonDiversey
Jdevpcvgq,Rzuuscbchssfnxfqkcgchglgsyoziwcagakjdgzefu,Imqtluradr,308845.0,1.0,690769.0,,O,United States of America,830.0,oveeshpfhmi,4.0,59.0,M,7.0,Lowell,,TRP14519,WV,TRPUS,1-401-243-5818,Adams Resources & Energy
Wrgrr,Taylbpaicdttiqubokiydmdaxvblgcz,ybsibanlwsvufosrshxziagtny,263119.0,2.0,3782583.0,f,O,,766.0,Rfrdjmq,3.0,77.0,M,,Salt Lake City,D,lbj14520,SC,lbjubeeckkakeesqnwl,1-037-030-2969,Pacer International
Emrzlfhoslq,epjugnssxlbdkavoykuuiapku,Yudfmzuuplysiaxlsmvjgr,425735.0,2.0,1633072.0,f,O,United States of America,700.0,BKYGZMLMCRMEEOOAIYIMRYVSFGJM,2.0,53.0,M,3.0,Cedar Rapids,,Eul14521,NJ,Eulmxxhchakejoidkioubovhbxbx,1-206-179-4224,Avnet
emdildus,uopajisnwonpiktxyrxwwftrdrrfumwztm,NHYTTWJPSOZNGEWQZYHAFWLKZQ,408480.0,3.0,657877.0,,O,United States of America,611.0,bzkiisqhzhmuvesy,0.0,58.0,W,3.0,Vallejo,I,euc14522,MD,eucdieizezvhnb,1-252-948-0905,First Data
Qnaowgjjfva,kxynbrrppvxbfqdjxhumahdgohspoqfmfczemekthepqyaeinjdk,iubqhxvstosfisknqufllnfvz,313121.0,3.0,,M,O,United States of America,711.0,Sfgkrlbguqbqopymfheukavdeilcdfxfy,5.0,79.0,S,3.0,Idaho Falls,,Pmy14523,AZ,Pmyudufjbhhlmczapecgsnzgqzdo,1-440-656-5612,Google
FBFSELDT,Eyfmqaiotgnhcixfqvepoxpebiiquumsnsyjqsybrunftp,Bmghqapqhrmravigrps,317899.0,,1784386.0,,U,United States of America,587.0,TGRYLOSJQBHVKVUBDYEBVSFLUWDDTEG,5.0,49.0,S,1.0,Charleston,,Mcg14524,FL,Mcgfanbig,1-951-273-9355,AECOM Technology
Tjqeiwa,Ffltjqmqtlzezox,ddarjaynela,116663.0,4.0,1349571.0,,R,United States of America,602.0,Szvsjygjqjaumuhzndddaojkehjkmzhjaveyrzhnjwzasxxbkserhyfhfierrzrfmh,,48.0,M,6.0,Pittsburgh,k,Fcn14525,MO,Fcndswesgubrhnepdachq,1-497-319-0301,H&R Block
EUZXFBURBL,JFBQAPOEWMZSWTGFRTVPMVDQEOABCBMD,Ggbeboctvyxfbtmavvamvyn,263751.0,3.0,264021.0,F,R,,789.0,Glukeajhauvhxnavvzlejelxwcaouqamjtilsdjfv,2.0,73.0,D,1.0,Sherbrooke,l,Ggw14526,WY,Ggwiwkculpzetfbmsfi,1-563-162-8714,Northeast Utilities
YSALJW,Vvbrtfsfypvsdjznmzvlxmjbaylfqtvhxyuovsbebbfw,XDPMOL,80412.0,5.0,675878.0,F,O,Canada,726.0,Ggwnwwpmlspewjayjwuavbqstirmgwzlpuzvrsjqwcpeeastf,4.0,3.0,M,3.0,Phoenix,,qpd14527,Newfoundland,qpdvbmhvzoju,1-960-529-9708,New York Life Insurance
Vvcnjrrdebf,Kgttdthjwhdzxbrxnpjnxxkurcrrprrrksuykhwn,vfrznfmeq,35905.0,4.0,1973810.0,,R,Canada,837.0,Erignvhmylumogajzljomcqagenfhsglblfu,,6.0,,1.0,Overland Park,u,Ivm14528,WV,Ivmbmxvadkuzmmcmggikeoccekxtt,1-409-821-4632,Bio-Rad Laboratories
xweiasvjsat,MOXZSHVJALMXLLFHZYDMKSPGT,Nughqxxwepktwuqwp,272188.0,2.0,1037850.0,,O,United States of America,842.0,YKVGDJVID,,82.0,S,3.0,Dayton,Z,Gne14529,VA,Gnebjrycpgvzkk,1-480-772-0205,Textron
SCZYATDNQZV,,QKIPHWV,103526.0,2.0,301168.0,,O,,466.0,,1.0,,U,9.0,Irvine,j,LLO14530,Newfoundland,LLOGNZRRXZKRQ,1-387-576-9217,Liberty Mutual Insurance Group
,oqahjhhsxspcvcdnjqwulpqnkoxkhjsesiz,Ezzocnzvflqbijuckbufzo,476870.0,5.0,538388.0,M,R,,750.0,ledkskxxwsunkvlpxdbgebaq,3.0,24.0,D,9.0,Topeka,n,FDC14531,IA,FDCQDSAVVIREGCBAXE,1-488-442-4844,Sunoco
Oaxthcqgsrv,Nmufifbbelkdjrovjjflykhrszmlswmvsbwutrratbgcnhpo,BXVPYC,73101.0,1.0,3106107.0,,O,Canada,,KRDHRQKFNAVVVCHXUVAWBUSSFE,1.0,94.0,S,5.0,Chattanooga,,RXB14533,NH,RXBKWVTFHILSTJAHQ,1-580-621-7303,Furniture Brands International
yczxqem,xjbhtwbgshkzzwxjfvtpqogdxpcfjvimbdfeeuahixcwlhwlbfnkqksyoycxokogbmpfcnkzo,Pimmind,166547.0,4.0,611107.0,W,O,United States of America,631.0,SVDFBFWKPXDWNRCARKHHAFIXQPENLHOPCGOQAANYLRIBNPVKAESQOFKSLBO,1.0,8.0,M,7.0,Jersey City,l,Gcq14534,WY,Gcqcdjlhqnydvnzyqpujpuvced,1-330-725-1847,Maxim Integrated Products
Npndkcmt,jwxegtrtzqwcasocydfourxuzkeqqhfubujtjayvijefflopeekhjeefnxnmbi,irxyhrjjjhsijuir,95719.0,5.0,2512014.0,F,O,United States of America,833.0,EFALOFTLDXXEDMLVIFODEXTCMXKJMVOTCGA,2.0,2.0,U,5.0,Gary,V,Avy14535,IL,Avyftrkcuhaon,1-742-314-4201,Modine Manufacturing
cspklt,Uvxivlemvnwsbrgfxbljtdpykdbrngzzksbjkglofiepgetzicjtyrqvsebviueccmnenl,Laregshrjo,306582.0,5.0,2603444.0,F,R,United States of America,814.0,FDIAFQNKUQNSDMOJDEJVGHRTSFYLFKQQHRG,4.0,62.0,W,8.0,Winnipeg,,Kib14536,IN,Kiboqwtxtslxcgtkjvwcstsrr,1-141-456-8843,Morgan Stanley
Frjzixlvbk,Zixnelrzvhvqtk,Negurxbcjt,115124.0,3.0,2009042.0,M,O,United States of America,770.0,ntaqizqixjwrillejdyplnel,1.0,96.0,M,3.0,Pomona,k,PSH14537,KY,PSHIKAWBXGSOUQIUAFOHDIVJER,1-346-891-3973,Joy Global
Hnrcfmyvuzms,Egpcbclknsxcxotqcittcuojhfhyhptmcwwyohdbnvphrhboorowulhjkdiuhauecwofwsxfhmahkzpo,Numatrnoimvosdvkdh,483373.0,0.0,,m,O,United States of America,815.0,Wtxyxcdiwrcnlnrgwtttbqurpwgqjwakubxgosfgjcgjkdkwwavrkviwlbo,3.0,80.0,M,6.0,Idaho Falls,,juw14538,AK,juwktwho,1-412-653-2628,
Xlsnjnlkfhgj,RWEZFFNQEQAYJUAWWDNSZCKNVPPMKWLXFSOQLHIX,Atpadxhmmoudb,137930.0,4.0,2721681.0,F,O,United States of America,,GEBLWJKFKBZSTKWQXMNWAWVLCNAWXPUHICDVQUFUFWSYNBGVVVPYVJDJRKQPZYI,0.0,58.0,W,8.0,Topeka,e,Vpd14539,MN,Vpdzwdj,1-271-246-5666,Frontier Communications
dfycndiewxg,vslkfhfjvwixhmgmrgadigbbgvfafmlxsfupikogiuqgniqplxrtsmgqatrpxlytoudotnxh,ZFOPDGLLN,345506.0,,2052883.0,,O,United States of America,489.0,Rzhqcjiubroaqnbdigwczzrgcwvkvlntzzucbnulbeenlwxcizjekmytzrkojdigo,1.0,98.0,S,1.0,Mount Pearl,,Fmc14540,NJ,Fmcbiufamhno,1-689-429-0632,Great Plains Energy
Wmlid,udauxnbioexmzaqpvpcfuoapwvvgorybbzgaerhlcmsvvbpymdebtoqgedguhdgldtcsznamd,MLAMS,317027.0,1.0,2215384.0,,O,United States of America,713.0,Brepiebxbbmiiscwbgwjobvcbnnvvnjxqusmfpcpqtqgyvafplxzazrgyugjiaqbj,0.0,30.0,M,8.0,Lowell,m,Jug14541,Quebec,Jugfoltuw,,3M
rfhsnn,NKRKXWJNGJXWPJ,Qbnthlbe,386973.0,1.0,2256649.0,,R,United States of America,581.0,Cwpznaqdpyrrlpwlvuruwzykwkjjrolakncsosgwfhdhxutvzqequazjynikhdiuymglvbthahtwj,3.0,19.0,S,5.0,Fresno,,uwk14542,VT,uwkgpmawbtshf,1-475-348-8492,Sprint Nextel
RBDKCWHABO,dvhvepapqwlfikfoikrervijfenohdvebtcbpqixmdlovkorbbbvbhtaneeemagt,Xfivjtonemiltagmiwola,351623.0,3.0,2384364.0,,O,United States of America,687.0,Aidunmsfheuruvydidsllwx,1.0,14.0,D,4.0,Warren,,AOR14543,CT,AORRWTYJNTQCMUMLLVGOTAB,1-958-913-1965,Watson Pharmaceuticals
DNASKBORWRJI,Vqabpcwssmfqwvektbccoklhlalmfqllqandlfzvehrjicphqubmjqeanh,Nmhibzzqykilrel,348827.0,2.0,3344916.0,f,O,United States of America,777.0,BMSXABHPWTCIIJLCLEQTVSVMKCVWUFNPHXWW,1.0,9.0,M,8.0,Pembroke Pines,F,Caq14544,IA,Caqkhqlcbqlhrk,1-217-110-5618,Paychex
Lzcobmxoeg,Jldaqtwfpubnnbvloxqcavvmmtgmhbrtlyuhqwrmxswsvmzvgjaoycoevgzdghrtlq,Dfwfpwlxqijtnbgfcsthxeujoooy,85630.0,0.0,2462997.0,,U,United States of America,785.0,QJNNVJZVIBKQMYYXWFPPDLOTJZV,,45.0,S,4.0,Bellevue,e,MJD14545,ID,MJDGDIXCRCFDCR,1-289-891-8539,Pepco Holdings
BNFFRJBOEG,apfsnxokucialdzcqvjgcwkejv,VFCLWEISOUMRRWGSRFCYPWEUQIGHIA,33167.0,4.0,1427977.0,M,O,United States of America,659.0,Gdoextnrkjiyikfozqpaiiwa,4.0,62.0,S,3.0,Toronto,r,Hbu14546,WY,Hbucemdbef,1-403-687-1214,Brunswick
Jecotom,Ypmscbztmnxpgrafthoywerlwuhqqnixwnvhbhrqhbifffu,NKOFBNUTVPDTZZN,432406.0,3.0,1811507.0,f,O,United States of America,419.0,Pnwuzrmkolvvgcaxsyojwllqtqujgepsj,3.0,9.0,S,1.0,Seattle,,JJL14547,MN,JJLRDIJMQVQCFSQTI,1-128-375-4492,Westar Energy
Buhxn,vgonredwlzjfwmjoxiuqmlucupvclktzjgkdipjpohnotalj,zedjotkwwptlsdibasahkzyvw,294957.0,1.0,39074.0,m,O,United States of America,662.0,Mapkmjtkxycpxkdabqgxpxte,5.0,39.0,U,9.0,Inglewood,,fky14548,Newfoundland,fkystirkewbnlfcihqrwuvwa,1-971-009-5906,CB Richard Ellis Group
VUYUG,FJDOGRGUYMNOWWUKBAGSUYXQZTKIHFBABHOEJYGMAULATHQZVJDIRVOMS,Mntzxpysuqk,,4.0,1421789.0,f,O,Canada,760.0,MBLTHAV,0.0,72.0,M,5.0,Rapid City,C,cjg14549,TX,cjgryhhuunhjshkrvh,1-611-845-5974,Hertz Global Holdings
Saiahydnyxqc,JPGTKGXRARDPHHCLZOHNSSRWGIPVKJAFZMODJVRDGLJPGWZZDPEFDTCQSVYFORUNKURCRA,hcntwpgpgw,199176.0,0.0,,,U,United States of America,312.0,okzbwwxlvvvaahipopuezjbjbrbarhfjpqezpcmjllsuhqxbohptngkynrxquffgiwxrxlglnyca,1.0,90.0,W,7.0,Dayton,,ZAS14550,MA,ZASYBCCNLHRBOTLGUHB,1-523-309-0977,Joy Global
ialuotxsoiwk,Ggcdnrychmfvhhsphbngporvzvcuqnagsdaqapblrbdsqoyme,urwhyknur,40306.0,2.0,1074989.0,,O,United States of America,726.0,Hvrejukgekqlovamxrlolcrbyrauvvohcilgnzoqalqzsdzknnth,4.0,46.0,S,7.0,Hull,,MIM14551,Newfoundland,MIMRHJBUDKAIWGWHYHGXLLRBHHQUB,1-840-083-0457,
CAPRFZRQYKY,Csrfjbnfuytlaoqxanegezw,MAKFLVDSVQCWDUNTTOBGVLF,226285.0,3.0,3348145.0,m,R,Canada,574.0,Fcxmqtffzijmhakhizwfmtgibndgfs,,85.0,D,3.0,Inglewood,,piv14552,British Columbia,pivilfu,,Campbell Soup
IWJLBFZJMHU,Nxmgalfxafbipqpvhlhguprackirrppsddapiqluxwnmhghaegaxyaozlstyxtvruco,xibcscxla,116004.0,3.0,1514930.0,F,O,United States of America,401.0,Wbntqbkidrbicfbezhnebvcjxkgtxyseodbbkkqwvwsngqkxya,,44.0,M,4.0,Sacramento,O,kfx14553,NJ,kfxctq,1-781-044-1629,Community Health Systems
Okidcldxep,Pynurgahucwvwlpvrwbtswxpselghnxkpsakkrsjpxjwmuueh,Ybcgsgpjczrgtqyxfsty,499305.0,0.0,1105514.0,,U,United States of America,490.0,bnxhbqdinpswzxctdgryaaphocqrpbvwrgscvxwhwbbova,3.0,46.0,M,9.0,Quebec,,uci14554,WV,ucidxcbhiijra,1-538-219-9353,Pacer International
Otffx,BYKHXWNGMMJXMIQVZCTNDFSLWOPWXMSRPNWVNKPHHWDTDKYEHOLTWBQEIDLIQZIA,XAEABIRE,,4.0,975314.0,,O,United States of America,370.0,Scjrjxefjmrhrd,1.0,71.0,U,9.0,Yonkers,,Pek14555,ME,Peknfkjvfemvsvahyy,1-671-556-0499,J.B. Hunt Transport Services
Unyppkb,TPOSGCTIWWPK,Weewggczlhdhfwjsgnhwmu,12915.0,4.0,3687635.0,,O,Canada,428.0,BPAEJZXKUXZHUWBVHVGIIYPYCSBSRMZSFGBHLDFMLJDMFGEOSSRJBBXAAGTGNHLQDE,0.0,8.0,M,4.0,El Paso,q,Orp14556,IL,Orpzvqdabfnarzjnvztfggfwgejt,1-674-478-2153,Jack in the Box
