prospect_gncd,prospect_crdtrtng,prospect_nmbrcrs,prospect_ncm,prospect_ct,prospect_ddrssln2,prospect_phn,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
LDH11111,759.0,4.0,341656.0,Virginia Beach,Yiyxygmaxijxxgjwgwxjkbwfiewegmnyfduutqjmrdcctktqgsupvj,1-539-782-5522,3.0,S,73.0,O,,7.0,
Vrl11112,434.0,4.0,99711.0,Santa Clara,Yphwxpibgnwazwuznyrkumadrvssyoqlqonobpdeetrdqpvzpxprckdhxhyedhofzd,1-766-118-2941,0.0,S,69.0,O,Scotts Miracle-Gro,9.0,454531.0
KGS11113,752.0,1.0,401966.0,San Bernardino,HCJSURPNTGTZMYCVPPFXUFIRUCGNGICOEVJGXZHTKWFTEGLXFKWSVOMLHJXFNFJSCGRVAPAGCBOTSC,1-029-755-0775,5.0,U,55.0,O,Amazon.com,0.0,3240581.0
IZN11114,743.0,4.0,110307.0,Huntington,DOMNUOSOUQ,,5.0,M,28.0,,CC Media Holdings,4.0,2853467.0
Rbe11115,790.0,1.0,412114.0,Regina,EUDCQNRJWRUJGKRKNHDOTUWWRFFDZCKKNGTBKJFFRDKRRPMLSNP,1-203-432-5236,1.0,W,50.0,O,AFLAC,1.0,314768.0
Mdy11116,536.0,0.0,,Des Moines,kmslvlxdklfprbwwlavmxvdfv,1-624-435-2301,4.0,M,84.0,R,Omnicom Group,6.0,2437574.0
OTC11117,428.0,2.0,471546.0,Lansing,qkafkavgdodqfvrsefankkmmdvquromexcpmdzllqtdaxmsbuqmh,1-247-055-8115,,U,,O,Vought Aircraft Industries,9.0,1717413.0
Nda11118,713.0,1.0,486274.0,Dover,mjhtdpqmcdxno,1-432-772-4099,2.0,W,23.0,O,Emerson Electric,4.0,1874989.0
Xqm11119,665.0,,79994.0,Abilene,Bnfeugnaksalekkrgksgovptnjtjjhjvnqitxdvkfikffregakxmoxzumfsemsvdprwwmvmjxtfl,1-471-763-2607,1.0,U,22.0,R,Colgate-Palmolive,6.0,309312.0
RIL11120,546.0,5.0,244104.0,Huntington,Fjcdpkhrxddcengxnoijmcwvqqjgusnmoqshthjhtgfjkoknqsec,1-695-698-2782,2.0,M,29.0,O,Norfolk Southern,2.0,
Sio11121,437.0,4.0,399499.0,Berkeley,pqnlgyanuifg,1-182-018-8364,0.0,W,36.0,O,MDU Resources Group,1.0,2661265.0
gum11122,410.0,4.0,344741.0,Chandler,Crqhnatcqwavehvwoyuwwuatkrqhiptbjeomcwzgpinoe,1-222-269-4854,1.0,W,70.0,R,Regal Entertainment Group,7.0,1182674.0
Kod11123,456.0,5.0,449148.0,Simi Valley,bzpehfyggyzhgjbkxvbzb,1-650-613-7174,1.0,M,12.0,O,Toro,9.0,61292.0
uar11124,724.0,4.0,249694.0,Dallas,Rlzoypckxjqfxmhbabxwqjurevhjbuqdbafaeltnzdxipchay,1-610-860-8907,5.0,M,79.0,O,Molina Healthcare,9.0,898736.0
bce11125,518.0,3.0,93623.0,Hull,HIJANWTQYPXHUUCDLKXKHCJSLGPZPCIGXIKCOMWSALUQ,1-080-177-0308,3.0,,13.0,R,TravelCenters of America,0.0,374849.0
HDS11126,382.0,4.0,223509.0,Austin,odlgcoskkumabrjwpdepofduicqmacpomcbslirwqtibtjtafpksspqdzbsigzhnknbhaivftlrnvv,1-020-838-8629,0.0,D,40.0,O,Smurfit-Stone Container,7.0,2144139.0
Bvd11127,705.0,2.0,166933.0,Alexandria,Mmujiyuzhthttjdzhcpzscceynojugvlsqjwrafqhwxhgnbplvimjlwbrfylml,1-654-610-9840,4.0,D,56.0,O,VeraSun Energy,9.0,441843.0
Awc11128,784.0,,265644.0,Hollywood,ixaibaciqjoccdiyymboxkqvgamoeviffrtcgmwbtlfaaiwampqvpzgpbynxvtrnrlehwcudjjjfck,1-783-573-2799,5.0,M,66.0,O,Universal Forest Products,2.0,154199.0
Avv11129,519.0,4.0,131437.0,Glendale,wmtgcvegfutasqkszeoaulbjlkrjkrjkomkvidhwhbzeastgvlhvnsuahqtphcwzaq,1-908-304-1407,4.0,S,95.0,O,Neiman Marcus,1.0,3132143.0
DGX11130,338.0,1.0,29592.0,Fort Wayne,Hfvecvkpeadopukqhnekskevccunucoafapogbmiidwrtvlhhudfxfpkbzvsmpxwbjpyzjfbomnuq,1-755-225-6753,5.0,U,49.0,O,E*Trade Financial,,2291849.0
fdq11131,401.0,2.0,402152.0,Montreal,PDKSRFCFCETITFJXWYUPVUSYWHHWJCRJZSYMM,1-697-091-3210,2.0,M,31.0,O,,8.0,2497077.0
Jzb11132,840.0,0.0,271037.0,Missoula,,1-991-841-5198,0.0,U,30.0,O,United Services Automobile,2.0,583079.0
Xuw11133,566.0,5.0,285131.0,Gary,exkbfaharrdttetedetheeobpxajmcaznjojdyryffbfnwsxmgcpeyj,1-070-487-9396,1.0,M,16.0,R,M&T Bank Corp.,6.0,1720237.0
nnj11134,508.0,3.0,102943.0,Oshawa,bxeduweuwphtwcwhlgwndpfboxibjjfwdjorbyryzccoepjzh,1-238-035-2522,1.0,U,14.0,R,Universal,1.0,793265.0
ssn11135,825.0,2.0,233412.0,North Las Vegas,vkpuyvwxewgbgcwdplfushzjjbacipdcitajzqnda,1-824-267-4839,2.0,U,79.0,O,USG,0.0,
Xgj11136,404.0,3.0,454152.0,Fayetteville,Sayyzsiwhxyjwzescaxunxnrlmqanuwwwbgyccrfbsmyslwuhwdgnwpmjzhxvjn,1-060-152-9205,0.0,M,20.0,U,Zions Bancorp.,2.0,1633385.0
KBP11137,554.0,4.0,414089.0,London,WPVGKTQZVWSMBWHOZFTGYELNIFQGHYMTZNOPGVHFGQIKZCJOGXXCOTIPYZLKVMSTDERGQH,1-018-762-8415,1.0,U,85.0,O,PHH,,3995280.0
YMB11138,807.0,0.0,471238.0,Milwaukee,SNBYDYPDGUECULXBAL,1-871-929-7228,3.0,D,17.0,O,Berkshire Hathaway,2.0,625139.0
Hph11139,357.0,5.0,94103.0,Oxnard,eahbnhvefxnethyxjjstnsbcfrkuzjeayiukhzlthhjlqylambqas,1-276-126-1453,0.0,M,16.0,R,Mattel,8.0,2833410.0
Uah11140,577.0,2.0,424349.0,Victoria,zntmmgbqjndpfwcausseebjzcukwtpcdmvddmgulzn,1-714-737-4687,0.0,M,94.0,O,Flowserve,7.0,1656365.0
QVG11141,,,433663.0,Warren,Qvqkrfvmkxpnkljqmfdcjxskvoovvvpduwpzlxoonkj,1-917-113-8529,,M,85.0,O,ArvinMeritor,10.0,2377665.0
MTX11142,639.0,5.0,233605.0,Cheyenne,tlugnthmeqfqolgbxgkhcdxdwayqdawwhpeghfnrgemevoittfnssp,1-501-406-1681,0.0,U,48.0,,BlackRock,0.0,1238464.0
Twp11143,620.0,5.0,227596.0,Sunnyvale,yvyohumnpraajrw,1-605-487-8920,2.0,U,26.0,R,Emerson Electric,9.0,1627161.0
Rfj11144,690.0,4.0,8426.0,Eugene,Civygzajrdlrh,1-469-765-2896,3.0,S,68.0,R,Aramark,4.0,52805.0
Sdl11145,375.0,0.0,493298.0,Salem,YZQCSHASVPTTLLANODFZUDBFHHPWGJNCUV,1-032-636-1468,,M,66.0,O,Ashland,0.0,2942915.0
Teo11146,365.0,0.0,224667.0,Denver,Drfjctlnwxswlatzpeawkfgeikaatmmlhvkfjqxgelmrgfscbavbrkiygv,1-953-691-9317,4.0,U,5.0,O,3M,9.0,99902.0
Nit11147,321.0,5.0,389774.0,St. Petersburg,xjvjbkppikwualixdlsyjidaubvadsipegcm,1-776-725-3446,3.0,D,,O,,10.0,347527.0
Ffm11148,737.0,0.0,90681.0,Cheyenne,HWGZYEHJDCGSIYRZMXYWXGFLVKXALQRROLRSVJFCWCUYNDAYEECADNBY,1-292-318-0400,,D,78.0,O,Shaw Group,5.0,2938993.0
XGA11149,424.0,2.0,391271.0,Miami,YVTSUSZOFGVSAAUV,1-723-289-3585,2.0,,88.0,O,Northrop Grumman,1.0,3508797.0
Rlp11150,558.0,3.0,326600.0,San Antonio,HQORTUGTOWWONTGATLBROVLEULOHJWATNYCZXNHSKLTUYNNVDDTOGZAMIQZCHDVCBTZQ,1-656-754-8115,0.0,W,21.0,O,Principal Financial,2.0,1753916.0
Srh11151,784.0,0.0,300707.0,Waco,Hysmlvhymupjnmxjbujqpwbvirdaoksnwhndeodjhjchmgkjtcjgegtjfsbqkielwdyxsmpbtftoau,1-258-946-1316,3.0,M,94.0,O,Atmos Energy,7.0,1126659.0
Gwi11152,685.0,2.0,4644.0,Arlington,UXTACOQCHIVPLCDQCFPCLXZTDJUCCSXKNQXHZXPBZUMVMROGWMOV,1-517-276-5758,4.0,M,27.0,O,SkyWest,1.0,2743465.0
vij11153,761.0,4.0,172476.0,Cheyenne,Mqxjqvdqdeemeusxbooquqzbymsfzikit,1-549-697-9256,3.0,M,50.0,U,Cracker Barrel Old Country,6.0,3074514.0
Zmd11154,506.0,0.0,452117.0,Portland,Qozkpggevqihsrt,1-052-043-7511,4.0,W,53.0,O,Brightpoint,0.0,3134876.0
Rqo11155,471.0,0.0,326880.0,Saint John,Xyponfnim,1-131-650-8974,2.0,M,23.0,O,Health Net,9.0,2214185.0
VEW11156,816.0,3.0,419937.0,Burlington,Dfxzdbfscsjzqczzigjikg,1-921-938-3921,5.0,U,27.0,R,W.R. Berkley,2.0,3278947.0
Sif11157,341.0,4.0,230134.0,Pittsburgh,NMRVUWIJHLQAGTNDQIUTGKYBIVCBAMUNHYZZMOOGAINHWSUOCKCQZMJMRUOFLGODJUUVDP,1-632-075-2060,3.0,M,5.0,U,Occidental Petroleum,4.0,1462393.0
Znw11158,422.0,0.0,493355.0,Worcester,UCNCFJZQEAZA,1-388-656-6832,5.0,U,97.0,O,Wyndham Worldwide,9.0,2370101.0
msw11159,762.0,2.0,425574.0,Durham,Pnankekkqsrczshebvxsowjvkntgi,1-344-834-6553,4.0,M,6.0,R,Aon,5.0,591620.0
bft11160,316.0,0.0,60453.0,Santa Rosa,QTYEPETFBNEGEPJNBKRAEKWJYVAVIYJKCE,1-720-836-7519,5.0,M,97.0,U,JetBlue Airways,5.0,3537831.0
Lsj11161,,0.0,9498.0,Winnipeg,Gettnhirdeklzcxwegvibyncrvxjghovveeitozgagkeseitquualjeghdh,1-752-288-0394,2.0,S,23.0,O,Belden,2.0,2153327.0
Wxn11162,451.0,0.0,316948.0,Jacksonville,bfzsvhaabstiqxngvhpugkbzolfojiezeldvaurovxhewywrxexhjhq,1-188-114-6634,5.0,U,59.0,R,Warnaco Group,4.0,3293783.0
szz11163,745.0,4.0,104473.0,Warwick,Qtnszjsbbsuascnxkfzjdyitobgy,1-701-450-5175,0.0,W,13.0,O,Cabela's,1.0,1360085.0
mun11164,731.0,4.0,16214.0,Pueblo,Zsiquqbwslxbrkvurkhaqelryfjmnmnrxlxdczibgqztdixhbdwvrtfvatsnjtjmkouibmytwflt,1-065-360-5910,2.0,S,25.0,O,United Parcel Service,6.0,2941247.0
ZMT11165,,5.0,337480.0,Lansing,SKKSJYWZTSGBSMSWAXQZANQRZFLZKVGETXMMZDXU,1-185-997-5812,3.0,M,16.0,O,Graybar Electric,8.0,
Epj11166,,3.0,346642.0,Nashville,Dbutbxgyuuqxbmyhxxrmwqdavpmt,1-497-406-2487,0.0,M,56.0,O,Worthington Industries,9.0,2994734.0
len11167,687.0,3.0,3145.0,Sacramento,Qntqcdlsfppqqstebawxukrxrdrmb,1-164-698-3450,3.0,D,53.0,O,C.H. Robinson Worldwide,6.0,2149112.0
BBS11168,559.0,1.0,237898.0,Berkeley,hgizfiaoedkohbcotwrllqtistvoisvgbrlmpqnlm,1-894-933-3013,5.0,W,71.0,O,Fidelity National Financial,9.0,1092354.0
QGX11169,427.0,0.0,174682.0,Lubbock,tmxfjdqlokgaglnttvgiyoclwqmtcbpmmvmlonlksirrczppmjozelmde,1-943-216-4595,1.0,U,30.0,R,Bucyrus International,1.0,2972793.0
ysy11170,718.0,1.0,256354.0,Pittsburgh,OYLKESRDIYSRUFAAFSIJUJPCBXDBLLYNAJHERRUWBWLTXPBSYMSGNCHEMKWIOIFOS,1-329-309-2920,1.0,,89.0,O,Mueller Water Products,9.0,254517.0
PAH11171,415.0,3.0,352546.0,Aurora,KJMHELSYALNSQJSQPBQFSMPWKUZGKHTDOBKRMKLKPXZGGEJLTDWRMBNVSEIOEWY,1-567-224-1134,5.0,M,89.0,O,,2.0,3232905.0
uom11172,,3.0,115604.0,Fargo,Svkmvdwmdepicegeacrylbjhkwnnemqnorzultbqrrmakzawujbuddwjlxupaoqtkvvvdnmrpmudr,1-393-232-1288,4.0,M,32.0,O,Magellan Health Services,1.0,1600993.0
sjc11173,513.0,3.0,122517.0,Tacoma,Fnowwrnxkmqqvclyvvxghvmmnxocpxcobgvc,1-234-880-6992,1.0,,,O,Delphi,0.0,2990822.0
rln11174,355.0,1.0,,Sioux Falls,rxvsrywlwscplhaqbwnutwwjgpjfwytxbssxabqlsuuorpchtkgyl,1-274-443-1820,4.0,M,61.0,O,Nordstrom,2.0,182737.0
jfa11175,641.0,0.0,81016.0,Livonia,FAXICLTVTRABXVRGJGJDQXWDOJZVFGTDPOOIFTEEONRTDEVBRJPLXVAZUCDMDBDIWUIOWFAOOPWUSN,1-062-362-7185,3.0,M,94.0,U,Juniper Networks,1.0,1336995.0
DBU11176,407.0,1.0,161122.0,Hollywood,lzibncalsxjpufinlvlbxdnjtcegmxzzcbelbrj,1-112-704-6386,2.0,W,16.0,R,Genzyme,1.0,2273609.0
rut11177,506.0,4.0,435693.0,Eugene,grlltuylxfdibzwvspjusnmnlaqrt,1-651-034-7223,1.0,S,42.0,O,NiSource,5.0,362348.0
Lmp11178,729.0,0.0,398338.0,Aurora,Eqrwdceanzmryanlegomqobtgcaauwzyduqrtmimzaojwfp,1-704-918-9418,2.0,W,92.0,O,DTE Energy,8.0,1681106.0
bsk11179,600.0,4.0,488768.0,Fort Smith,Vvlkobjahhruvcqxvtbnjnvusdjeistllcrojdwximakzviuwg,1-337-824-2522,0.0,M,7.0,,Hayes Lemmerz,6.0,3920130.0
cbg11180,632.0,3.0,,Irvine,,1-752-818-7537,4.0,U,70.0,O,Warnaco Group,3.0,529892.0
obo11181,569.0,,9811.0,Warren,Cfoolieixcudwumnandpxamkjkfknowvn,1-889-003-1757,5.0,M,88.0,R,Qwest Communications,5.0,1316910.0
Iuo11182,714.0,0.0,150917.0,New Haven,Gmociatonrfcqzkek,1-706-238-1831,5.0,U,31.0,R,YRC Worldwide,10.0,3993266.0
ALF11183,755.0,5.0,215046.0,Lowell,brkxdnrwnacknnuspestrwffaxualffyxoeugnpmycmwfedqkmyjntdjnljfgvlcpygtbregiseryc,1-046-423-6348,2.0,D,90.0,R,Kellogg,,3366626.0
rit11184,393.0,3.0,261654.0,Newport News,SMPLQILURVDNECONNNBDCSNZBAURPJPGIKHUOWCUDPXLJJSXVUZQ,1-491-242-3165,5.0,S,17.0,O,Henry Schein,2.0,1171645.0
Pyo11185,509.0,3.0,77193.0,El Paso,xxssvtjhrmdfqqkemjskqokxyetomjkrnbpjopfhrlafknyqlxkwilmequbv,1-541-477-9380,2.0,D,9.0,R,Jo Ann Stores,3.0,2323435.0
Lpw11186,394.0,0.0,43073.0,Nashua,Jdhxmjwuacslxejveeatixdggimnbsfmjoiknkisexkgictqftcelxpyzjtwhgtsdvkcklmkskvpfi,1-172-369-1071,3.0,S,44.0,O,McKesson,4.0,1865281.0
kaf11187,469.0,5.0,299466.0,Minneapolis,uieobjgnblwwhpfrojyewlck,1-345-079-2973,,M,,R,Duke Energy,5.0,2256107.0
hfa11188,543.0,5.0,326132.0,Toronto,rmvsomcctjewneiiezgxpajpdynpxzhfhtikwqxfwjxiipiohuvrcwevdnphcrcsdxaoqoh,1-313-392-8834,0.0,S,1.0,O,Iasis Healthcare,2.0,239712.0
VKJ11189,411.0,3.0,8576.0,Denver,EVQRXDGZEFCDSRKRYUZBNLQJPGOMMHQUELZ,1-247-836-1176,0.0,M,43.0,R,Jack in the Box,5.0,3703928.0
Ypr11190,442.0,4.0,474322.0,Irving,Okakletrviobgugtwqudffvslvduqnzkreookc,1-063-237-6978,4.0,,85.0,U,St. Jude Medical,,1949025.0
Znt11191,431.0,4.0,470593.0,Salem,YZGEJZY,1-973-100-8690,2.0,M,27.0,O,Questar,1.0,2159875.0
Vsd11192,388.0,0.0,427824.0,Alexandria,Djjmlqsnajrhuhrqrmrmlzrjaqeplfgqyimewtdcclvsrmm,1-954-797-1843,2.0,S,75.0,U,Staples,8.0,1283011.0
Jcm11193,314.0,,254388.0,Saskatoon,udlawxvhbbfbwflyobfeabttpcrrmoyajvbshbynrqidcduuqzsfkncmo,1-775-847-1133,1.0,M,89.0,U,Owens Corning,1.0,3212581.0
Dtx11194,783.0,1.0,66442.0,Virginia Beach,Wohzanxecajziehgfljyfgtgttwkaajmeemooxjtgtacuecletr,,,U,69.0,O,MSC Industrial Direct,,2425038.0
fbq11195,,4.0,43721.0,Abilene,Qbggnkwqojqlrirbbqes,1-924-595-1909,0.0,,,O,Flowers Foods,2.0,430774.0
eas11196,678.0,4.0,150100.0,Winnipeg,Luihcgdwkabghek,1-079-537-8338,2.0,M,23.0,,Best Buy,2.0,3500049.0
BFD11197,583.0,,39659.0,Las Vegas,RMHOEKMDSSMZBCSVVJLIGMQQODKLJLOFMDEZHBGGWWFREUPPRFKHLZKIENMVAXWS,1-142-172-5921,0.0,W,67.0,R,Circuit City Stores,1.0,1507535.0
Qea11198,330.0,5.0,,Reno,Nnqctitcnvaucsiswwflzlchgruprtrthdlncwzixyqonkpcodyajctaqhjxwnatdxiahqdniavjrjb,1-775-537-0924,3.0,U,2.0,R,Praxair,8.0,3839806.0
Stn11199,465.0,3.0,433397.0,Milwaukee,Oeuqxeybfmjowttgraikguyeuqcfszpuurvsserntrwaobkdvfatv,,1.0,M,31.0,,Assurant,3.0,1613720.0
LID11200,506.0,0.0,45905.0,Toronto,nwmmsrpnduljaontqpaogiyxvwisqhlxlwokgztytxnracejvaxbkmpldrgvdpnktdzuyhtf,1-683-376-6579,2.0,D,54.0,R,Circuit City Stores,5.0,2208199.0
Iii11201,617.0,,381845.0,London,SMZWWWQHOAKOB,1-032-437-0439,5.0,M,1.0,U,,9.0,47984.0
Okw11202,436.0,5.0,425314.0,Rockford,GUBBAWODLDJCGTOCTXKTSKLHNCDBQUILSCNTGXYFYVAKPBFGVJNFRM,1-178-957-4071,0.0,S,68.0,O,Core-Mark Holding,2.0,1625682.0
fsd11203,713.0,4.0,274796.0,Yonkers,Nsxtcotcavfizbcssspeleaaxrxqes,1-441-162-0385,0.0,U,86.0,O,Pactiv,8.0,3395337.0
pdc11204,788.0,1.0,1202.0,Austin,Nkkmeyjokrkivtwhffntglegzxiiclnaumgsxqiowwlrjjdjykqfobmexnqxlhgng,1-241-316-8405,1.0,M,71.0,U,,4.0,2529321.0
mfq11205,415.0,5.0,154314.0,Fullerton,Ezkwmzbdpcqiycnlmdgcwiqq,1-162-004-4005,,U,43.0,O,Spectra Energy,,3453996.0
NMR11206,637.0,0.0,483330.0,Garland,peicxsrhcrdxlneledjnefqkzuyjqkmnrkuapdbpfhphoopjkvwrndgjenwcstamwa,1-499-031-0004,1.0,S,60.0,O,Monsanto,7.0,2225319.0
Rpm11207,353.0,5.0,65875.0,Lancaster,Zxduinrlmawnepevlzdfmizsmmifnmikvmwotxevcnscokqefejbwiivsiabglnyhnwiej,1-082-082-3348,5.0,U,69.0,O,Integrys Energy Group,,544083.0
Phg11208,569.0,4.0,305998.0,Fontana,fctbemofeueha,1-842-255-9689,5.0,U,25.0,O,Laclede Group,2.0,1682799.0
Bwn11209,365.0,0.0,84172.0,Nashville,hbfahnupyuqjkwvznsxsjhlntxpfhxmfvpxjnydb,1-327-131-8875,4.0,U,21.0,R,Health Management Associates,2.0,1380864.0
HGV11210,348.0,2.0,228745.0,Washington,oambcnhdibjd,1-586-518-6942,4.0,U,38.0,R,Juniper Networks,2.0,1068218.0
RGG11211,819.0,2.0,329602.0,Mesquite,HIUIRTMKTKZJKUJXMRPNTYDPGRX,1-794-395-0071,5.0,U,70.0,O,Lubrizol,1.0,1714551.0
Hkx11212,554.0,3.0,116542.0,Virginia Beach,CGATFWHGKQEC,1-555-727-3281,4.0,M,29.0,,DRS Technologies,1.0,1054877.0
Fwn11213,478.0,1.0,356509.0,San Diego,,,2.0,S,39.0,U,AmeriCredit,6.0,1534581.0
Gtu11214,716.0,5.0,421287.0,Jackson,Vroepnpalttnsuixfaxygfdzgdmsqiwdmzubf,1-164-470-2706,5.0,M,,R,Raytheon,2.0,3125011.0
Aqw11215,404.0,3.0,296076.0,Idaho Falls,Lalaecbdllimi,1-600-665-8513,4.0,S,93.0,O,,10.0,659100.0
Dlb11216,544.0,,130659.0,Fort Collins,qlommwfncedbpjobdvphgkxeaasqrvthqwdf,1-107-686-0540,3.0,M,88.0,O,,6.0,1448603.0
npc11217,736.0,4.0,,Lexington,itaxhuupcybvnfspbxknlrvtxfclqpsrqwkknvqvusetftofrofqxqejpiydsilxiajhewlth,1-663-382-8230,4.0,M,28.0,R,Kla-Tencor,5.0,3730627.0
Osc11218,542.0,5.0,297262.0,Fayetteville,Nztjn,1-255-564-4632,1.0,M,62.0,O,Plains Exploration,5.0,814723.0
Olh11219,636.0,2.0,154673.0,Baltimore,EYXHYLIBPZEVJMICSOKKISNCVOGCZQUOZ,1-123-569-6644,1.0,S,72.0,R,Granite Construction,3.0,1879314.0
Vbs11220,361.0,3.0,,Phoenix,pzsyrhdckrgmjmmkwgjkyuusqsrjkbyphvujlaluvdim,1-494-686-0991,1.0,,85.0,O,Cabela's,7.0,937191.0
kng11221,308.0,0.0,36086.0,West Valley,sofftfedzdyreeyatnvyihep,1-679-486-9039,4.0,M,52.0,O,Hub Group,8.0,3465698.0
Les11222,555.0,2.0,293557.0,Rancho Cucamonga,ibvcvyruhdmkjttwyqr,1-570-775-4529,4.0,M,21.0,O,Sunoco,9.0,2808627.0
Nim11223,686.0,2.0,192150.0,St. Petersburg,Gofsmctjqgarxrjqpqkctxokjqhsfmjiocrmzhqxiwpgfz,1-980-275-8196,0.0,W,65.0,R,McDonald's,5.0,2408141.0
Yst11224,596.0,0.0,189404.0,Pasadena,ngesdtqwutiqfanx,1-672-259-4507,4.0,D,69.0,O,Dow Chemical,9.0,1109266.0
Tay11225,590.0,0.0,134981.0,Pittsburgh,Onzbvxqzaxlzunfwqfuzstnebrhozvktdbhpbnjaiorodi,1-923-160-8373,3.0,S,20.0,R,Travelers Cos.,7.0,1410948.0
Dxp11226,761.0,0.0,130837.0,Baltimore,Swxsyooifkdbfiurgtelqokhwsv,1-840-042-7421,5.0,S,73.0,U,Pacific Life,,1977154.0
mpb11227,469.0,0.0,281841.0,Oakland,Kzuhwqmsmctdkjodqmrlxqoqeiabtfkmgluaweotwruozbjgrcmptjjotrbsipfxnzuypporznsmxmbw,1-408-258-6122,4.0,S,79.0,O,Lockheed Martin,2.0,1167969.0
wsa11228,578.0,2.0,,Chandler,Pylilnoghrkdvwkbksvxwqmhljcatayxowjlgsftveoxjtxnk,1-609-892-9521,2.0,D,61.0,O,Mattel,3.0,2230844.0
Qlh11229,424.0,1.0,164027.0,Oshawa,Qgbrrbdfqphkjedzflhxljucgvcmgmxljjjcvdoin,1-930-066-1105,5.0,U,,R,Hewitt Associates,5.0,3031669.0
Nmo11230,550.0,4.0,462309.0,Bellevue,ETWJCKPBCKIZ,1-785-807-7455,3.0,U,88.0,O,Interpublic Group,0.0,1235970.0
han11231,595.0,0.0,436892.0,Lewiston,,1-158-482-0351,,W,46.0,O,McCormick,7.0,1409955.0
Mjl11232,690.0,4.0,162079.0,West Valley,jtklhswbqjkvnvcgskgxziqxfbfbhfaldvdixuuxdqrfrwucjxypdxejxnzwewsgi,1-705-248-0509,5.0,M,60.0,O,Ross Stores,2.0,2613791.0
Zuy11233,456.0,0.0,243380.0,Bridgeport,Wtomfjqxwwlunpaepociusekgcbwdntnuhcwyskngswolayxvgnexvdzuk,1-971-273-9316,1.0,W,58.0,O,Icahn Enterprises,5.0,
gcn11234,406.0,2.0,316002.0,Peoria,Vlaxhlhnziprqmmnvvcoic,1-131-833-8875,0.0,W,78.0,O,Williams,9.0,2747343.0
fmn11235,672.0,1.0,440853.0,Milwaukee,ceaxeheazggtguupcrbrmwdpxkqsksnyshiamkszbxtfwdkygsawlrhlhar,1-843-123-4063,2.0,W,92.0,U,Huntington Bancshares,3.0,2062648.0
SRW11236,594.0,3.0,19138.0,Reno,TDJDZTXE,1-116-177-4365,2.0,M,35.0,O,Hershey,0.0,2837974.0
Itu11237,433.0,4.0,287071.0,Escondido,Xvqjxmxggcwcazqzxubajoxymxhrzivytenuchyldjpesbgufxzmntpzg,1-313-261-4811,4.0,M,42.0,O,Avon Products,4.0,3995777.0
dwe11238,667.0,1.0,365741.0,Montgomery,Jmnya,1-349-618-0467,1.0,,29.0,O,Varian Medical Systems,9.0,1904958.0
GMB11239,,2.0,81412.0,Fargo,Lusokruulkxpdfomjtweydgziovpacvvprglaqiieghjfsy,1-359-871-4035,5.0,D,59.0,O,Baldor Electric,8.0,2422577.0
Dwe11240,781.0,1.0,351289.0,Phoenix,Spufsrghcorjdbwrwxbehxogtakaoskewerwxsgjoqkppbgxcdkxskvsjncxt,1-312-059-2732,0.0,M,74.0,R,Helix Energy Solutions Group,7.0,3637239.0
HVF11241,733.0,5.0,117226.0,Denver,Kbvdxduoofhiwcwicpmndrywjq,1-572-371-3797,5.0,M,61.0,O,Leggett & Platt,5.0,1283618.0
Zcb11242,832.0,3.0,377807.0,Salem,Nogksimvfdtjyghiakafuoxrstfusypruznufmrvbythkvkothsdsithstw,,3.0,M,85.0,O,Lockheed Martin,8.0,3892707.0
Ynp11243,810.0,4.0,76088.0,Fayetteville,FKRTPGHSZVRFCXCJMODEQKHFAJJOCXFUZTNZLVYEMOGQITLUPEAAUNWRAUEHDGOTFOOIGSURMF,1-677-245-7333,4.0,S,45.0,R,,6.0,2679837.0
Osi11244,665.0,2.0,362310.0,Tempe,fvetilspbepaxzpnfttxb,1-671-855-1457,2.0,W,,O,MasterCard,7.0,2147856.0
Luq11245,613.0,5.0,291871.0,Beaumont,PXTEPCJXIVFMWUFSLQXQTESBIRTVPNFW,1-611-389-3242,4.0,M,71.0,O,AFLAC,,1448391.0
Rgq11246,815.0,2.0,21046.0,Houston,VYABDFBGIITDFIGFJU,1-920-635-4208,0.0,M,79.0,O,IMS Health,5.0,1334212.0
cvt11247,726.0,5.0,417683.0,Dallas,TPREAKPVWOINJFQVCHUAUIKJMCLPAJTQMFWVNWRHVSTFFIUBXNOCQZQPRVOZFOM,1-302-370-7181,5.0,S,,R,Chemtura,5.0,
ajb11248,815.0,0.0,177143.0,Grand Rapids,Fslqwnegodegjncjuqfgubecfhhvpwhtlxungyczpbiqlpuchkfajnauosika,1-434-634-5403,0.0,M,62.0,R,Dell,2.0,762399.0
xpg11249,388.0,5.0,447237.0,Pueblo,IVOWDOSUAGZGXHICRDTUECYBJX,1-829-618-3623,4.0,U,,R,MGM Mirage,9.0,18399.0
Sxx11250,613.0,4.0,19891.0,Fayetteville,UNFWQMIKXFEVRLRCOCVAGGXJIIWCOBAMTDNQRXNAHUYKNFSUFGWICFRJCKIBOMEQUBMWTVREZY,1-891-864-5526,2.0,W,41.0,R,Trinity Industries,0.0,993962.0
vzp11251,365.0,1.0,232545.0,Anchorage,SBKASOTSQXAHHBADNRFUFIKNGJIINIJMVUHYKXKVFFGSQNTXXODGRSCMS,1-666-982-6284,3.0,M,19.0,R,Moog,6.0,2573906.0
