prospect_OwORF,prospect_NuCh,prospect_MarSta,prospect_AgID,prospect_Empl,prospect_Ge,prospect_NumCreCa,prospect_CrRat,prospect_FiN,prospect_Cou,prospect_AdL2,prospect_A,prospect_NuC,prospect_Ph,prospect_Ci,prospect_MidIni,prospect_PosC,prospect_AddrL1,prospect_LNa,prospect_St,prospect_NWor,prospect_Inc
O,0.0,D,Yfw13255,RPM International,f,1.0,333.0,huhobdl,United States of America,YPUWPQKWPL,96.0,1.0,1-382-735-0127,Biloxi,,Sdungmzu,Miutbqibvfxkarvziqbogcfwupxxjhztomhlnocdfamajcdfifflhdri,Yfwwxvjgnqoiwurbkjitanpfdzldk,UT,3777584.0,284326.0
R,,S,JJW13256,Staples,f,3.0,516.0,xfremibyy,United States of America,krthzupxyqstrvkjitoxfckbhqnpnxvxkcoodqmlalmytoxeleglbhofxeunskexydandmtfxyiefkd,92.0,,1-408-130-0965,Hialeah,W,EPFBIBJLFE,Uyjimrvueeievgnabxuofdqrclhvfcwaohxbkfhpuupvipdmlexkhjaujswouijfltodel,JJWGGLFHHIEJICMMGNMR,ND,3688022.0,51448.0
O,1.0,D,Wab13257,Alcoa,M,1.0,351.0,Fndemrfrigiljzasmdmblm,Canada,KTRJQCRUBAQSKDZS,88.0,1.0,1-938-427-7583,Montreal,f,LQDVABGW,Ilfvyocsrcbtujjpghsflzjucnlajidvwdgzezrxbcuafiyzuumkagugwbmdvpimxlnirnrlzq,Wabvq,MS,3462697.0,133021.0
R,4.0,U,CPI13258,State Street Corp.,F,7.0,304.0,EQHAXANOBUZQKZEWNCBNRZYN,United States of America,Jtsao,19.0,0.0,1-632-407-4063,Oshawa,,Rdezvwvdszp,Crbflrmgfwzfckfwzpadrhsdecnnnoyqggunjzbjryvfp,CPIJKREDVUDNVLE,MN,2780611.0,269064.0
O,2.0,U,BZC13259,Gap,,1.0,491.0,BBUVKPXGRT,United States of America,Eaqwnwlhxtrawlrioonhedanavvtwog,79.0,1.0,1-871-854-2212,Fayetteville,Q,Qqbmwzycl,Kvolmmqkorkeoyrvjoygbwlbrfq,BZCFCJUAEBCZBOGTZTQQJLGE,GA,1503671.0,
O,1.0,M,QIV13260,Owens Corning,M,5.0,594.0,BENIAUKRKRZVN,United States of America,Enzpgtbnzbezuqgydjekhtgjpbogmmjvafynshuwtw,40.0,2.0,1-475-831-3964,Vancouver,,gkiltrkqxml,CXOIKGSRVRERCXNEFEGGWNSUHCELLPXWOBNMDBOBHYRDTGCAAEDBPHFPPQOOBNMDYLGAPRBSEWUBK,QIVZSAHHXKHNTUVSKGFANR,Nova Scotia,3263203.0,298878.0
R,2.0,U,HKN13261,Curtiss-Wright,,7.0,664.0,Apvknvjzhclc,United States of America,thuwnxvcewm,85.0,0.0,1-907-551-3014,New York,Z,Dzlkuop,kjpektzonskgxbimbrdncuwjpretsyolpnauulpnsg,HKNKFPQBMD,VT,2761203.0,412000.0
O,0.0,D,GFL13262,Harley-Davidson,,9.0,836.0,mrauuzqbvnup,United States of America,Wphuxhenfshnbdmfjdsebjcqnujclhmxkkjfmneqx,92.0,0.0,1-574-065-0336,Windsor,,chrjnrm,Wojphxkugnfavdaoyftsueyltjoutxokoiqrmwaotbwwvdqesjetaiklzskqdsrxrai,GFLQKKZKICTSKXWUSDEGXVPJFTUMRL,IA,2500499.0,161918.0
O,0.0,S,PCR13263,CenturyTel,m,4.0,807.0,UYPWYMIYHMKKXIABRSOAO,Canada,Bledreqvzmzhkbfrqesnjunljzbrwjrrhdtugcobqrlzqyrkhebkhzawwgqiq,37.0,4.0,1-983-331-5503,Berkeley,,Kgbhipuuovxb,NXVDTV,PCRXDULLHCFVILQZNCNPUWOSK,CO,1031644.0,150257.0
O,3.0,M,Mxh13264,Magellan Health Services,,5.0,555.0,VGPQVIOIUHKQILAVWAEYNW,Canada,WJSNSXFE,49.0,4.0,1-913-754-4478,London,,pjxhfvict,Vkpcaqyrjav,Mxhzueedxguclnjhqtyej,KY,3245402.0,131378.0
R,1.0,U,Nun13265,Cooper-Standard Holdings,f,1.0,704.0,Pmvwdxlz,United States of America,MUULPQPMBXUDWZXJJOIYABDFACTIOLPIOGARMMDQDWOEPZOFJPWBPVOK,,0.0,1-968-682-4562,McAllen,t,Jnssq,qdrkylwdortaygisdbdkcbrhfotdecmnuxancwvculibugwbn,Nunleuaswk,NC,2532859.0,427824.0
O,4.0,S,zve13266,Costco Wholesale,,7.0,444.0,Reaewyvidnekmykydyt,United States of America,nxzuqbeegnltbiyvkotrxroepqmoqjbymmabe,81.0,1.0,1-126-684-7680,Gary,,Ophngwnyzgj,IRSSDGEEFKJQOHWXEYEVMVNIPGYGWFQMQLW,zveyys,AZ,3478268.0,432383.0
O,,S,Csi13267,Domtar,m,1.0,344.0,GWVVPFINYUZDFRIJEHWSIDRJIOY,Canada,Onyaofkjntgongkvwywoaudxrmplejvrumpugtrfhoqourkqyz,13.0,2.0,1-509-797-1506,Long Beach,Y,QSSDIQWNUFEN,ATIUEEWOTGBPFVXQELSOEQIIJCTVGKUYCMMLMYHLJLMTUBFEAXPUDNMMXHHKOUXECPEJU,Csinhgq,WA,,72261.0
U,5.0,U,Eek13268,Susser Holdings,f,7.0,728.0,Uonsfqgapprhrhdgo,United States of America,Kecufndwmjfygkzvfptthpbfnsucpswfcgebhoyfsuajbqodepxwsuoqroe,98.0,4.0,1-079-603-5559,Bellevue,X,RNXZHCFZZ,AUHLHUQENHSIFKPOYFVTTPJSTPDPYTR,Eekaktxhncnsenigjmlomilf,Newfoundland,2886374.0,2945.0
O,,S,RTU13269,Owens & Minor,,1.0,428.0,Twgumduxzypwraipdkjro,United States of America,Wvctragybfktdrjlcyfvzcefdobbewemkwxjne,61.0,3.0,1-003-595-8840,Plano,,Fzbvohtpbibi,Kseoxihjkzsdpternnipvosapdxpjplpsyekaoxfsd,RTULOHDRDPQPKNPISINWYBCSHTHLV,Saskatchewan,1521016.0,434739.0
U,5.0,,iah13270,Dick's Sporting Goods,,,732.0,Dmjtsomaurdewdgspgtuktdl,United States of America,,77.0,3.0,1-103-761-4145,Regina,,Acovlcfa,CEINTV,iahazgxasdfbrtxhneyycv,VA,2976268.0,316148.0
U,4.0,,cep13271,VWR Funding,,6.0,372.0,ulmjtam,United States of America,,55.0,5.0,1-169-001-0679,Bridgeport,,bcemigjbmuer,BOEFNAJBBDDKNJMNQSVBSEUVCCBECQCOWTHDJYBNZBDIIEWTMOBGVHXPQFNDNQYMPRVWHQVOTKX,cepsbyjknb,NY,1510723.0,164871.0
U,4.0,U,Xrj13272,Owens & Minor,f,5.0,427.0,Uagtoxmicfpgalkmg,United States of America,Edkdnqbhrzcbivhfqlgsbhsxrjietyxyquuccscjjucfrtpxlovopz,83.0,0.0,1-674-730-3777,Scottsdale,,avjoozh,gadynrdaysaazchvcpinoxdtjrvhpohhorrysalimgoiaibfsxeozigyt,Xrjebpexpcxppvgevfmlpqhi,MO,526799.0,480038.0
O,,M,OMN13273,Dover,F,1.0,765.0,Xfgszmjrpcgikazjuuujk,Canada,Pepwqcschemfzdpnelleosibudcvqgggfnvofcqdaehimradfjgffmptuxyprfkrkmrlgrxdexklj,82.0,4.0,1-679-489-9725,Manchester,,ymvix,Wvriudvijyhgcakjyumhmdjjowm,OMNUDOWKKKSOVGXTZN,CO,445239.0,91185.0
R,0.0,M,KGW13274,Varian Medical Systems,m,10.0,787.0,qgcjiilqqxriqbxjdjj,United States of America,hzlzcosyugytywvhawpmv,45.0,5.0,1-364-266-8678,Birmingham,,fxyetv,VVRNYFQODNXSN,KGWNFVBKVKRILAFDGASFCQXJDAP,British Columbia,2580124.0,480642.0
O,3.0,S,ETJ13275,Campbell Soup,,1.0,399.0,Emuvpxvsqvcjnkrakpsqtdbdeicac,United States of America,viuuabzubfftpfws,96.0,2.0,1-680-779-3336,Lubbock,,ycecl,Xdnnwjuapyllljqzsfzhwvwpngrbhffausacwoepjmxlxwivfuompuybauz,ETJYNUIWJNIITKVUZLTJHVAVHVBAVB,VT,484634.0,338137.0
O,1.0,W,odf13276,United Stationers,f,10.0,436.0,epusfugcfjnhndbx,Canada,vsaptguroofkstecfxiythlkeiazzqtrtykzxmpnzwworirjthfxtwpadrmbkjksmhejd,50.0,1.0,1-629-190-3998,Fort Collins,K,Nusabxe,Yngmrpjurfcvjhjtyruydagymrfnkknfgcfabp,odfgygnohhufopdzhfwxdayka,TN,3644428.0,151581.0
O,1.0,W,FJJ13277,,,10.0,769.0,Tjbbkbjmlptxizyzqpimqcqadjwn,Canada,Ounbuuw,7.0,1.0,1-333-190-4296,Anchorage,X,qnhkhbnconz,LURSEVMDXREGMVCBAPNTNVCOSDTJOHCDJXVBZJZ,FJJESBSIEQT,VA,382858.0,216513.0
R,4.0,U,Gry13278,Bed Bath & Beyond,M,6.0,719.0,Bucjsqarucmmaomcbtm,Canada,HDUAJOLXUVEBAOLMPGTQIIZSOJBIBDPXPVDHOHVT,68.0,,1-601-449-9825,Boston,,JRXXARORTL,Jfawkeeswa,Grywfjcjknfhslkt,NE,3994265.0,316902.0
O,5.0,M,Htg13279,Dole Food,,2.0,340.0,tgsdex,United States of America,xhtrn,31.0,5.0,1-802-639-5897,Long Beach,V,hefghnmso,Koeonnffouvghfgbtkugsnj,Htggjocfimxmmfobxadwwfja,WY,2294561.0,249323.0
O,2.0,M,Nck13280,MGIC Investment,,5.0,696.0,Euoksvzwrdqjow,United States of America,Mdrifmtubmgrtxkduusumewpwtujxoxfeioyemwxxfxksargvvdisbgiray,67.0,3.0,1-386-695-2443,Stamford,M,NAKQC,Iunpumjyfewxssizu,Nckixbtfccwdqloeptpuep,VT,3736725.0,180897.0
O,4.0,U,Ulu13281,UGI,m,6.0,429.0,Hhfzyghyllkxirhomrhgsccjsrhmv,Canada,Yhrnocudbzkowuqvfcwipeckwbrfqucwmngxqcocxuigqzzcxpexlldxuxkhhtgmhdxccwkubrtvovon,78.0,2.0,1-133-344-0698,Garden Grove,,Tppopzjbbkpm,Xzcoyiqtjpphosaicrbbwwuvdscu,Uluntczdvgnwm,FL,1373134.0,64683.0
U,3.0,S,ZMH13282,Packaging Corp. of America,,7.0,502.0,Fhnsalscqyeedefswwuwrl,Canada,RGPNAIBMTLTSJRKDVIGDIEYROYZYRMAGAFZDEVBRQWRFCMVQHASRXOGDEKGZMUR,61.0,5.0,1-648-894-4848,Flint,S,Ltmtuo,Oqfnkuywnqkjskkeoinnlupktcuugllarlqunvqbfmnnccuxixjdnoxtux,ZMHZQVXUQYSNYPIVVXDTCOVIPDHAJ,RI,2622298.0,116935.0
R,2.0,W,eso13283,Dominion Resources,F,5.0,849.0,Jqqnlhvtmnbqymynwnjoqqaotk,United States of America,Iqfoyjqsdlaiiqroumxwjjmusprsemmksfnpwprqlrnjiuwvlcstqgsfiaztgjy,81.0,1.0,1-350-570-6771,Richmond,,Rtxbz,Bxwhqdksc,esoarvks,CA,197048.0,84676.0
O,4.0,U,Uvw13284,State Farm Insurance Cos.,,1.0,,HOWVOBXXKZKBAMNBJND,United States of America,Grdqfosgfkoyjqjdsydkosdvquwubhrjhroyokfnvcbacungc,4.0,5.0,1-796-938-9443,Independence,Q,Qoqbrkwrj,vwrmgjrdsrjcrnudxxspjmhxvvqqpsxffkburraqsnkey,Uvwivesoxhdqcsmaqaxyc,TN,769987.0,22879.0
R,3.0,M,ejn13285,CarMax,f,0.0,827.0,EKVIOIERSZFEK,United States of America,mthxfvajledcgaigmfcmolkztpyqmg,20.0,2.0,1-945-448-9130,Halifax,,Xlxle,NKCHUZVBLQMGSSQPQEECMGETCCJOXHAMDZNWHERZDPKPULCPMPXZDZXPCKOVYNIY,ejnawdtboaajgqngttxzh,Newfoundland,2263759.0,6876.0
R,0.0,W,abg13286,Allergan,,3.0,377.0,Xshlqjyyykdqeeakxywbukaugj,United States of America,nysyupmujtvlkyhwcwwohilofavqdtlvaszsdakvjyozfinuzxbwgcyzddwrnbfp,68.0,5.0,1-652-817-1263,Lancaster,,Tadzvdwmk,xtoxzfpfdahjuoxhftdyeeicqxpdwudsmmj,abgbimyccytmfvhef,NM,1149508.0,423844.0
R,0.0,M,PPL13287,Vectren,M,5.0,428.0,Hbimisqfhdhfas,United States of America,IEBVLRCHXWGAJHNNYVIARIDSVVKBK,,4.0,1-287-586-7650,Burlington,y,ocngwjx,jsepghkxpbikmt,PPLTPYIMKVHZTRSONSOICMV,DC,,52513.0
R,1.0,M,Jiu13288,Analog Devices,,6.0,326.0,Waqkzfslhsqnj,United States of America,Eugghcgdmumaviewkeqnfkwvtsdvkazxwbrvrsrbjhdcidyechuhijlkfauqv,32.0,4.0,1-718-238-7850,Torrance,P,swgmcuxdux,Phykwcqzfxclpualudqaogwuxwslnbykwgzewpjthkiivqmdskunnruimlsdyj,Jiuew,Prince Edward Island,2142179.0,34540.0
O,5.0,,Ims13289,CommScope,,8.0,,IVNFMXUHLNKNQKLQ,United States of America,Xllyzeprukchxgdaweqauoskiwxmqqdzvbnwhqocfkhwpdtmplgskalgrxbqloll,25.0,1.0,1-766-959-6159,Portland,,EGYAHVCH,Xhxzkhkxglgziupspkofwndxdbmthquxcfovx,Imskilwbysuyrjhwtaurmm,LA,3456095.0,173732.0
O,4.0,M,kxr13290,Express Scripts,,3.0,789.0,Ebcetgrmdusfhkwlqijxchc,United States of America,uttkmpgofpnvltglavrqbhqhvvgiwrczfdynjeavyiduufwiubvthgrrvhgvdiipoogqfzyfoq,56.0,3.0,1-446-952-6459,Orlando,,FLTBWUK,ZZJGCEFVTHFGNFCEQUGXVRRTQQMKHXSJNXQDGGSZNHXBQQWXQCFUNGF,kxrmrctlrwohexobkcomup,CA,1797369.0,248640.0
O,1.0,S,Jpv13291,MEMC Electronic Materials,F,7.0,700.0,Rmislhw,Canada,Lvnrtrxvgogwgnltapxvnhzovoxlplgibzxtgearoydcgunvnxhnhuevzggljsfnhivhcjgmmvbebhy,90.0,5.0,1-327-961-7228,Beaumont,,Dgksmvlbaq,FWCQFPOMOHVNCFBGFDRBWADJXJWKKPCGSQKTVGKXATKRHKEPQXHRGAINBWG,Jpvgjcfkkjedzfktntzoktiw,LA,236958.0,439264.0
O,5.0,S,AUV13292,Las Vegas Sands,F,1.0,460.0,Ocubrzf,United States of America,GFVLKNXIJCBDXTSTFROQUKXIAJA,18.0,1.0,1-909-462-1614,Lancaster,,,cdciiormdlhrqivygsqfuhdwdtqxoexgqvowmzdgviggscrkwccyvxptvdozgumfgoncxcedewyua,AUVXBVQNFBBWWKEIVGCHG,NY,2916599.0,338039.0
O,4.0,M,lip13293,Regal-Beloit,,10.0,441.0,QIDHXL,United States of America,RMUYVPBMSIHFGXHVPHCGVJMWIBUDYHAYRANCWXUUIPCNAGTUZGFBCTJKIWHJEKAUV,49.0,2.0,1-088-568-0253,Nashville,,Vdkouhul,quxoxxtmgzbnmrsaulfyenqbjd,lipbleqkcaqilgjpurryzabkz,UT,830045.0,138898.0
R,4.0,M,Nfo13294,Murphy Oil,,4.0,542.0,Uofuytisp,United States of America,Jouyypisuuswovbtokq,55.0,5.0,1-900-597-3379,Charleston,,gecgtfvxouab,igqizsglieckfolqhermjtdnqvsxocpyinjpmmjoyimeadoprrvpqlziaaeimakbfyzpgjceqhjkodf,Nfomnrpywektufycjs,MO,3260198.0,465718.0
O,4.0,M,Wsz13295,SunGard Data Systems,,1.0,736.0,Paopa,United States of America,WVWESZERIABVHJTQZAPRJGEORKDAOEESG,43.0,,1-881-385-6273,Provo,,Kmlvthsl,Wskwbvkixqywnulhwuuiouornbespqyuzgtbvpkqnryeqxxvetubuxyvjnumgmsmuryxewhdxrjdou,Wszigvwkfsyt,WI,2286681.0,208991.0
O,4.0,S,qbc13296,Energy Transfer Equity,f,3.0,451.0,Uyjkarcjfhpdxtsqlirxlysbatho,Canada,pfldajeezhl,95.0,3.0,1-605-435-3346,Bridgeport,R,Emdktxpin,nsgqbcxmdvavuntxirwzvqlyqnjifebafrqelcxwdvpxjcaozuvzum,qbcgtarhyfwwwmvfn,NJ,2416195.0,237244.0
O,5.0,M,HWJ13297,Torchmark,,,620.0,Bhnolbqnulsabdukbkzc,United States of America,wlgjskvvbmpyqfolhumlwzhzoilfpmvbmyxa,39.0,0.0,1-458-069-0788,Charleston,s,Rqcazinms,KNXFCPZACRXEOMZMVVHZMOGSQIFETZMTDQBSPALTSZKVV,HWJYZUXJLMVHUY,NC,1506478.0,101559.0
U,2.0,S,ggf13298,3M,m,10.0,327.0,Bnnavebjbellkprchpcypnkubsip,United States of America,Lhboivagfqwyvqwnimgdcjlvpjtevy,46.0,3.0,1-464-238-0810,Syracuse,p,Brgxxpackcr,,ggfljpdptcptignjaxqya,Saskatchewan,3328580.0,55791.0
R,0.0,M,dvs13299,DTE Energy,F,7.0,744.0,JMEUVKQUPCEGWRRO,United States of America,RISZYDGMXSQEMPSTWYEXJPPTJFJECNCWOXZIPASNDQRKVWTFEHTBDWAOBTCGCILFCBNCCEEUPT,98.0,1.0,1-081-162-4468,El Monte,g,WKSDGYYN,OSASJKIAXOGOXAVVVVECPPDMOWUAZGWWOBTADYTCNAHNFLBXQDUWTHAGKAB,dvsti,VA,1482658.0,293690.0
O,1.0,,Mmk13300,HNI,f,10.0,,Pisbqriysjnuxlos,United States of America,,37.0,1.0,1-911-389-2850,Chesapeake,,RLAJNQM,PMLBAEEXJPBHTTHCMZVIPNTLDYKMHQHZ,Mmkruoaosytchvparck,WA,1623391.0,338565.0
O,0.0,M,Bpl13301,Legg Mason,,10.0,554.0,Igaaszlxumvzcz,United States of America,Iwyicvnuhglehmacutqgxgfokwxwgomwswmsyasldtbbicdrbbkkcahmyrzcyqzxak,27.0,4.0,1-794-660-0975,Huntington,,Qeeqxnxkk,caqhsqghpqsrxoivhuslikgynqeuihqbytvsexlkqgwkcrdgidqbcum,Bpljphrggidoo,VA,3810116.0,154961.0
U,0.0,M,Izs13302,Polaris Industries,m,4.0,694.0,ECHZWRRTLLOYCTJEMJPPONQ,United States of America,agbopelmbrdfgsflveuxjpjfjbqlvdgpsbejsbnytuxaqxrlgrrkmqnlwnjuqszqefwg,49.0,2.0,1-224-122-8069,Omaha,D,Uflgkjhluhj,dhjwxxsbsvvmhhglewwwntjiiffwysvrrsscov,Izsbdjvcbejoqtdfyipetoqeed,IL,3210053.0,196527.0
O,5.0,M,Tpv13303,BlackRock,,4.0,507.0,JBBAGLGANCBGIWUHQFOTDJVX,United States of America,Zklygkgilmmeplwgqpdopimaoeadmujuvnlypcbrmbuxpkji,7.0,3.0,1-516-909-3477,Fayetteville,,Ytpnflkvyhr,NODLPZHVEUIADUKUXZRGIHMISMYWQ,Tpvyfurwzqoplsymchnsztm,IA,2685602.0,315680.0
O,5.0,U,Qgq13304,Lubrizol,,2.0,809.0,DQXACHNAUXJQZLDSBELFG,United States of America,Pyibsj,83.0,5.0,1-138-341-8864,London,R,xuzfyelrdtzq,ICOBYWAUGJKRMZVQBLZFDP,Qgqacfcmjhaudgxwqiivhbrjz,MA,112786.0,415427.0
U,4.0,D,Pir13305,Asbury Automotive Group,M,0.0,362.0,Frvfkbmecfpqtusfznjvf,United States of America,Vcpfeulnemlsydckmhdvksbyimvjmqgdxaxbidxwqmbpeigyctos,85.0,4.0,1-570-136-0551,West Valley,,XDOAYETOUM,FGDABTKPRMHVMQEDPTZA,Pirnd,MO,3368397.0,104727.0
O,4.0,M,Mmg13306,Sauer-Danfoss,f,2.0,329.0,Aoszeqrbkpwkucpkqcrgxxmoco,United States of America,Eynpzzuafmjzwoui,87.0,5.0,1-066-670-5957,Rapid City,,Ncrqhelezez,,Mmgznzekjeebetihawhijggq,IN,46485.0,308515.0
O,5.0,U,SZX13307,Ralcorp Holdings,M,9.0,303.0,WLRGFUYFXFCOXHLIORVLIIYBQHGZ,Canada,Rdvnnqacigdyvgvdhhqdjswxnggartapgxwahifcodhgtwgkjsjbfdkdlmsh,22.0,5.0,1-808-944-2055,Biloxi,,mntonucdqjt,REEAYSXUHXRDPMQYIXUPQRMFUOGOREIC,SZXMFDAIRXWVWVZESMSLLW,British Columbia,198873.0,123475.0
R,2.0,U,hmd13308,Benchmark Electronics,,8.0,656.0,Vxmsbwkqy,United States of America,nsgfivaqlaocatwouhprrnvagrbonnonurobrwcaycgvptytawt,86.0,3.0,1-589-355-0258,Charlottetown,Z,Ttyixxkfz,EBSNXXBOVCTLKAWMHYIIQCRSPHCSOEKWAUOG,hmdcaucdsafzgm,MD,3063829.0,103004.0
,2.0,M,Qjm13309,PG&E Corp.,f,4.0,710.0,Ppibejqzyepwgspezjsea,Canada,,46.0,0.0,1-647-652-7574,Jacksonville,,Znlnlzxhh,Nvitrekpngdhsjfesxixfeizrmofpatyfvgcxihsrxijsewuz,Qjmmsxugrwqo,FL,447917.0,267070.0
R,2.0,U,Djl13310,,F,1.0,619.0,xbitznxudwydsuui,United States of America,XBKJEDNTQVYVEFDGPRDUCUQALSXELXTX,,3.0,1-526-427-3269,St. Johns,,kkavkdpxek,RTDGEEXXUZBPDFHVABKEOZWKBHWWFOIXIAMDLIQHIWGMINGWTBHXZNIQVSCDTSRUGGOABBPOPXQXT,Djlceiu,HI,2301005.0,127017.0
O,2.0,W,nos13311,Casey's General Stores,,8.0,516.0,fplwwkvmfaozeiw,Canada,Laiszjxakbluopmsejpytqmxrakzxv,4.0,4.0,1-330-614-1445,Hilo,,TGKMRHT,Ooeyopjxaiksqhjtrrfvlobtqirkgbfsrmvahghsala,nosvswtloteuwqpftqfdv,WI,1261825.0,304221.0
O,1.0,M,yse13312,Safeway,m,1.0,545.0,WVGBGQYHCSRDNFPEUDLNARHSIHSXNO,Canada,Npllawldpzjqggmoxb,94.0,1.0,1-760-007-7116,Ann Arbor,,YCKJXU,slfsindqxaycldhibqkpnmnxduwhncbaa,ysezsasuxu,WY,910255.0,443773.0
R,5.0,S,Sbu13313,Bon-Ton Stores,,0.0,811.0,aqvjndtsknefbjhioo,Canada,Wsszxjwwcumnxvlqgvzqpjvapxunhzbcadskggrxaailjtoswp,68.0,4.0,1-955-025-6844,Pembroke Pines,J,PTHNF,Xujvegtpyhoaslhkxwasrnwnzoyaqr,Sbuzxxvnt,OK,1821823.0,287856.0
O,2.0,M,ytz13314,GameStop,M,,,Iqunpkqrkjyhgnjed,United States of America,BJQEJTPRSOOIWRXPDKXLLZNKCYMHRTIUPXQLRBAFIXZDLJPRVASEETD,84.0,4.0,1-839-197-5686,Boston,O,xregvkuvgje,ZMARSSQPOXM,ytzvmwjfjxgpvks,VT,2199015.0,235513.0
O,3.0,S,Fce13315,Cooper-Standard Holdings,F,2.0,392.0,pqxmyuenkdxgwxhtatfks,Canada,Hoapfmenaqzlxjerjjvbcajolrcacxborjwufdqtu,0.0,2.0,1-423-036-6301,Palmdale,,Bzxtukntjmuh,Ijsvbctldjgsvxhz,Fcebdc,OK,3734037.0,168446.0
O,3.0,U,Ynb13316,AmeriCredit,m,,379.0,ASXIXIALHAUJRIHNOCWCKCLTWDJM,United States of America,kozwojnlvktbowfuylhoqhdzodc,3.0,4.0,1-236-597-5459,Torrance,h,Easiqoozh,Lonkdbturiatgrvgekqnl,Ynbxvywuhgcunwdcegylutj,GA,,158347.0
O,3.0,U,zur13317,Black & Decker,F,4.0,432.0,kzqficctkkinccrxy,United States of America,JCGDWYIOSWPYPSDQVLQKIUWAECPKOMPFMGDAUXZHDKMWJPVWRHMBVBAQRBHNSJTPSMAOKLNCT,8.0,1.0,1-248-353-0225,Richmond,e,XTIAQE,Sfcizcekzhpkwcuqyuqfukkdxmnq,zurvujhqr,UT,1405386.0,252112.0
O,3.0,U,Kfi13318,Holly,m,2.0,414.0,KOBQXX,,Tmiiaccongbnxjxsljpfrsonqnsbpbiskgcalussbka,100.0,0.0,1-747-947-1632,Pembroke Pines,a,Vzcbixlj,Lxiigptgqrsegiegbzpoiwoounpscxpkticgfzysnvpdjqhonfsna,Kfilcbusfxvc,NV,278240.0,64619.0
R,3.0,,Kky13319,Kraft Foods,M,3.0,557.0,SQVFIJAZSRPOSXHAGBRKMGMO,United States of America,GKXENFBKJJQEAYUAQWHHVKBSDSMUAEYOEJMAQIYZXZNNWPPLCDPWZKYLELUMQF,0.0,4.0,1-824-966-8091,Raleigh,E,,Xqdeojykhdmxlxtueyimphngtuhrqcpsxogvhhcszzomaxqkmhqum,Kkyhpxjvtgjhkqoytzrrocgelq,OR,,351408.0
R,3.0,,JHT13320,Questar,M,4.0,620.0,Vvsyuntoyqixxsbrvmj,United States of America,xmbvyvlxeqlctealxa,90.0,3.0,1-097-243-8273,Pembroke Pines,,xtmcwdbpwdv,gnuuwqjvbkqcxntkgprfeogalfxwbejayqycyzvbkunfslig,JHTMZXEJLQTQKBBEHGPA,VT,1401347.0,15690.0
O,5.0,M,AGE13321,Biogen Idec,f,9.0,603.0,Rjeeyehqqcnnsmpm,Canada,SIQFDLYSOOBSNQPFJTPAZPLJVNDWHPVBFSLYHLUTLYXKYGNPWI,100.0,3.0,1-263-598-1053,Scottsdale,,OAYHHW,Zswxuknigikaoncrdplasenykmxgoqehdyrlnxasqdrlqgopkdsmmuowmbdbezlzfflzhudeoikr,AGEVVQPRKZDR,SD,989289.0,100473.0
R,,U,BPP13322,Polo Ralph Lauren,m,4.0,544.0,Nmlkfbjgfctssviiiw,United States of America,Kitoarfbibiziermhhmmumivjlkmnypoitokzenlegwxnvizpsgfcdushcgtvbhrn,60.0,,1-474-374-1560,San Francisco,e,Vdahuxrb,ipgtyrmetntkcd,BPPJCSQBP,NM,2424799.0,79867.0
O,1.0,S,Uxt13323,Icahn Enterprises,m,2.0,568.0,KISSIYPETBMRTSEI,United States of America,exxegpyauodkwxdfu,12.0,1.0,1-074-245-5912,Berkeley,L,Nahlg,Wvwucqsjywwbgaojgqcejytptgiiplbnihfizhcovlkulphoaozajcubddlulauaoaz,Uxtyowqpfwlje,TX,1819852.0,402837.0
R,0.0,,wro13324,NBTY,,6.0,609.0,Oewwziucxwaptwqlwzk,United States of America,GVRYVCU,37.0,3.0,1-154-643-3643,Sherbrooke,,DBEKWLQUH,Xapvnfturoazlpyncbljvrgwfpijmfnfb,wropnrdvvbapxfoq,OH,1333649.0,182885.0
O,4.0,M,Qfx13325,NYSE Euronext,M,4.0,558.0,Yohdrxohrkhmqwnryvbeo,United States of America,Milzkwvcdfsrfgrw,80.0,2.0,,San Francisco,,Gmlpzoxetwz,spxisnbqxwilnirbfraqxmfrqsjngldmmns,Qfxdqcyiiphpsmaftgkld,TX,970779.0,450158.0
,4.0,D,ejr13326,ScanSource,m,0.0,725.0,Axlayducdriiqc,Canada,LHTDEWHBSTLCPF,65.0,4.0,1-154-681-6410,San Buenaventura,R,twaojstrzyhi,UETALRPVUROWOXFHRCRDKZLLKUMPKKUWFGUMAPBDSVWAVPFNXMUGYSWAN,ejrvjbvhphkqdehuuunmzlsdfibvg,NM,2287116.0,285716.0
O,1.0,M,PEX13327,Dr Pepper Snapple Group,F,6.0,513.0,REOWCQDOUBDFWX,United States of America,Wwecuwkqkatpseujjilh,27.0,3.0,1-108-812-3106,Las Vegas,D,ERSDPKSNBDDN,Cputopy,PEXHH,NV,3959338.0,492831.0
R,3.0,M,Hxn13328,ProLogis,f,10.0,409.0,ojxehjjuekij,United States of America,Touhtjrlfwbbjmteketaqdslrstjcsdvergtndvlvrucvuyegeyiuxogiiiy,85.0,1.0,1-911-364-9127,Brownsville,,Gdjthpivol,SITWQONUFSJOIDCGMSQECVMXHSPIPMIABMEFVPTROVFSBV,Hxnscfwbnrzqfzobf,IA,165621.0,27955.0
