gndr,ddrssln1,cntr,mddlntl,ncm,lstnm,nmbrcrdtcrds,phn,stt,wnrrntflg,ct,g,frstnm,mplr,pstlcd,nmbrchldrn,ddrssln2,crdtrtng,ntwrth,gncd,nmbrcrs,mrtlstts
f,qdrkylwdortaygisdbdkcbrhfotdecmnuxancwvculibugwbn,United States of America,t,427824.0,Nunleuaswk,1.0,1-968-682-4562,NC,R,McAllen,,Pmvwdxlz,Cooper-Standard Holdings,Jnssq,1.0,MUULPQPMBXUDWZXJJOIYABDFACTIOLPIOGARMMDQDWOEPZOFJPWBPVOK,704.0,2532859.0,Nun13265,0.0,U
,IRSSDGEEFKJQOHWXEYEVMVNIPGYGWFQMQLW,United States of America,,432383.0,zveyys,7.0,1-126-684-7680,AZ,O,Gary,81.0,Reaewyvidnekmykydyt,Costco Wholesale,Ophngwnyzgj,4.0,nxzuqbeegnltbiyvkotrxroepqmoqjbymmabe,444.0,3478268.0,zve13266,1.0,S
m,ATIUEEWOTGBPFVXQELSOEQIIJCTVGKUYCMMLMYHLJLMTUBFEAXPUDNMMXHHKOUXECPEJU,Canada,Y,72261.0,Csinhgq,1.0,1-509-797-1506,WA,O,Long Beach,13.0,GWVVPFINYUZDFRIJEHWSIDRJIOY,Domtar,QSSDIQWNUFEN,,Onyaofkjntgongkvwywoaudxrmplejvrumpugtrfhoqourkqyz,344.0,,Csi13267,2.0,S
f,AUHLHUQENHSIFKPOYFVTTPJSTPDPYTR,United States of America,X,2945.0,Eekaktxhncnsenigjmlomilf,7.0,1-079-603-5559,Newfoundland,U,Bellevue,98.0,Uonsfqgapprhrhdgo,Susser Holdings,RNXZHCFZZ,5.0,Kecufndwmjfygkzvfptthpbfnsucpswfcgebhoyfsuajbqodepxwsuoqroe,728.0,2886374.0,Eek13268,4.0,U
,Kseoxihjkzsdpternnipvosapdxpjplpsyekaoxfsd,United States of America,,434739.0,RTULOHDRDPQPKNPISINWYBCSHTHLV,1.0,1-003-595-8840,Saskatchewan,O,Plano,61.0,Twgumduxzypwraipdkjro,Owens & Minor,Fzbvohtpbibi,,Wvctragybfktdrjlcyfvzcefdobbewemkwxjne,428.0,1521016.0,RTU13269,3.0,S
,CEINTV,United States of America,,316148.0,iahazgxasdfbrtxhneyycv,,1-103-761-4145,VA,U,Regina,77.0,Dmjtsomaurdewdgspgtuktdl,Dick's Sporting Goods,Acovlcfa,5.0,,732.0,2976268.0,iah13270,3.0,
,BOEFNAJBBDDKNJMNQSVBSEUVCCBECQCOWTHDJYBNZBDIIEWTMOBGVHXPQFNDNQYMPRVWHQVOTKX,United States of America,,164871.0,cepsbyjknb,6.0,1-169-001-0679,NY,U,Bridgeport,55.0,ulmjtam,VWR Funding,bcemigjbmuer,4.0,,372.0,1510723.0,cep13271,5.0,
f,gadynrdaysaazchvcpinoxdtjrvhpohhorrysalimgoiaibfsxeozigyt,United States of America,,480038.0,Xrjebpexpcxppvgevfmlpqhi,5.0,1-674-730-3777,MO,U,Scottsdale,83.0,Uagtoxmicfpgalkmg,Owens & Minor,avjoozh,4.0,Edkdnqbhrzcbivhfqlgsbhsxrjietyxyquuccscjjucfrtpxlovopz,427.0,526799.0,Xrj13272,0.0,U
F,Wvriudvijyhgcakjyumhmdjjowm,Canada,,91185.0,OMNUDOWKKKSOVGXTZN,1.0,1-679-489-9725,CO,O,Manchester,82.0,Xfgszmjrpcgikazjuuujk,Dover,ymvix,,Pepwqcschemfzdpnelleosibudcvqgggfnvofcqdaehimradfjgffmptuxyprfkrkmrlgrxdexklj,765.0,445239.0,OMN13273,4.0,M
m,VVRNYFQODNXSN,United States of America,,480642.0,KGWNFVBKVKRILAFDGASFCQXJDAP,10.0,1-364-266-8678,British Columbia,R,Birmingham,45.0,qgcjiilqqxriqbxjdjj,Varian Medical Systems,fxyetv,0.0,hzlzcosyugytywvhawpmv,787.0,2580124.0,KGW13274,5.0,M
,Xdnnwjuapyllljqzsfzhwvwpngrbhffausacwoepjmxlxwivfuompuybauz,United States of America,,338137.0,ETJYNUIWJNIITKVUZLTJHVAVHVBAVB,1.0,1-680-779-3336,VT,O,Lubbock,96.0,Emuvpxvsqvcjnkrakpsqtdbdeicac,Campbell Soup,ycecl,3.0,viuuabzubfftpfws,399.0,484634.0,ETJ13275,2.0,S
f,Yngmrpjurfcvjhjtyruydagymrfnkknfgcfabp,Canada,K,151581.0,odfgygnohhufopdzhfwxdayka,10.0,1-629-190-3998,TN,O,Fort Collins,50.0,epusfugcfjnhndbx,United Stationers,Nusabxe,1.0,vsaptguroofkstecfxiythlkeiazzqtrtykzxmpnzwworirjthfxtwpadrmbkjksmhejd,436.0,3644428.0,odf13276,1.0,W
,LURSEVMDXREGMVCBAPNTNVCOSDTJOHCDJXVBZJZ,Canada,X,216513.0,FJJESBSIEQT,10.0,1-333-190-4296,VA,O,Anchorage,7.0,Tjbbkbjmlptxizyzqpimqcqadjwn,,qnhkhbnconz,1.0,Ounbuuw,769.0,382858.0,FJJ13277,1.0,W
M,Jfawkeeswa,Canada,,316902.0,Grywfjcjknfhslkt,6.0,1-601-449-9825,NE,R,Boston,68.0,Bucjsqarucmmaomcbtm,Bed Bath & Beyond,JRXXARORTL,4.0,HDUAJOLXUVEBAOLMPGTQIIZSOJBIBDPXPVDHOHVT,719.0,3994265.0,Gry13278,,U
,Koeonnffouvghfgbtkugsnj,United States of America,V,249323.0,Htggjocfimxmmfobxadwwfja,2.0,1-802-639-5897,WY,O,Long Beach,31.0,tgsdex,Dole Food,hefghnmso,5.0,xhtrn,340.0,2294561.0,Htg13279,5.0,M
,Iunpumjyfewxssizu,United States of America,M,180897.0,Nckixbtfccwdqloeptpuep,5.0,1-386-695-2443,VT,O,Stamford,67.0,Euoksvzwrdqjow,MGIC Investment,NAKQC,2.0,Mdrifmtubmgrtxkduusumewpwtujxoxfeioyemwxxfxksargvvdisbgiray,696.0,3736725.0,Nck13280,3.0,M
m,Xzcoyiqtjpphosaicrbbwwuvdscu,Canada,,64683.0,Uluntczdvgnwm,6.0,1-133-344-0698,FL,O,Garden Grove,78.0,Hhfzyghyllkxirhomrhgsccjsrhmv,UGI,Tppopzjbbkpm,4.0,Yhrnocudbzkowuqvfcwipeckwbrfqucwmngxqcocxuigqzzcxpexlldxuxkhhtgmhdxccwkubrtvovon,429.0,1373134.0,Ulu13281,2.0,U
,Oqfnkuywnqkjskkeoinnlupktcuugllarlqunvqbfmnnccuxixjdnoxtux,Canada,S,116935.0,ZMHZQVXUQYSNYPIVVXDTCOVIPDHAJ,7.0,1-648-894-4848,RI,U,Flint,61.0,Fhnsalscqyeedefswwuwrl,Packaging Corp. of America,Ltmtuo,3.0,RGPNAIBMTLTSJRKDVIGDIEYROYZYRMAGAFZDEVBRQWRFCMVQHASRXOGDEKGZMUR,502.0,2622298.0,ZMH13282,5.0,S
F,Bxwhqdksc,United States of America,,84676.0,esoarvks,5.0,1-350-570-6771,CA,R,Richmond,81.0,Jqqnlhvtmnbqymynwnjoqqaotk,Dominion Resources,Rtxbz,2.0,Iqfoyjqsdlaiiqroumxwjjmusprsemmksfnpwprqlrnjiuwvlcstqgsfiaztgjy,849.0,197048.0,eso13283,1.0,W
,vwrmgjrdsrjcrnudxxspjmhxvvqqpsxffkburraqsnkey,United States of America,Q,22879.0,Uvwivesoxhdqcsmaqaxyc,1.0,1-796-938-9443,TN,O,Independence,4.0,HOWVOBXXKZKBAMNBJND,State Farm Insurance Cos.,Qoqbrkwrj,4.0,Grdqfosgfkoyjqjdsydkosdvquwubhrjhroyokfnvcbacungc,,769987.0,Uvw13284,5.0,U
f,NKCHUZVBLQMGSSQPQEECMGETCCJOXHAMDZNWHERZDPKPULCPMPXZDZXPCKOVYNIY,United States of America,,6876.0,ejnawdtboaajgqngttxzh,0.0,1-945-448-9130,Newfoundland,R,Halifax,20.0,EKVIOIERSZFEK,CarMax,Xlxle,3.0,mthxfvajledcgaigmfcmolkztpyqmg,827.0,2263759.0,ejn13285,2.0,M
,xtoxzfpfdahjuoxhftdyeeicqxpdwudsmmj,United States of America,,423844.0,abgbimyccytmfvhef,3.0,1-652-817-1263,NM,R,Lancaster,68.0,Xshlqjyyykdqeeakxywbukaugj,Allergan,Tadzvdwmk,0.0,nysyupmujtvlkyhwcwwohilofavqdtlvaszsdakvjyozfinuzxbwgcyzddwrnbfp,377.0,1149508.0,abg13286,5.0,W
M,jsepghkxpbikmt,United States of America,y,52513.0,PPLTPYIMKVHZTRSONSOICMV,5.0,1-287-586-7650,DC,R,Burlington,,Hbimisqfhdhfas,Vectren,ocngwjx,0.0,IEBVLRCHXWGAJHNNYVIARIDSVVKBK,428.0,,PPL13287,4.0,M
,Phykwcqzfxclpualudqaogwuxwslnbykwgzewpjthkiivqmdskunnruimlsdyj,United States of America,P,34540.0,Jiuew,6.0,1-718-238-7850,Prince Edward Island,R,Torrance,32.0,Waqkzfslhsqnj,Analog Devices,swgmcuxdux,1.0,Eugghcgdmumaviewkeqnfkwvtsdvkazxwbrvrsrbjhdcidyechuhijlkfauqv,326.0,2142179.0,Jiu13288,4.0,M
,Xhxzkhkxglgziupspkofwndxdbmthquxcfovx,United States of America,,173732.0,Imskilwbysuyrjhwtaurmm,8.0,1-766-959-6159,LA,O,Portland,25.0,IVNFMXUHLNKNQKLQ,CommScope,EGYAHVCH,5.0,Xllyzeprukchxgdaweqauoskiwxmqqdzvbnwhqocfkhwpdtmplgskalgrxbqloll,,3456095.0,Ims13289,1.0,
,ZZJGCEFVTHFGNFCEQUGXVRRTQQMKHXSJNXQDGGSZNHXBQQWXQCFUNGF,United States of America,,248640.0,kxrmrctlrwohexobkcomup,3.0,1-446-952-6459,CA,O,Orlando,56.0,Ebcetgrmdusfhkwlqijxchc,Express Scripts,FLTBWUK,4.0,uttkmpgofpnvltglavrqbhqhvvgiwrczfdynjeavyiduufwiubvthgrrvhgvdiipoogqfzyfoq,789.0,1797369.0,kxr13290,3.0,M
F,FWCQFPOMOHVNCFBGFDRBWADJXJWKKPCGSQKTVGKXATKRHKEPQXHRGAINBWG,Canada,,439264.0,Jpvgjcfkkjedzfktntzoktiw,7.0,1-327-961-7228,LA,O,Beaumont,90.0,Rmislhw,MEMC Electronic Materials,Dgksmvlbaq,1.0,Lvnrtrxvgogwgnltapxvnhzovoxlplgibzxtgearoydcgunvnxhnhuevzggljsfnhivhcjgmmvbebhy,700.0,236958.0,Jpv13291,5.0,S
F,cdciiormdlhrqivygsqfuhdwdtqxoexgqvowmzdgviggscrkwccyvxptvdozgumfgoncxcedewyua,United States of America,,338039.0,AUVXBVQNFBBWWKEIVGCHG,1.0,1-909-462-1614,NY,O,Lancaster,18.0,Ocubrzf,Las Vegas Sands,,5.0,GFVLKNXIJCBDXTSTFROQUKXIAJA,460.0,2916599.0,AUV13292,1.0,S
,quxoxxtmgzbnmrsaulfyenqbjd,United States of America,,138898.0,lipbleqkcaqilgjpurryzabkz,10.0,1-088-568-0253,UT,O,Nashville,49.0,QIDHXL,Regal-Beloit,Vdkouhul,4.0,RMUYVPBMSIHFGXHVPHCGVJMWIBUDYHAYRANCWXUUIPCNAGTUZGFBCTJKIWHJEKAUV,441.0,830045.0,lip13293,2.0,M
,igqizsglieckfolqhermjtdnqvsxocpyinjpmmjoyimeadoprrvpqlziaaeimakbfyzpgjceqhjkodf,United States of America,,465718.0,Nfomnrpywektufycjs,4.0,1-900-597-3379,MO,R,Charleston,55.0,Uofuytisp,Murphy Oil,gecgtfvxouab,4.0,Jouyypisuuswovbtokq,542.0,3260198.0,Nfo13294,5.0,M
,Wskwbvkixqywnulhwuuiouornbespqyuzgtbvpkqnryeqxxvetubuxyvjnumgmsmuryxewhdxrjdou,United States of America,,208991.0,Wszigvwkfsyt,1.0,1-881-385-6273,WI,O,Provo,43.0,Paopa,SunGard Data Systems,Kmlvthsl,4.0,WVWESZERIABVHJTQZAPRJGEORKDAOEESG,736.0,2286681.0,Wsz13295,,M
f,nsgqbcxmdvavuntxirwzvqlyqnjifebafrqelcxwdvpxjcaozuvzum,Canada,R,237244.0,qbcgtarhyfwwwmvfn,3.0,1-605-435-3346,NJ,O,Bridgeport,95.0,Uyjkarcjfhpdxtsqlirxlysbatho,Energy Transfer Equity,Emdktxpin,4.0,pfldajeezhl,451.0,2416195.0,qbc13296,3.0,S
,KNXFCPZACRXEOMZMVVHZMOGSQIFETZMTDQBSPALTSZKVV,United States of America,s,101559.0,HWJYZUXJLMVHUY,,1-458-069-0788,NC,O,Charleston,39.0,Bhnolbqnulsabdukbkzc,Torchmark,Rqcazinms,5.0,wlgjskvvbmpyqfolhumlwzhzoilfpmvbmyxa,620.0,1506478.0,HWJ13297,0.0,M
m,,United States of America,p,55791.0,ggfljpdptcptignjaxqya,10.0,1-464-238-0810,Saskatchewan,U,Syracuse,46.0,Bnnavebjbellkprchpcypnkubsip,3M,Brgxxpackcr,2.0,Lhboivagfqwyvqwnimgdcjlvpjtevy,327.0,3328580.0,ggf13298,3.0,S
F,OSASJKIAXOGOXAVVVVECPPDMOWUAZGWWOBTADYTCNAHNFLBXQDUWTHAGKAB,United States of America,g,293690.0,dvsti,7.0,1-081-162-4468,VA,R,El Monte,98.0,JMEUVKQUPCEGWRRO,DTE Energy,WKSDGYYN,0.0,RISZYDGMXSQEMPSTWYEXJPPTJFJECNCWOXZIPASNDQRKVWTFEHTBDWAOBTCGCILFCBNCCEEUPT,744.0,1482658.0,dvs13299,1.0,M
f,PMLBAEEXJPBHTTHCMZVIPNTLDYKMHQHZ,United States of America,,338565.0,Mmkruoaosytchvparck,10.0,1-911-389-2850,WA,O,Chesapeake,37.0,Pisbqriysjnuxlos,HNI,RLAJNQM,1.0,,,1623391.0,Mmk13300,1.0,
,caqhsqghpqsrxoivhuslikgynqeuihqbytvsexlkqgwkcrdgidqbcum,United States of America,,154961.0,Bpljphrggidoo,10.0,1-794-660-0975,VA,O,Huntington,27.0,Igaaszlxumvzcz,Legg Mason,Qeeqxnxkk,0.0,Iwyicvnuhglehmacutqgxgfokwxwgomwswmsyasldtbbicdrbbkkcahmyrzcyqzxak,554.0,3810116.0,Bpl13301,4.0,M
m,dhjwxxsbsvvmhhglewwwntjiiffwysvrrsscov,United States of America,D,196527.0,Izsbdjvcbejoqtdfyipetoqeed,4.0,1-224-122-8069,IL,U,Omaha,49.0,ECHZWRRTLLOYCTJEMJPPONQ,Polaris Industries,Uflgkjhluhj,0.0,agbopelmbrdfgsflveuxjpjfjbqlvdgpsbejsbnytuxaqxrlgrrkmqnlwnjuqszqefwg,694.0,3210053.0,Izs13302,2.0,M
,NODLPZHVEUIADUKUXZRGIHMISMYWQ,United States of America,,315680.0,Tpvyfurwzqoplsymchnsztm,4.0,1-516-909-3477,IA,O,Fayetteville,7.0,JBBAGLGANCBGIWUHQFOTDJVX,BlackRock,Ytpnflkvyhr,5.0,Zklygkgilmmeplwgqpdopimaoeadmujuvnlypcbrmbuxpkji,507.0,2685602.0,Tpv13303,3.0,M
,ICOBYWAUGJKRMZVQBLZFDP,United States of America,R,415427.0,Qgqacfcmjhaudgxwqiivhbrjz,2.0,1-138-341-8864,MA,O,London,83.0,DQXACHNAUXJQZLDSBELFG,Lubrizol,xuzfyelrdtzq,5.0,Pyibsj,809.0,112786.0,Qgq13304,5.0,U
M,FGDABTKPRMHVMQEDPTZA,United States of America,,104727.0,Pirnd,0.0,1-570-136-0551,MO,U,West Valley,85.0,Frvfkbmecfpqtusfznjvf,Asbury Automotive Group,XDOAYETOUM,4.0,Vcpfeulnemlsydckmhdvksbyimvjmqgdxaxbidxwqmbpeigyctos,362.0,3368397.0,Pir13305,4.0,D
f,,United States of America,,308515.0,Mmgznzekjeebetihawhijggq,2.0,1-066-670-5957,IN,O,Rapid City,87.0,Aoszeqrbkpwkucpkqcrgxxmoco,Sauer-Danfoss,Ncrqhelezez,4.0,Eynpzzuafmjzwoui,329.0,46485.0,Mmg13306,5.0,M
M,REEAYSXUHXRDPMQYIXUPQRMFUOGOREIC,Canada,,123475.0,SZXMFDAIRXWVWVZESMSLLW,9.0,1-808-944-2055,British Columbia,O,Biloxi,22.0,WLRGFUYFXFCOXHLIORVLIIYBQHGZ,Ralcorp Holdings,mntonucdqjt,5.0,Rdvnnqacigdyvgvdhhqdjswxnggartapgxwahifcodhgtwgkjsjbfdkdlmsh,303.0,198873.0,SZX13307,5.0,U
,EBSNXXBOVCTLKAWMHYIIQCRSPHCSOEKWAUOG,United States of America,Z,103004.0,hmdcaucdsafzgm,8.0,1-589-355-0258,MD,R,Charlottetown,86.0,Vxmsbwkqy,Benchmark Electronics,Ttyixxkfz,2.0,nsgfivaqlaocatwouhprrnvagrbonnonurobrwcaycgvptytawt,656.0,3063829.0,hmd13308,3.0,U
f,Nvitrekpngdhsjfesxixfeizrmofpatyfvgcxihsrxijsewuz,Canada,,267070.0,Qjmmsxugrwqo,4.0,1-647-652-7574,FL,,Jacksonville,46.0,Ppibejqzyepwgspezjsea,PG&E Corp.,Znlnlzxhh,2.0,,710.0,447917.0,Qjm13309,0.0,M
F,RTDGEEXXUZBPDFHVABKEOZWKBHWWFOIXIAMDLIQHIWGMINGWTBHXZNIQVSCDTSRUGGOABBPOPXQXT,United States of America,,127017.0,Djlceiu,1.0,1-526-427-3269,HI,R,St. Johns,,xbitznxudwydsuui,,kkavkdpxek,2.0,XBKJEDNTQVYVEFDGPRDUCUQALSXELXTX,619.0,2301005.0,Djl13310,3.0,U
,Ooeyopjxaiksqhjtrrfvlobtqirkgbfsrmvahghsala,Canada,,304221.0,nosvswtloteuwqpftqfdv,8.0,1-330-614-1445,WI,O,Hilo,4.0,fplwwkvmfaozeiw,Casey's General Stores,TGKMRHT,2.0,Laiszjxakbluopmsejpytqmxrakzxv,516.0,1261825.0,nos13311,4.0,W
m,slfsindqxaycldhibqkpnmnxduwhncbaa,Canada,,443773.0,ysezsasuxu,1.0,1-760-007-7116,WY,O,Ann Arbor,94.0,WVGBGQYHCSRDNFPEUDLNARHSIHSXNO,Safeway,YCKJXU,1.0,Npllawldpzjqggmoxb,545.0,910255.0,yse13312,1.0,M
,Xujvegtpyhoaslhkxwasrnwnzoyaqr,Canada,J,287856.0,Sbuzxxvnt,0.0,1-955-025-6844,OK,R,Pembroke Pines,68.0,aqvjndtsknefbjhioo,Bon-Ton Stores,PTHNF,5.0,Wsszxjwwcumnxvlqgvzqpjvapxunhzbcadskggrxaailjtoswp,811.0,1821823.0,Sbu13313,4.0,S
M,ZMARSSQPOXM,United States of America,O,235513.0,ytzvmwjfjxgpvks,,1-839-197-5686,VT,O,Boston,84.0,Iqunpkqrkjyhgnjed,GameStop,xregvkuvgje,2.0,BJQEJTPRSOOIWRXPDKXLLZNKCYMHRTIUPXQLRBAFIXZDLJPRVASEETD,,2199015.0,ytz13314,4.0,M
F,Ijsvbctldjgsvxhz,Canada,,168446.0,Fcebdc,2.0,1-423-036-6301,OK,O,Palmdale,0.0,pqxmyuenkdxgwxhtatfks,Cooper-Standard Holdings,Bzxtukntjmuh,3.0,Hoapfmenaqzlxjerjjvbcajolrcacxborjwufdqtu,392.0,3734037.0,Fce13315,2.0,S
m,Lonkdbturiatgrvgekqnl,United States of America,h,158347.0,Ynbxvywuhgcunwdcegylutj,,1-236-597-5459,GA,O,Torrance,3.0,ASXIXIALHAUJRIHNOCWCKCLTWDJM,AmeriCredit,Easiqoozh,3.0,kozwojnlvktbowfuylhoqhdzodc,379.0,,Ynb13316,4.0,U
F,Sfcizcekzhpkwcuqyuqfukkdxmnq,United States of America,e,252112.0,zurvujhqr,4.0,1-248-353-0225,UT,O,Richmond,8.0,kzqficctkkinccrxy,Black & Decker,XTIAQE,3.0,JCGDWYIOSWPYPSDQVLQKIUWAECPKOMPFMGDAUXZHDKMWJPVWRHMBVBAQRBHNSJTPSMAOKLNCT,432.0,1405386.0,zur13317,1.0,U
m,Lxiigptgqrsegiegbzpoiwoounpscxpkticgfzysnvpdjqhonfsna,,a,64619.0,Kfilcbusfxvc,2.0,1-747-947-1632,NV,O,Pembroke Pines,100.0,KOBQXX,Holly,Vzcbixlj,3.0,Tmiiaccongbnxjxsljpfrsonqnsbpbiskgcalussbka,414.0,278240.0,Kfi13318,0.0,U
M,Xqdeojykhdmxlxtueyimphngtuhrqcpsxogvhhcszzomaxqkmhqum,United States of America,E,351408.0,Kkyhpxjvtgjhkqoytzrrocgelq,3.0,1-824-966-8091,OR,R,Raleigh,0.0,SQVFIJAZSRPOSXHAGBRKMGMO,Kraft Foods,,3.0,GKXENFBKJJQEAYUAQWHHVKBSDSMUAEYOEJMAQIYZXZNNWPPLCDPWZKYLELUMQF,557.0,,Kky13319,4.0,
M,gnuuwqjvbkqcxntkgprfeogalfxwbejayqycyzvbkunfslig,United States of America,,15690.0,JHTMZXEJLQTQKBBEHGPA,4.0,1-097-243-8273,VT,R,Pembroke Pines,90.0,Vvsyuntoyqixxsbrvmj,Questar,xtmcwdbpwdv,3.0,xmbvyvlxeqlctealxa,620.0,1401347.0,JHT13320,3.0,
f,Zswxuknigikaoncrdplasenykmxgoqehdyrlnxasqdrlqgopkdsmmuowmbdbezlzfflzhudeoikr,Canada,,100473.0,AGEVVQPRKZDR,9.0,1-263-598-1053,SD,O,Scottsdale,100.0,Rjeeyehqqcnnsmpm,Biogen Idec,OAYHHW,5.0,SIQFDLYSOOBSNQPFJTPAZPLJVNDWHPVBFSLYHLUTLYXKYGNPWI,603.0,989289.0,AGE13321,3.0,M
m,ipgtyrmetntkcd,United States of America,e,79867.0,BPPJCSQBP,4.0,1-474-374-1560,NM,R,San Francisco,60.0,Nmlkfbjgfctssviiiw,Polo Ralph Lauren,Vdahuxrb,,Kitoarfbibiziermhhmmumivjlkmnypoitokzenlegwxnvizpsgfcdushcgtvbhrn,544.0,2424799.0,BPP13322,,U
m,Wvwucqsjywwbgaojgqcejytptgiiplbnihfizhcovlkulphoaozajcubddlulauaoaz,United States of America,L,402837.0,Uxtyowqpfwlje,2.0,1-074-245-5912,TX,O,Berkeley,12.0,KISSIYPETBMRTSEI,Icahn Enterprises,Nahlg,1.0,exxegpyauodkwxdfu,568.0,1819852.0,Uxt13323,1.0,S
,Xapvnfturoazlpyncbljvrgwfpijmfnfb,United States of America,,182885.0,wropnrdvvbapxfoq,6.0,1-154-643-3643,OH,R,Sherbrooke,37.0,Oewwziucxwaptwqlwzk,NBTY,DBEKWLQUH,0.0,GVRYVCU,609.0,1333649.0,wro13324,3.0,
M,spxisnbqxwilnirbfraqxmfrqsjngldmmns,United States of America,,450158.0,Qfxdqcyiiphpsmaftgkld,4.0,,TX,O,San Francisco,80.0,Yohdrxohrkhmqwnryvbeo,NYSE Euronext,Gmlpzoxetwz,4.0,Milzkwvcdfsrfgrw,558.0,970779.0,Qfx13325,2.0,M
m,UETALRPVUROWOXFHRCRDKZLLKUMPKKUWFGUMAPBDSVWAVPFNXMUGYSWAN,Canada,R,285716.0,ejrvjbvhphkqdehuuunmzlsdfibvg,0.0,1-154-681-6410,NM,,San Buenaventura,65.0,Axlayducdriiqc,ScanSource,twaojstrzyhi,4.0,LHTDEWHBSTLCPF,725.0,2287116.0,ejr13326,4.0,D
F,Cputopy,United States of America,D,492831.0,PEXHH,6.0,1-108-812-3106,NV,O,Las Vegas,27.0,REOWCQDOUBDFWX,Dr Pepper Snapple Group,ERSDPKSNBDDN,1.0,Wwecuwkqkatpseujjilh,513.0,3959338.0,PEX13327,3.0,M
f,SITWQONUFSJOIDCGMSQECVMXHSPIPMIABMEFVPTROVFSBV,United States of America,,27955.0,Hxnscfwbnrzqfzobf,10.0,1-911-364-9127,IA,R,Brownsville,85.0,ojxehjjuekij,ProLogis,Gdjthpivol,3.0,Touhtjrlfwbbjmteketaqdslrstjcsdvergtndvlvrucvuyegeyiuxogiiiy,409.0,165621.0,Hxn13328,1.0,M
,Vopeutxnbsqojdjwmgtxmojknsoqhuqklkkqqkmiqo,United States of America,,252676.0,XVCWACTIYXZPRCYPWINMJ,7.0,1-619-099-4890,NE,U,Mobile,100.0,PKMBFLEIG,Sovereign Bancorp,Hpsabxc,5.0,VFVYBWMVHJLGGIHQGXQNCFGWBPHALCRVIXSQDXVEJTIHSZTJIJZOBOQBRMTJFIMIUYKYXMOWRDFXQAQ,604.0,3359850.0,XVC13329,1.0,M
,Asggzqjcgknqezgxevzqetlxnrcqvssoeelnrgcqyrcgqccdcoztufwq,United States of America,o,270966.0,Yojpefoojskooyiljqsttf,5.0,1-479-553-2230,SC,,Halifax,,pqckealkbhk,Virgin Media,Uqpbm,2.0,Qdozfdkxedtdmryehjloucsxomzydwbtjdkhdeuuypx,523.0,2720565.0,Yoj13330,5.0,M
,NBSCTYJDBOAJDZWSZOYJVWVDUYREDFJMBRUPHMCIMGHMXNCJFGKZB,United States of America,N,241791.0,RUPPQYEXPFUIUI,7.0,1-889-751-3110,PA,O,Rochester,20.0,Vxnjlhpflnltgctynscbgkyalzptne,Dun & Bradstreet,Tcynuaqpanv,5.0,DMTGWEXXQVXLECSHTDOHBOWFQRMILVBWGFVRECKKW,440.0,746033.0,RUP13331,1.0,M
,TVDGPRPMQXDQCFROASL,United States of America,,203728.0,opzwjnicxmcnuclekkmujtyohtqel,3.0,1-870-249-6201,Ontario,O,Minneapolis,20.0,Gxcwaejkklqgqkucqiktsvtec,United Services Automobile,qrvrasw,5.0,Jphmtxfqejewdzhorhjpryeuxwfdtgjkpxqximpiwfoxfnseaahhwbpehffwbohtioundnoi,800.0,1644198.0,opz13332,,U
,,United States of America,,381874.0,Ejlhhvsoamsdpngdjgeouojqmx,6.0,1-812-145-7818,Nova Scotia,O,Salem,51.0,NGFFXUBEGHGLUVQBH,Harsco,EDDLLKXPXY,4.0,Vbayqssuoyifclbgdcbrbaitmoiwoqmobssreyepauwetxajbargngmnealxrgoypcqlgezvdv,453.0,2433474.0,Ejl13333,1.0,M
m,,United States of America,Q,272565.0,dshzqgdcvcoalbsf,5.0,1-918-240-8283,OK,R,Santa Clara,66.0,Jddkalzlosepxecx,Hershey,Btppu,4.0,JXXJMUSAWXRDPMAJUSCXYDSORKOUHWMPIRTHRZBVEIOGJEXMBJFEPFKXFJNXLORNVCQKV,753.0,253844.0,dsh13334,2.0,M
m,Cgkwblhu,United States of America,z,204894.0,gmpabvzddhuxkevrl,,1-847-007-3615,Ontario,O,Wichita,89.0,Vhocyote,First American Corp.,UWAIUHDXU,0.0,MMGIHXUUIOYQAFEDCFOBBJXGVBSMSDUZZE,775.0,64519.0,gmp13335,4.0,M
,Hsemknaoabsvxvbcedkqjcnmhmxjskadcxjaxsiwbzrvrskpurvmbryhtgurarbcespyowjcffhh,United States of America,,333852.0,Wthjs,6.0,1-273-931-8849,PA,O,Spokane,15.0,pcejxakvlxtlsswh,Solo Cup,fwikqqlhi,5.0,Ipuxhzfisuikfsspphyqadjkelunmnnhllugzzihlbwkokvdoefdxxmydlesdjkttomabqphwva,778.0,598414.0,Wth13336,1.0,S
f,pbsxhvzebggm,United States of America,r,48703.0,Fibrgvhlacrszdrfvwnpwwslbted,6.0,1-729-085-6870,NJ,O,Albuquerque,14.0,Eqrktjuypilrgtfkgfvktxtpos,Tyson Foods,XTOQNNWH,3.0,,520.0,3226370.0,Fib13337,2.0,M
f,Hejclmucqdm,,m,260091.0,GGUGRPQWOCLCFFWHXPKUTDTOSC,5.0,1-757-722-8461,MI,O,Norfolk,55.0,Ohqaccacftjubtt,Buildings Materials Corp.,XWVIZDIIKM,3.0,kpnltuwdanbgotewpambhfkclpdjsqmaegccyzyuj,827.0,358781.0,GGU13338,3.0,S
